PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
membrane lipid metabolic process (GO:0006643)	73	1	.19	+	5.25	1.74E-01
localization within membrane (GO:0051668)	147	2	.38	+	5.22	5.59E-02
peptidyl-serine phosphorylation (GO:0018105)	74	1	.19	+	5.18	1.76E-01
peptidyl-serine modification (GO:0018209)	74	1	.19	+	5.18	1.76E-01
positive regulation of DNA-templated transcription (GO:0045893)	227	3	.59	+	5.07	2.08E-02
positive regulation of RNA biosynthetic process (GO:1902680)	227	3	.59	+	5.07	2.08E-02
phospholipid biosynthetic process (GO:0008654)	79	1	.21	+	4.86	1.87E-01
glycerolipid biosynthetic process (GO:0045017)	79	1	.21	+	4.86	1.87E-01
cellular component disassembly (GO:0022411)	82	1	.21	+	4.68	1.93E-01
chromosome segregation (GO:0007059)	82	1	.21	+	4.68	1.93E-01
cellular response to oxygen-containing compound (GO:1901701)	86	1	.22	+	4.46	2.02E-01
positive regulation of RNA metabolic process (GO:0051254)	261	3	.68	+	4.41	2.99E-02
phosphatidylinositol metabolic process (GO:0046488)	90	1	.23	+	4.26	2.10E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	3	.74	+	4.08	3.64E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	3	.77	+	3.89	4.11E-02
protein phosphorylation (GO:0006468)	199	2	.52	+	3.85	9.45E-02
positive regulation of cellular biosynthetic process (GO:0031328)	301	3	.78	+	3.82	4.28E-02
positive regulation of biosynthetic process (GO:0009891)	302	3	.79	+	3.81	4.32E-02
protein localization to membrane (GO:0072657)	104	1	.27	+	3.69	2.39E-01
mitochondrion organization (GO:0007005)	104	1	.27	+	3.69	2.39E-01
phosphorylation (GO:0016310)	212	2	.55	+	3.62	1.05E-01
endomembrane system organization (GO:0010256)	108	1	.28	+	3.55	2.47E-01
response to oxygen-containing compound (GO:1901700)	109	1	.28	+	3.52	2.49E-01
response to nitrogen compound (GO:1901698)	109	1	.28	+	3.52	2.49E-01
monocarboxylic acid metabolic process (GO:0032787)	109	1	.28	+	3.52	2.49E-01
regulation of MAPK cascade (GO:0043408)	114	1	.30	+	3.36	2.58E-01
endocytosis (GO:0006897)	117	1	.31	+	3.28	2.64E-01
glycerophospholipid metabolic process (GO:0006650)	118	1	.31	+	3.25	2.66E-01
G protein-coupled receptor signaling pathway (GO:0007186)	238	2	.62	+	3.22	1.27E-01
positive regulation of intracellular signal transduction (GO:1902533)	130	1	.34	+	2.95	2.89E-01
chemical synaptic transmission (GO:0007268)	132	1	.34	+	2.91	2.93E-01
anterograde trans-synaptic signaling (GO:0098916)	132	1	.34	+	2.91	2.93E-01
trans-synaptic signaling (GO:0099537)	133	1	.35	+	2.88	2.95E-01
glycerolipid metabolic process (GO:0046486)	135	1	.35	+	2.84	2.98E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	3	1.08	+	2.77	9.30E-02
synaptic signaling (GO:0099536)	142	1	.37	+	2.70	3.11E-01
cellular catabolic process (GO:0044248)	287	2	.75	+	2.67	1.71E-01
phospholipid metabolic process (GO:0006644)	145	1	.38	+	2.65	3.17E-01
positive regulation of macromolecule metabolic process (GO:0010604)	437	3	1.14	+	2.63	1.04E-01
organophosphate biosynthetic process (GO:0090407)	147	1	.38	+	2.61	3.20E-01
positive regulation of cellular metabolic process (GO:0031325)	455	3	1.19	+	2.53	1.14E-01
macromolecule modification (GO:0043412)	830	5	2.16	+	2.31	6.14E-02
intracellular protein transport (GO:0006886)	166	1	.43	+	2.31	3.54E-01
peptide metabolic process (GO:0006518)	167	1	.44	+	2.30	3.55E-01
positive regulation of metabolic process (GO:0009893)	504	3	1.31	+	2.28	1.42E-01
positive regulation of signal transduction (GO:0009967)	169	1	.44	+	2.27	3.59E-01
lipid biosynthetic process (GO:0008610)	170	1	.44	+	2.26	3.60E-01
phosphate-containing compound metabolic process (GO:0006796)	540	3	1.41	+	2.13	1.65E-01
phosphorus metabolic process (GO:0006793)	543	3	1.42	+	2.12	1.67E-01
regulation of DNA-templated transcription (GO:0006355)	1114	6	2.90	+	2.07	6.46E-02
regulation of RNA biosynthetic process (GO:2001141)	1114	6	2.90	+	2.07	6.46E-02
import into cell (GO:0098657)	186	1	.48	+	2.06	3.87E-01
protein modification process (GO:0036211)	745	4	1.94	+	2.06	1.26E-01
peptidyl-amino acid modification (GO:0018193)	189	1	.49	+	2.03	3.92E-01
protein modification by small protein conjugation (GO:0032446)	190	1	.50	+	2.02	3.93E-01
regulation of transcription by RNA polymerase II (GO:0006357)	953	5	2.48	+	2.01	9.80E-02
positive regulation of cell communication (GO:0010647)	191	1	.50	+	2.01	3.95E-01
positive regulation of signaling (GO:0023056)	191	1	.50	+	2.01	3.95E-01
carboxylic acid metabolic process (GO:0019752)	196	1	.51	+	1.96	4.03E-01
organic acid metabolic process (GO:0006082)	198	1	.52	+	1.94	4.06E-01
oxoacid metabolic process (GO:0043436)	198	1	.52	+	1.94	4.06E-01
cell differentiation (GO:0030154)	603	3	1.57	+	1.91	2.06E-01
cellular developmental process (GO:0048869)	603	3	1.57	+	1.91	2.06E-01
positive regulation of cellular process (GO:0048522)	813	4	2.12	+	1.89	1.59E-01
carbohydrate derivative biosynthetic process (GO:1901137)	205	1	.53	+	1.87	4.17E-01
regulation of RNA metabolic process (GO:0051252)	1230	6	3.21	+	1.87	1.28E-01
intracellular transport (GO:0046907)	413	2	1.08	+	1.86	2.93E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	6	3.31	+	1.81	1.36E-01
protein transport (GO:0015031)	218	1	.57	+	1.76	4.37E-01
cellular response to chemical stimulus (GO:0070887)	222	1	.58	+	1.73	4.43E-01
vesicle-mediated transport (GO:0016192)	444	2	1.16	+	1.73	3.23E-01
positive regulation of biological process (GO:0048518)	899	4	2.34	+	1.71	2.91E-01
cell cycle process (GO:0022402)	226	1	.59	+	1.70	4.49E-01
amide metabolic process (GO:0043603)	227	1	.59	+	1.69	4.50E-01
organic substance transport (GO:0071702)	461	2	1.20	+	1.66	3.40E-01
cell-cell signaling (GO:0007267)	232	1	.60	+	1.65	4.58E-01
positive regulation of response to stimulus (GO:0048584)	234	1	.61	+	1.64	4.60E-01
response to organic substance (GO:0010033)	235	1	.61	+	1.63	4.62E-01
regulation of gene expression (GO:0010468)	1420	6	3.70	+	1.62	2.58E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1440	6	3.75	+	1.60	2.61E-01
DNA metabolic process (GO:0006259)	240	1	.63	+	1.60	4.69E-01
regulation of cellular biosynthetic process (GO:0031326)	1448	6	3.78	+	1.59	2.63E-01
regulation of biosynthetic process (GO:0009889)	1453	6	3.79	+	1.58	2.63E-01
regulation of intracellular signal transduction (GO:1902531)	243	1	.63	+	1.58	4.73E-01
establishment of localization in cell (GO:0051649)	499	2	1.30	+	1.54	3.76E-01
cell cycle (GO:0007049)	250	1	.65	+	1.53	4.83E-01
protein metabolic process (GO:0019538)	1267	5	3.30	+	1.51	3.73E-01
protein modification by small protein conjugation or removal (GO:0070647)	254	1	.66	+	1.51	4.88E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	6	4.00	+	1.50	2.80E-01
regulation of primary metabolic process (GO:0080090)	1553	6	4.05	+	1.48	2.85E-01
organelle assembly (GO:0070925)	260	1	.68	+	1.48	4.97E-01
establishment of protein localization (GO:0045184)	263	1	.69	+	1.46	5.01E-01
neuron differentiation (GO:0030182)	268	1	.70	+	1.43	5.07E-01
post-translational protein modification (GO:0043687)	268	1	.70	+	1.43	5.07E-01
organophosphate metabolic process (GO:0019637)	271	1	.71	+	1.42	5.11E-01
regulation of macromolecule metabolic process (GO:0060255)	1664	6	4.34	+	1.38	4.32E-01
regulation of cellular metabolic process (GO:0031323)	1671	6	4.36	+	1.38	4.33E-01
generation of neurons (GO:0048699)	280	1	.73	+	1.37	5.23E-01
catabolic process (GO:0009056)	562	2	1.47	+	1.36	6.57E-01
cellular lipid metabolic process (GO:0044255)	294	1	.77	+	1.30	5.40E-01
anatomical structure development (GO:0048856)	885	3	2.31	+	1.30	5.00E-01
regulation of metabolic process (GO:0019222)	1772	6	4.62	+	1.30	4.50E-01
cellular metabolic process (GO:0044237)	2079	7	5.42	+	1.29	4.75E-01
cell development (GO:0048468)	300	1	.78	+	1.28	5.48E-01
neurogenesis (GO:0022008)	304	1	.79	+	1.26	5.52E-01
carbohydrate derivative metabolic process (GO:1901135)	307	1	.80	+	1.25	5.56E-01
response to chemical (GO:0042221)	310	1	.81	+	1.24	5.60E-01
organonitrogen compound metabolic process (GO:1901564)	1584	5	4.13	+	1.21	5.97E-01
macromolecule metabolic process (GO:0043170)	1962	6	5.12	+	1.17	6.29E-01
intracellular signal transduction (GO:0035556)	327	1	.85	+	1.17	5.79E-01
developmental process (GO:0032502)	997	3	2.60	+	1.15	7.42E-01
lipid metabolic process (GO:0006629)	333	1	.87	+	1.15	5.86E-01
metabolic process (GO:0008152)	2693	8	7.02	+	1.14	6.69E-01
nitrogen compound transport (GO:0071705)	345	1	.90	+	1.11	5.99E-01
Unclassified (UNCLASSIFIED)	4181	12	10.90	+	1.10	7.08E-01
cellular localization (GO:0051641)	725	2	1.89	+	1.06	7.14E-01
organonitrogen compound catabolic process (GO:1901565)	365	1	.95	+	1.05	6.20E-01
organic substance metabolic process (GO:0071704)	2575	7	6.71	+	1.04	8.30E-01
regulation of cellular process (GO:0050794)	3314	9	8.64	+	1.04	8.43E-01
biological regulation (GO:0065007)	3708	10	9.67	+	1.03	8.49E-01
proteolysis (GO:0006508)	373	1	.97	+	1.03	1.00E00
signal transduction (GO:0007165)	1121	3	2.92	+	1.03	1.00E00
nitrogen compound metabolic process (GO:0006807)	2243	6	5.85	+	1.03	1.00E00
cellular process (GO:0009987)	5614	15	14.64	+	1.02	1.00E00
small molecule metabolic process (GO:0044281)	386	1	1.01	-	.99	1.00E00
regulation of biological process (GO:0050789)	3509	9	9.15	-	.98	1.00E00
nervous system development (GO:0007399)	403	1	1.05	-	.95	1.00E00
biological_process (GO:0008150)	7709	19	20.10	-	.95	7.08E-01
primary metabolic process (GO:0044238)	2451	6	6.39	-	.94	1.00E00
transport (GO:0006810)	1231	3	3.21	-	.93	1.00E00
signaling (GO:0023052)	1244	3	3.24	-	.92	1.00E00
transmembrane transport (GO:0055085)	421	1	1.10	-	.91	1.00E00
regulation of biological quality (GO:0065008)	421	1	1.10	-	.91	1.00E00
cell communication (GO:0007154)	1270	3	3.31	-	.91	1.00E00
cellular macromolecule localization (GO:0070727)	426	1	1.11	-	.90	1.00E00
protein localization (GO:0008104)	426	1	1.11	-	.90	1.00E00
establishment of localization (GO:0051234)	1296	3	3.38	-	.89	1.00E00
regulation of signal transduction (GO:0009966)	441	1	1.15	-	.87	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	453	1	1.18	-	.85	1.00E00
cellular response to stimulus (GO:0051716)	1418	3	3.70	-	.81	1.00E00
organelle organization (GO:0006996)	957	2	2.50	-	.80	1.00E00
localization (GO:0051179)	1443	3	3.76	-	.80	1.00E00
organic substance catabolic process (GO:1901575)	493	1	1.29	-	.78	1.00E00
regulation of cell communication (GO:0010646)	513	1	1.34	-	.75	1.00E00
response to stimulus (GO:0050896)	1550	3	4.04	-	.74	7.91E-01
regulation of signaling (GO:0023051)	517	1	1.35	-	.74	1.00E00
regulation of response to stimulus (GO:0048583)	523	1	1.36	-	.73	1.00E00
cellular component assembly (GO:0022607)	534	1	1.39	-	.72	1.00E00
macromolecule localization (GO:0033036)	538	1	1.40	-	.71	1.00E00
system development (GO:0048731)	546	1	1.42	-	.70	1.00E00
cellular component biogenesis (GO:0044085)	631	1	1.65	-	.61	1.00E00
multicellular organism development (GO:0007275)	667	1	1.74	-	.58	1.00E00
nucleic acid metabolic process (GO:0090304)	689	1	1.80	-	.56	1.00E00
cellular component organization (GO:0016043)	1576	2	4.11	-	.49	4.23E-01
nucleobase-containing compound metabolic process (GO:0006139)	830	1	2.16	-	.46	7.22E-01
cellular component organization or biogenesis (GO:0071840)	1671	2	4.36	-	.46	3.04E-01
multicellular organismal process (GO:0032501)	840	1	2.19	-	.46	7.22E-01
heterocycle metabolic process (GO:0046483)	872	1	2.27	-	.44	7.25E-01
macromolecule biosynthetic process (GO:0009059)	879	1	2.29	-	.44	7.26E-01
cellular aromatic compound metabolic process (GO:0006725)	880	1	2.29	-	.44	7.26E-01
organic cyclic compound metabolic process (GO:1901360)	919	1	2.40	-	.42	5.12E-01
cellular nitrogen compound metabolic process (GO:0034641)	996	1	2.60	-	.39	5.13E-01
cellular biosynthetic process (GO:0044249)	1144	1	2.98	-	.34	3.59E-01
organic substance biosynthetic process (GO:1901576)	1172	1	3.06	-	.33	3.61E-01
biosynthetic process (GO:0009058)	1175	1	3.06	-	.33	3.61E-01
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.01	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	23	0	.06	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.01	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	10	0	.03	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	23	0	.06	-	 < 0.01	1.00E00
cellular response to organic substance (GO:0071310)	159	0	.41	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	32	0	.08	-	 < 0.01	1.00E00
regulation of supramolecular fiber organization (GO:1902903)	71	0	.19	-	 < 0.01	1.00E00
centriole assembly (GO:0098534)	9	0	.02	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	.04	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	15	0	.04	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	12	0	.03	-	 < 0.01	1.00E00
calcium ion transmembrane transport (GO:0070588)	58	0	.15	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.02	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	.01	-	 < 0.01	1.00E00
protein localization to mitochondrion (GO:0070585)	19	0	.05	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	0	.05	-	 < 0.01	1.00E00
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	0	.04	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	14	0	.04	-	 < 0.01	1.00E00
nuclear division (GO:0000280)	71	0	.19	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	22	0	.06	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.00	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.05	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.05	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	42	0	.11	-	 < 0.01	1.00E00
regulation of actin filament length (GO:0030832)	45	0	.12	-	 < 0.01	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	2	0	.01	-	 < 0.01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	8	0	.02	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.04	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.04	-	 < 0.01	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	182	0	.47	-	 < 0.01	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	0	.71	-	 < 0.01	1.00E00
import into nucleus (GO:0051170)	36	0	.09	-	 < 0.01	1.00E00
mitotic cell cycle (GO:0000278)	161	0	.42	-	 < 0.01	1.00E00
supramolecular fiber organization (GO:0097435)	204	0	.53	-	 < 0.01	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	0	.04	-	 < 0.01	1.00E00
polysaccharide biosynthetic process (GO:0000271)	9	0	.02	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.01	-	 < 0.01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	21	0	.05	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.01	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.01	-	 < 0.01	1.00E00
nuclear transport (GO:0051169)	78	0	.20	-	 < 0.01	1.00E00
nuclear export (GO:0051168)	49	0	.13	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of monoatomic ion transport (GO:0043271)	17	0	.04	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.02	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.01	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.01	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.01	-	 < 0.01	1.00E00
programmed cell death (GO:0012501)	60	0	.16	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.04	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	15	0	.04	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.02	-	 < 0.01	1.00E00
synaptic vesicle recycling (GO:0036465)	28	0	.07	-	 < 0.01	1.00E00
regulation of monoatomic ion transport (GO:0043269)	68	0	.18	-	 < 0.01	1.00E00
positive regulation of hormone secretion (GO:0046887)	2	0	.01	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	16	0	.04	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	11	0	.03	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	5	0	.01	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.01	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	7	0	.02	-	 < 0.01	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	0	.03	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	.03	-	 < 0.01	1.00E00
nucleotide catabolic process (GO:0009166)	25	0	.07	-	 < 0.01	1.00E00
regulation of cell projection assembly (GO:0060491)	23	0	.06	-	 < 0.01	1.00E00
nucleotide biosynthetic process (GO:0009165)	58	0	.15	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.02	-	 < 0.01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	14	0	.04	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.03	-	 < 0.01	1.00E00
regulation of protein catabolic process (GO:0042176)	43	0	.11	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	2	0	.01	-	 < 0.01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	0	.06	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	30	0	.08	-	 < 0.01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	41	0	.11	-	 < 0.01	1.00E00
actin filament bundle organization (GO:0061572)	22	0	.06	-	 < 0.01	1.00E00
regulation of phosphate metabolic process (GO:0019220)	182	0	.47	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.01	-	 < 0.01	1.00E00
mesenchyme development (GO:0060485)	31	0	.08	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	24	0	.06	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	54	0	.14	-	 < 0.01	1.00E00
heterocycle biosynthetic process (GO:0018130)	188	0	.49	-	 < 0.01	1.00E00
striated muscle cell differentiation (GO:0051146)	33	0	.09	-	 < 0.01	1.00E00
purine ribonucleotide catabolic process (GO:0009154)	18	0	.05	-	 < 0.01	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	31	0	.08	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.02	-	 < 0.01	1.00E00
positive regulation of cell cycle (GO:0045787)	26	0	.07	-	 < 0.01	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	66	0	.17	-	 < 0.01	1.00E00
negative regulation of cell cycle (GO:0045786)	58	0	.15	-	 < 0.01	1.00E00
positive regulation of cell adhesion (GO:0045785)	21	0	.05	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.00	-	 < 0.01	1.00E00
spliceosomal complex assembly (GO:0000245)	18	0	.05	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	0	.11	-	 < 0.01	1.00E00
regulation of lipid metabolic process (GO:0019216)	12	0	.03	-	 < 0.01	1.00E00
axon development (GO:0061564)	137	0	.36	-	 < 0.01	1.00E00
respiratory electron transport chain (GO:0022904)	13	0	.03	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	14	0	.04	-	 < 0.01	1.00E00
electron transport chain (GO:0022900)	16	0	.04	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.04	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	0	.09	-	 < 0.01	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	26	0	.07	-	 < 0.01	1.00E00
multivesicular body sorting pathway (GO:0071985)	24	0	.06	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.00	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	20	0	.05	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	33	0	.09	-	 < 0.01	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.02	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.01	-	 < 0.01	1.00E00
regulation of cytoskeleton organization (GO:0051493)	115	0	.30	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	30	0	.08	-	 < 0.01	1.00E00
positive regulation of cellular component organization (GO:0051130)	92	0	.24	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.02	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	7	0	.02	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	5	0	.01	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.02	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	31	0	.08	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.02	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	37	0	.10	-	 < 0.01	1.00E00
phosphatidylinositol dephosphorylation (GO:0046856)	25	0	.07	-	 < 0.01	1.00E00
negative regulation of cellular component organization (GO:0051129)	63	0	.16	-	 < 0.01	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	0	.09	-	 < 0.01	1.00E00
regulation of cellular component organization (GO:0051128)	287	0	.75	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.02	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	6	0	.02	-	 < 0.01	1.00E00
regulation of bone remodeling (GO:0046850)	3	0	.01	-	 < 0.01	1.00E00
