PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(433)	(expected)	(over/under)	(fold Enrichment)	P-value
base-excision repair (GO:0006284)	11	2	.40	+	4.99	5.86E-02
intracellular glucose homeostasis (GO:0001678)	6	1	.22	+	4.58	2.00E-01
carbohydrate phosphorylation (GO:0046835)	6	1	.22	+	4.58	2.00E-01
developmental pigmentation (GO:0048066)	6	1	.22	+	4.58	2.00E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	1	.22	+	4.58	2.00E-01
C4-dicarboxylate transport (GO:0015740)	12	2	.44	+	4.58	6.86E-02
vesicle fusion to plasma membrane (GO:0099500)	6	1	.22	+	4.58	2.00E-01
mitotic recombination (GO:0006312)	6	1	.22	+	4.58	2.00E-01
DNA modification (GO:0006304)	12	2	.44	+	4.58	6.86E-02
telomere maintenance via telomerase (GO:0007004)	6	1	.22	+	4.58	2.00E-01
regulation of synaptic plasticity (GO:0048167)	24	4	.87	+	4.58	1.03E-02
zymogen activation (GO:0031638)	6	1	.22	+	4.58	2.00E-01
acidic amino acid transport (GO:0015800)	6	1	.22	+	4.58	2.00E-01
nucleoside phosphate catabolic process (GO:1901292)	32	5	1.17	+	4.29	5.59E-03
exocytic process (GO:0140029)	13	2	.47	+	4.22	7.92E-02
protein targeting to vacuole (GO:0006623)	13	2	.47	+	4.22	7.92E-02
regulation of hormone secretion (GO:0046883)	7	1	.25	+	3.92	2.29E-01
protein K63-linked deubiquitination (GO:0070536)	7	1	.25	+	3.92	2.29E-01
positive regulation of epithelial cell proliferation (GO:0050679)	7	1	.25	+	3.92	2.29E-01
phosphatidylcholine metabolic process (GO:0046470)	7	1	.25	+	3.92	2.29E-01
synaptic vesicle cycle (GO:0099504)	49	7	1.78	+	3.92	1.85E-03
fluid transport (GO:0042044)	7	1	.25	+	3.92	2.29E-01
phagocytosis, engulfment (GO:0006911)	7	1	.25	+	3.92	2.29E-01
Golgi to plasma membrane protein transport (GO:0043001)	7	1	.25	+	3.92	2.29E-01
purine nucleoside metabolic process (GO:0042278)	7	1	.25	+	3.92	2.29E-01
nucleotide-sugar metabolic process (GO:0009225)	7	1	.25	+	3.92	2.29E-01
protein K11-linked ubiquitination (GO:0070979)	7	1	.25	+	3.92	2.29E-01
regulation of neurotransmitter secretion (GO:0046928)	14	2	.51	+	3.92	9.02E-02
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	14	2	.51	+	3.92	9.02E-02
vesicle-mediated transport in synapse (GO:0099003)	49	7	1.78	+	3.92	1.85E-03
regulation of protein secretion (GO:0050708)	7	1	.25	+	3.92	2.29E-01
water transport (GO:0006833)	7	1	.25	+	3.92	2.29E-01
protein neddylation (GO:0045116)	7	1	.25	+	3.92	2.29E-01
cell-cell junction assembly (GO:0007043)	35	5	1.27	+	3.92	8.25E-03
nucleoside diphosphate catabolic process (GO:0009134)	22	3	.80	+	3.74	4.42E-02
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	22	3	.80	+	3.74	4.42E-02
regulated exocytosis (GO:0045055)	30	4	1.09	+	3.66	2.25E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	.55	+	3.66	1.02E-01
positive regulation of mitotic cell cycle (GO:0045931)	15	2	.55	+	3.66	1.02E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	2	.55	+	3.66	1.02E-01
nucleoside catabolic process (GO:0009164)	8	1	.29	+	3.43	2.57E-01
heme metabolic process (GO:0042168)	8	1	.29	+	3.43	2.57E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	32	4	1.17	+	3.43	2.79E-02
mRNA modification (GO:0016556)	8	1	.29	+	3.43	2.57E-01
negative regulation of immune system process (GO:0002683)	16	2	.58	+	3.43	1.14E-01
telomere maintenance via telomere lengthening (GO:0010833)	8	1	.29	+	3.43	2.57E-01
kidney development (GO:0001822)	8	1	.29	+	3.43	2.57E-01
ribosomal subunit export from nucleus (GO:0000054)	8	1	.29	+	3.43	2.57E-01
calcium-ion regulated exocytosis (GO:0017156)	16	2	.58	+	3.43	1.14E-01
mitotic sister chromatid cohesion (GO:0007064)	8	1	.29	+	3.43	2.57E-01
sister chromatid cohesion (GO:0007062)	16	2	.58	+	3.43	1.14E-01
plasma membrane organization (GO:0007009)	24	3	.87	+	3.43	5.51E-02
nucleobase-containing small molecule catabolic process (GO:0034656)	8	1	.29	+	3.43	2.57E-01
chromosome condensation (GO:0030261)	8	1	.29	+	3.43	2.57E-01
cell-cell junction organization (GO:0045216)	41	5	1.49	+	3.35	1.59E-02
neurotransmitter secretion (GO:0007269)	33	4	1.20	+	3.33	3.08E-02
signal release from synapse (GO:0099643)	33	4	1.20	+	3.33	3.08E-02
nucleotide catabolic process (GO:0009166)	25	3	.91	+	3.30	6.10E-02
nucleoside diphosphate metabolic process (GO:0009132)	25	3	.91	+	3.30	6.10E-02
positive regulation of cell cycle process (GO:0090068)	25	3	.91	+	3.30	6.10E-02
biogenic amine metabolic process (GO:0006576)	17	2	.62	+	3.23	1.26E-01
intrinsic apoptotic signaling pathway (GO:0097193)	17	2	.62	+	3.23	1.26E-01
positive regulation of cell cycle (GO:0045787)	26	3	.95	+	3.17	6.71E-02
non-canonical Wnt signaling pathway (GO:0035567)	26	3	.95	+	3.17	6.71E-02
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	4	1.27	+	3.14	3.73E-02
organophosphate catabolic process (GO:0046434)	44	5	1.60	+	3.12	2.12E-02
synaptic vesicle endocytosis (GO:0048488)	27	3	.98	+	3.05	7.36E-02
carbohydrate transmembrane transport (GO:0034219)	9	1	.33	+	3.05	2.84E-01
mitochondrial transmembrane transport (GO:1990542)	36	4	1.31	+	3.05	4.08E-02
protein import into mitochondrial matrix (GO:0030150)	9	1	.33	+	3.05	2.84E-01
carbohydrate transport (GO:0008643)	9	1	.33	+	3.05	2.84E-01
neuromuscular junction development (GO:0007528)	9	1	.33	+	3.05	2.84E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	18	2	.66	+	3.05	1.38E-01
branched-chain amino acid metabolic process (GO:0009081)	9	1	.33	+	3.05	2.84E-01
aromatic amino acid family catabolic process (GO:0009074)	9	1	.33	+	3.05	2.84E-01
amine metabolic process (GO:0009308)	18	2	.66	+	3.05	1.38E-01
cell cycle G1/S phase transition (GO:0044843)	18	2	.66	+	3.05	1.38E-01
positive regulation of cytokine production (GO:0001819)	9	1	.33	+	3.05	2.84E-01
transcription elongation by RNA polymerase II (GO:0006368)	9	1	.33	+	3.05	2.84E-01
nucleosome assembly (GO:0006334)	9	1	.33	+	3.05	2.84E-01
P-body assembly (GO:0033962)	9	1	.33	+	3.05	2.84E-01
nuclear envelope organization (GO:0006998)	9	1	.33	+	3.05	2.84E-01
G1/S transition of mitotic cell cycle (GO:0000082)	18	2	.66	+	3.05	1.38E-01
glucose homeostasis (GO:0042593)	9	1	.33	+	3.05	2.84E-01
carbohydrate homeostasis (GO:0033500)	9	1	.33	+	3.05	2.84E-01
synaptic vesicle transport (GO:0048489)	9	1	.33	+	3.05	2.84E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	2	.66	+	3.05	1.38E-01
aspartate transmembrane transport (GO:0015810)	9	1	.33	+	3.05	2.84E-01
neurotransmitter transport (GO:0006836)	36	4	1.31	+	3.05	4.08E-02
negative regulation of phosphorus metabolic process (GO:0010563)	37	4	1.35	+	2.97	4.45E-02
negative regulation of phosphate metabolic process (GO:0045936)	37	4	1.35	+	2.97	4.45E-02
synaptic vesicle recycling (GO:0036465)	28	3	1.02	+	2.94	8.03E-02
regulation of microtubule-based process (GO:0032886)	47	5	1.71	+	2.92	2.74E-02
signal release (GO:0023061)	38	4	1.38	+	2.89	4.83E-02
DNA biosynthetic process (GO:0071897)	19	2	.69	+	2.89	1.51E-01
potassium ion import across plasma membrane (GO:1990573)	29	3	1.06	+	2.84	8.72E-02
microtubule polymerization or depolymerization (GO:0031109)	29	3	1.06	+	2.84	8.72E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	7	2.48	+	2.83	1.16E-02
glucose 6-phosphate metabolic process (GO:0051156)	10	1	.36	+	2.75	3.10E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	10	1	.36	+	2.75	3.10E-01
purine nucleobase metabolic process (GO:0006144)	10	1	.36	+	2.75	3.10E-01
apoptotic mitochondrial changes (GO:0008637)	10	1	.36	+	2.75	3.10E-01
porphyrin-containing compound metabolic process (GO:0006778)	10	1	.36	+	2.75	3.10E-01
translational elongation (GO:0006414)	20	2	.73	+	2.75	1.64E-01
pigment biosynthetic process (GO:0046148)	10	1	.36	+	2.75	3.10E-01
nicotinamide nucleotide metabolic process (GO:0046496)	30	3	1.09	+	2.75	9.44E-02
regulation of sodium ion transport (GO:0002028)	20	2	.73	+	2.75	1.64E-01
protein palmitoylation (GO:0018345)	20	2	.73	+	2.75	1.64E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	2	.73	+	2.75	1.64E-01
negative regulation of cell migration (GO:0030336)	10	1	.36	+	2.75	3.10E-01
cytokinetic process (GO:0032506)	10	1	.36	+	2.75	3.10E-01
positive regulation of synaptic transmission (GO:0050806)	20	2	.73	+	2.75	1.64E-01
negative regulation of cell motility (GO:2000146)	10	1	.36	+	2.75	3.10E-01
pyridine nucleotide metabolic process (GO:0019362)	30	3	1.09	+	2.75	9.44E-02
mitochondrial calcium ion homeostasis (GO:0051560)	10	1	.36	+	2.75	3.10E-01
myelination (GO:0042552)	10	1	.36	+	2.75	3.10E-01
negative regulation of locomotion (GO:0040013)	10	1	.36	+	2.75	3.10E-01
amide transport (GO:0042886)	10	1	.36	+	2.75	3.10E-01
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	10	1	.36	+	2.75	3.10E-01
protein-containing complex disassembly (GO:0032984)	41	4	1.49	+	2.68	6.10E-02
negative regulation of protein kinase activity (GO:0006469)	31	3	1.13	+	2.66	1.02E-01
amino acid catabolic process (GO:0009063)	31	3	1.13	+	2.66	1.02E-01
pyridine-containing compound metabolic process (GO:0072524)	31	3	1.13	+	2.66	1.02E-01
regulation of Rho protein signal transduction (GO:0035023)	21	2	.76	+	2.62	1.77E-01
acetylcholine receptor signaling pathway (GO:0095500)	21	2	.76	+	2.62	1.77E-01
protein transmembrane import into intracellular organelle (GO:0044743)	21	2	.76	+	2.62	1.77E-01
membrane depolarization (GO:0051899)	21	2	.76	+	2.62	1.77E-01
positive regulation of neurogenesis (GO:0050769)	21	2	.76	+	2.62	1.77E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	3	1.17	+	2.57	1.10E-01
mitochondrial transport (GO:0006839)	43	4	1.57	+	2.55	7.03E-02
negative regulation of protein catabolic process (GO:0042177)	11	1	.40	+	2.50	3.35E-01
calcium ion import (GO:0070509)	11	1	.40	+	2.50	3.35E-01
chemical synaptic transmission (GO:0007268)	132	12	4.81	+	2.50	3.15E-03
negative regulation of protein phosphorylation (GO:0001933)	33	3	1.20	+	2.50	1.17E-01
protein import into peroxisome matrix (GO:0016558)	11	1	.40	+	2.50	3.35E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	11	1	.40	+	2.50	3.35E-01
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	1	.40	+	2.50	3.35E-01
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	1	.40	+	2.50	3.35E-01
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	22	2	.80	+	2.50	1.90E-01
negative regulation of phosphorylation (GO:0042326)	33	3	1.20	+	2.50	1.17E-01
positive regulation of cell-substrate adhesion (GO:0010811)	11	1	.40	+	2.50	3.35E-01
chloride transmembrane transport (GO:1902476)	33	3	1.20	+	2.50	1.17E-01
DNA-templated transcription elongation (GO:0006354)	11	1	.40	+	2.50	3.35E-01
sodium ion homeostasis (GO:0055078)	11	1	.40	+	2.50	3.35E-01
nucleosome organization (GO:0034728)	11	1	.40	+	2.50	3.35E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	22	2	.80	+	2.50	1.90E-01
mitotic cell cycle phase transition (GO:0044772)	33	3	1.20	+	2.50	1.17E-01
cell cycle phase transition (GO:0044770)	33	3	1.20	+	2.50	1.17E-01
anterograde trans-synaptic signaling (GO:0098916)	132	12	4.81	+	2.50	3.15E-03
negative regulation of defense response (GO:0031348)	11	1	.40	+	2.50	3.35E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	11	1	.40	+	2.50	3.35E-01
trans-synaptic signaling (GO:0099537)	133	12	4.84	+	2.48	3.35E-03
regulation of anatomical structure size (GO:0090066)	67	6	2.44	+	2.46	3.47E-02
regulation of cellular component size (GO:0032535)	56	5	2.04	+	2.45	5.24E-02
positive regulation of Wnt signaling pathway (GO:0030177)	23	2	.84	+	2.39	2.04E-01
protein depolymerization (GO:0051261)	23	2	.84	+	2.39	2.04E-01
cell junction assembly (GO:0034329)	58	5	2.11	+	2.37	5.94E-02
activation of GTPase activity (GO:0090630)	35	3	1.27	+	2.35	1.34E-01
synaptic signaling (GO:0099536)	142	12	5.17	+	2.32	5.67E-03
negative regulation of catalytic activity (GO:0043086)	60	5	2.19	+	2.29	6.68E-02
vitamin transport (GO:0051180)	12	1	.44	+	2.29	3.59E-01
DNA geometric change (GO:0032392)	12	1	.44	+	2.29	3.59E-01
regulation of ERBB signaling pathway (GO:1901184)	12	1	.44	+	2.29	3.59E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	48	4	1.75	+	2.29	9.65E-02
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	1	.44	+	2.29	3.59E-01
establishment of protein localization to vacuole (GO:0072666)	24	2	.87	+	2.29	2.17E-01
aromatic amino acid metabolic process (GO:0009072)	12	1	.44	+	2.29	3.59E-01
tetrapyrrole metabolic process (GO:0033013)	12	1	.44	+	2.29	3.59E-01
mRNA splice site recognition (GO:0006376)	12	1	.44	+	2.29	3.59E-01
DNA duplex unwinding (GO:0032508)	12	1	.44	+	2.29	3.59E-01
heart morphogenesis (GO:0003007)	12	1	.44	+	2.29	3.59E-01
purine-containing compound catabolic process (GO:0072523)	24	2	.87	+	2.29	2.17E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	1	.44	+	2.29	3.59E-01
membrane assembly (GO:0071709)	12	1	.44	+	2.29	3.59E-01
pyrimidine nucleotide metabolic process (GO:0006220)	12	1	.44	+	2.29	3.59E-01
extrinsic apoptotic signaling pathway (GO:0097191)	12	1	.44	+	2.29	3.59E-01
membrane fusion (GO:0061025)	49	4	1.78	+	2.24	1.02E-01
regulation of mRNA processing (GO:0050684)	37	3	1.35	+	2.23	1.51E-01
chloride transport (GO:0006821)	37	3	1.35	+	2.23	1.51E-01
phosphatidylinositol dephosphorylation (GO:0046856)	25	2	.91	+	2.20	2.31E-01
protein dephosphorylation (GO:0006470)	50	4	1.82	+	2.20	1.08E-01
negative regulation of hydrolase activity (GO:0051346)	25	2	.91	+	2.20	2.31E-01
respiratory electron transport chain (GO:0022904)	13	1	.47	+	2.11	3.83E-01
pigment metabolic process (GO:0042440)	13	1	.47	+	2.11	3.83E-01
protein localization to vacuole (GO:0072665)	26	2	.95	+	2.11	2.44E-01
pigmentation (GO:0043473)	13	1	.47	+	2.11	3.83E-01
regulation of cell-substrate adhesion (GO:0010810)	13	1	.47	+	2.11	3.83E-01
DNA synthesis involved in DNA repair (GO:0000731)	13	1	.47	+	2.11	3.83E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	13	1	.47	+	2.11	3.83E-01
glycosyl compound catabolic process (GO:1901658)	13	1	.47	+	2.11	3.83E-01
protein targeting (GO:0006605)	65	5	2.37	+	2.11	8.75E-02
positive regulation of cell differentiation (GO:0045597)	52	4	1.89	+	2.11	1.20E-01
monoatomic anion transmembrane transport (GO:0098656)	39	3	1.42	+	2.11	1.68E-01
regulation of exocytosis (GO:0017157)	26	2	.95	+	2.11	2.44E-01
regulation of protein transport (GO:0051223)	13	1	.47	+	2.11	3.83E-01
endosome organization (GO:0007032)	13	1	.47	+	2.11	3.83E-01
dephosphorylation (GO:0016311)	91	7	3.31	+	2.11	4.79E-02
regulation of protein kinase activity (GO:0045859)	79	6	2.88	+	2.09	6.77E-02
phosphatidylinositol biosynthetic process (GO:0006661)	53	4	1.93	+	2.07	1.27E-01
inorganic anion transmembrane transport (GO:0098661)	40	3	1.46	+	2.06	1.78E-01
protein transmembrane transport (GO:0071806)	27	2	.98	+	2.03	2.58E-01
negative regulation of proteolysis (GO:0045861)	27	2	.98	+	2.03	2.58E-01
regulation of kinase activity (GO:0043549)	123	9	4.48	+	2.01	4.57E-02
apoptotic process (GO:0006915)	55	4	2.00	+	2.00	1.40E-01
cell-cell adhesion (GO:0098609)	152	11	5.54	+	1.99	2.65E-02
nucleoside metabolic process (GO:0009116)	14	1	.51	+	1.96	4.05E-01
protein acylation (GO:0043543)	28	2	1.02	+	1.96	2.72E-01
endosome to lysosome transport (GO:0008333)	14	1	.51	+	1.96	4.05E-01
skeletal muscle tissue development (GO:0007519)	14	1	.51	+	1.96	4.05E-01
ncRNA transcription (GO:0098781)	14	1	.51	+	1.96	4.05E-01
mRNA transport (GO:0051028)	28	2	1.02	+	1.96	2.72E-01
regulation of transferase activity (GO:0051338)	126	9	4.59	+	1.96	4.96E-02
amino sugar metabolic process (GO:0006040)	14	1	.51	+	1.96	4.05E-01
glycosaminoglycan biosynthetic process (GO:0006024)	14	1	.51	+	1.96	4.05E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	1	.51	+	1.96	4.05E-01
transcription by RNA polymerase III (GO:0006383)	14	1	.51	+	1.96	4.05E-01
regulation of potassium ion transmembrane transport (GO:1901379)	14	1	.51	+	1.96	4.05E-01
nucleus organization (GO:0006997)	14	1	.51	+	1.96	4.05E-01
negative regulation of translation (GO:0017148)	14	1	.51	+	1.96	4.05E-01
regulation of axonogenesis (GO:0050770)	14	1	.51	+	1.96	4.05E-01
regulation of phosphorus metabolic process (GO:0051174)	182	13	6.63	+	1.96	2.46E-02
regulation of phosphate metabolic process (GO:0019220)	182	13	6.63	+	1.96	2.46E-02
regulation of secretion by cell (GO:1903530)	42	3	1.53	+	1.96	1.96E-01
vesicle fusion (GO:0006906)	42	3	1.53	+	1.96	1.96E-01
extracellular matrix organization (GO:0030198)	100	7	3.64	+	1.92	9.63E-02
extracellular structure organization (GO:0043062)	100	7	3.64	+	1.92	9.63E-02
external encapsulating structure organization (GO:0045229)	100	7	3.64	+	1.92	9.63E-02
regulation of secretion (GO:0051046)	43	3	1.57	+	1.92	2.06E-01
negative regulation of protein modification process (GO:0031400)	43	3	1.57	+	1.92	2.06E-01
organelle membrane fusion (GO:0090174)	43	3	1.57	+	1.92	2.06E-01
cell-cell signaling (GO:0007267)	232	16	8.45	+	1.89	1.25E-02
proteoglycan metabolic process (GO:0006029)	29	2	1.06	+	1.89	2.85E-01
apoptotic signaling pathway (GO:0097190)	29	2	1.06	+	1.89	2.85E-01
endocytosis (GO:0006897)	117	8	4.26	+	1.88	7.64E-02
negative regulation of protein metabolic process (GO:0051248)	88	6	3.20	+	1.87	1.39E-01
monoatomic anion transport (GO:0006820)	44	3	1.60	+	1.87	2.15E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	7	3.75	+	1.87	1.03E-01
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	1	.55	+	1.83	4.27E-01
programmed cell death (GO:0012501)	60	4	2.19	+	1.83	2.82E-01
regulation of establishment of protein localization (GO:0070201)	15	1	.55	+	1.83	4.27E-01
nucleoside triphosphate metabolic process (GO:0009141)	30	2	1.09	+	1.83	2.99E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	1	.55	+	1.83	4.27E-01
hippo signaling (GO:0035329)	15	1	.55	+	1.83	4.27E-01
protein localization to cilium (GO:0061512)	15	1	.55	+	1.83	4.27E-01
regulation of leukocyte migration (GO:0002685)	15	1	.55	+	1.83	4.27E-01
cell death (GO:0008219)	60	4	2.19	+	1.83	2.82E-01
positive regulation of nervous system development (GO:0051962)	30	2	1.09	+	1.83	2.99E-01
protein targeting to membrane (GO:0006612)	30	2	1.09	+	1.83	2.99E-01
DNA conformation change (GO:0071103)	15	1	.55	+	1.83	4.27E-01
negative regulation of response to external stimulus (GO:0032102)	15	1	.55	+	1.83	4.27E-01
axoneme assembly (GO:0035082)	15	1	.55	+	1.83	4.27E-01
phosphatidylinositol metabolic process (GO:0046488)	90	6	3.28	+	1.83	1.45E-01
proteasomal protein catabolic process (GO:0010498)	136	9	4.95	+	1.82	9.92E-02
cellular nitrogen compound catabolic process (GO:0044270)	106	7	3.86	+	1.81	1.11E-01
heterocycle catabolic process (GO:0046700)	106	7	3.86	+	1.81	1.11E-01
regulation of phosphorylation (GO:0042325)	167	11	6.08	+	1.81	5.62E-02
regulation of protein phosphorylation (GO:0001932)	122	8	4.44	+	1.80	8.77E-02
regulation of translation (GO:0006417)	46	3	1.68	+	1.79	2.34E-01
nucleobase-containing compound catabolic process (GO:0034655)	92	6	3.35	+	1.79	1.51E-01
import into cell (GO:0098657)	186	12	6.77	+	1.77	4.72E-02
regulation of canonical NF-kappaB signal transduction (GO:0043122)	31	2	1.13	+	1.77	3.12E-01
heterocycle biosynthetic process (GO:0018130)	188	12	6.85	+	1.75	4.95E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	141	9	5.13	+	1.75	1.05E-01
exocytosis (GO:0006887)	79	5	2.88	+	1.74	2.13E-01
regulation of protein modification process (GO:0031399)	143	9	5.21	+	1.73	1.09E-01
axo-dendritic transport (GO:0008088)	16	1	.58	+	1.72	4.48E-01
regulation of potassium ion transport (GO:0043266)	16	1	.58	+	1.72	4.48E-01
electron transport chain (GO:0022900)	16	1	.58	+	1.72	4.48E-01
nucleoside monophosphate metabolic process (GO:0009123)	16	1	.58	+	1.72	4.48E-01
phospholipid dephosphorylation (GO:0046839)	32	2	1.17	+	1.72	3.26E-01
positive regulation of GTPase activity (GO:0043547)	48	3	1.75	+	1.72	2.54E-01
vesicle cytoskeletal trafficking (GO:0099518)	16	1	.58	+	1.72	4.48E-01
aromatic compound catabolic process (GO:0019439)	112	7	4.08	+	1.72	1.30E-01
aromatic compound biosynthetic process (GO:0019438)	192	12	6.99	+	1.72	7.52E-02
glycolytic process (GO:0006096)	16	1	.58	+	1.72	4.48E-01
regulation of nervous system development (GO:0051960)	48	3	1.75	+	1.72	2.54E-01
