PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(276)	(expected)	(over/under)	(fold Enrichment)	P-value
negative regulation of immune system process (GO:0002683)	16	3	.37	+	8.08	5.54E-03
dicarboxylic acid transport (GO:0006835)	16	3	.37	+	8.08	5.54E-03
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	3	.39	+	7.60	6.61E-03
spliceosomal complex assembly (GO:0000245)	18	3	.42	+	7.18	7.80E-03
IMP biosynthetic process (GO:0006188)	6	1	.14	+	7.18	1.31E-01
mRNA splice site recognition (GO:0006376)	12	2	.28	+	7.18	3.04E-02
regulation of telomere maintenance (GO:0032204)	6	1	.14	+	7.18	1.31E-01
regulation of receptor-mediated endocytosis (GO:0048259)	6	1	.14	+	7.18	1.31E-01
negative regulation of TORC1 signaling (GO:1904262)	6	1	.14	+	7.18	1.31E-01
acidic amino acid transport (GO:0015800)	6	1	.14	+	7.18	1.31E-01
nucleobase metabolic process (GO:0009112)	19	3	.44	+	6.80	9.10E-03
negative regulation of nuclear division (GO:0051784)	13	2	.30	+	6.63	3.54E-02
autophagosome maturation (GO:0097352)	7	1	.16	+	6.15	1.52E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	1	.16	+	6.15	1.52E-01
positive regulation of actin filament bundle assembly (GO:0032233)	7	1	.16	+	6.15	1.52E-01
membrane protein proteolysis (GO:0033619)	14	2	.32	+	6.15	4.07E-02
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	22	3	.51	+	5.87	1.37E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	.35	+	5.74	4.62E-02
mitochondrial fission (GO:0000266)	8	1	.19	+	5.38	1.71E-01
hormone-mediated signaling pathway (GO:0009755)	24	3	.56	+	5.38	1.75E-02
glycerophospholipid catabolic process (GO:0046475)	8	1	.19	+	5.38	1.71E-01
telomere maintenance via telomere lengthening (GO:0010833)	8	1	.19	+	5.38	1.71E-01
reticulophagy (GO:0061709)	8	1	.19	+	5.38	1.71E-01
cellular response to starvation (GO:0009267)	24	3	.56	+	5.38	1.75E-02
sister chromatid cohesion (GO:0007062)	16	2	.37	+	5.38	5.20E-02
negative regulation of multicellular organismal process (GO:0051241)	33	4	.77	+	5.22	6.84E-03
maintenance of location (GO:0051235)	25	3	.58	+	5.17	1.95E-02
cellular response to nutrient levels (GO:0031669)	25	3	.58	+	5.17	1.95E-02
cellular response to extracellular stimulus (GO:0031668)	25	3	.58	+	5.17	1.95E-02
innate immune response (GO:0045087)	26	3	.60	+	4.97	2.17E-02
cellular response to external stimulus (GO:0071496)	26	3	.60	+	4.97	2.17E-02
regulation of response to biotic stimulus (GO:0002831)	26	3	.60	+	4.97	2.17E-02
iron-sulfur cluster assembly (GO:0016226)	9	1	.21	+	4.79	1.91E-01
hemostasis (GO:0007599)	9	1	.21	+	4.79	1.91E-01
blood coagulation (GO:0007596)	9	1	.21	+	4.79	1.91E-01
protein import into mitochondrial matrix (GO:0030150)	9	1	.21	+	4.79	1.91E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	18	2	.42	+	4.79	6.44E-02
cellular response to amino acid starvation (GO:0034198)	9	1	.21	+	4.79	1.91E-01
phagolysosome assembly (GO:0001845)	9	1	.21	+	4.79	1.91E-01
IMP metabolic process (GO:0046040)	9	1	.21	+	4.79	1.91E-01
coagulation (GO:0050817)	9	1	.21	+	4.79	1.91E-01
regulation of TORC1 signaling (GO:1903432)	18	2	.42	+	4.79	6.44E-02
pyrimidine nucleobase metabolic process (GO:0006206)	9	1	.21	+	4.79	1.91E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	2	.42	+	4.79	6.44E-02
negative regulation of cell cycle phase transition (GO:1901988)	46	5	1.07	+	4.68	4.09E-03
defense response to symbiont (GO:0140546)	28	3	.65	+	4.62	2.64E-02
positive regulation of GTPase activity (GO:0043547)	48	5	1.11	+	4.49	4.93E-03
negative regulation of Wnt signaling pathway (GO:0030178)	29	3	.67	+	4.46	2.90E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	3	.67	+	4.46	2.90E-02
monoatomic anion transmembrane transport (GO:0098656)	39	4	.91	+	4.42	1.23E-02
negative regulation of cell cycle process (GO:0010948)	49	5	1.14	+	4.40	5.38E-03
positive regulation of macroautophagy (GO:0016239)	10	1	.23	+	4.31	2.09E-01
negative regulation of TOR signaling (GO:0032007)	10	1	.23	+	4.31	2.09E-01
folic acid-containing compound metabolic process (GO:0006760)	10	1	.23	+	4.31	2.09E-01
regulation of sodium ion transport (GO:0002028)	20	2	.46	+	4.31	7.76E-02
reciprocal meiotic recombination (GO:0007131)	20	2	.46	+	4.31	7.76E-02
regulation of actin filament bundle assembly (GO:0032231)	10	1	.23	+	4.31	2.09E-01
homologous recombination (GO:0035825)	20	2	.46	+	4.31	7.76E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	2	.46	+	4.31	7.76E-02
positive regulation of synaptic transmission (GO:0050806)	20	2	.46	+	4.31	7.76E-02
protein export from nucleus (GO:0006611)	10	1	.23	+	4.31	2.09E-01
regulation of lymphocyte activation (GO:0051249)	10	1	.23	+	4.31	2.09E-01
myelination (GO:0042552)	10	1	.23	+	4.31	2.09E-01
reciprocal homologous recombination (GO:0140527)	20	2	.46	+	4.31	7.76E-02
regulation of cell development (GO:0060284)	51	5	1.18	+	4.22	6.39E-03
response to starvation (GO:0042594)	31	3	.72	+	4.17	3.45E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	2	.49	+	4.10	8.44E-02
actin filament bundle assembly (GO:0051017)	21	2	.49	+	4.10	8.44E-02
amino acid transmembrane transport (GO:0003333)	42	4	.97	+	4.10	1.59E-02
positive regulation of response to biotic stimulus (GO:0002833)	21	2	.49	+	4.10	8.44E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	3	.74	+	4.04	3.74E-02
actin filament bundle organization (GO:0061572)	22	2	.51	+	3.92	9.15E-02
Notch signaling pathway (GO:0007219)	22	2	.51	+	3.92	9.15E-02
sphingolipid catabolic process (GO:0030149)	11	1	.26	+	3.92	2.28E-01
regulation of leukocyte activation (GO:0002694)	11	1	.26	+	3.92	2.28E-01
clathrin-dependent endocytosis (GO:0072583)	11	1	.26	+	3.92	2.28E-01
response to oxidative stress (GO:0006979)	22	2	.51	+	3.92	9.15E-02
negative regulation of defense response (GO:0031348)	11	1	.26	+	3.92	2.28E-01
COPII-coated vesicle budding (GO:0090114)	11	1	.26	+	3.92	2.28E-01
monoatomic anion transport (GO:0006820)	44	4	1.02	+	3.92	1.86E-02
cellular respiration (GO:0045333)	33	3	.77	+	3.92	4.04E-02
defense response to other organism (GO:0098542)	33	3	.77	+	3.92	4.04E-02
regulation of Wnt signaling pathway (GO:0030111)	57	5	1.32	+	3.78	1.02E-02
positive regulation of Wnt signaling pathway (GO:0030177)	23	2	.53	+	3.75	9.88E-02
regulation of GTPase activity (GO:0043087)	69	6	1.60	+	3.75	5.23E-03
carbohydrate derivative transport (GO:1901264)	23	2	.53	+	3.75	9.88E-02
negative regulation of cell cycle (GO:0045786)	58	5	1.35	+	3.71	1.09E-02
activation of GTPase activity (GO:0090630)	35	3	.81	+	3.69	4.69E-02
response to extracellular stimulus (GO:0009991)	35	3	.81	+	3.69	4.69E-02
regulation of neurogenesis (GO:0050767)	35	3	.81	+	3.69	4.69E-02
response to nutrient levels (GO:0031667)	35	3	.81	+	3.69	4.69E-02
phospholipid catabolic process (GO:0009395)	12	1	.28	+	3.59	2.46E-01
regulation of Notch signaling pathway (GO:0008593)	12	1	.28	+	3.59	2.46E-01
protein stabilization (GO:0050821)	12	1	.28	+	3.59	2.46E-01
positive regulation of TORC1 signaling (GO:1904263)	12	1	.28	+	3.59	2.46E-01
dicarboxylic acid metabolic process (GO:0043648)	12	1	.28	+	3.59	2.46E-01
regulation of dendrite development (GO:0050773)	12	1	.28	+	3.59	2.46E-01
pyrimidine nucleotide metabolic process (GO:0006220)	12	1	.28	+	3.59	2.46E-01
positive regulation of transporter activity (GO:0032411)	12	1	.28	+	3.59	2.46E-01
receptor internalization (GO:0031623)	12	1	.28	+	3.59	2.46E-01
tRNA metabolic process (GO:0006399)	85	7	1.97	+	3.55	3.55E-03
regulation of mRNA processing (GO:0050684)	37	3	.86	+	3.49	5.39E-02
negative regulation of mitotic cell cycle (GO:0045930)	37	3	.86	+	3.49	5.39E-02
meiosis I (GO:0007127)	25	2	.58	+	3.45	1.14E-01
regulation of multicellular organismal development (GO:2000026)	91	7	2.11	+	3.31	5.18E-03
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	1	.30	+	3.31	2.63E-01
respiratory electron transport chain (GO:0022904)	13	1	.30	+	3.31	2.63E-01
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	1	.30	+	3.31	2.63E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	13	1	.30	+	3.31	2.63E-01
regulation of cell size (GO:0008361)	13	1	.30	+	3.31	2.63E-01
cellular response to topologically incorrect protein (GO:0035967)	26	2	.60	+	3.31	1.21E-01
response to topologically incorrect protein (GO:0035966)	26	2	.60	+	3.31	1.21E-01
mRNA destabilization (GO:0061157)	26	2	.60	+	3.31	1.21E-01
positive regulation of protein polymerization (GO:0032273)	13	1	.30	+	3.31	2.63E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	13	1	.30	+	3.31	2.63E-01
regulation of cell activation (GO:0050865)	13	1	.30	+	3.31	2.63E-01
energy derivation by oxidation of organic compounds (GO:0015980)	39	3	.91	+	3.31	6.13E-02
organic acid transmembrane transport (GO:1903825)	52	4	1.21	+	3.31	3.22E-02
protein targeting to vacuole (GO:0006623)	13	1	.30	+	3.31	2.63E-01
carboxylic acid transmembrane transport (GO:1905039)	52	4	1.21	+	3.31	3.22E-02
negative regulation of gene expression, epigenetic (GO:0045814)	26	2	.60	+	3.31	1.21E-01
RNA destabilization (GO:0050779)	26	2	.60	+	3.31	1.21E-01
intracellular receptor signaling pathway (GO:0030522)	13	1	.30	+	3.31	2.63E-01
neural crest cell migration (GO:0001755)	27	2	.63	+	3.19	1.29E-01
meiosis I cell cycle process (GO:0061982)	27	2	.63	+	3.19	1.29E-01
synaptic vesicle endocytosis (GO:0048488)	27	2	.63	+	3.19	1.29E-01
positive regulation of hydrolase activity (GO:0051345)	68	5	1.58	+	3.17	2.07E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	41	3	.95	+	3.15	6.91E-02
macroautophagy (GO:0016236)	55	4	1.28	+	3.13	3.85E-02
synaptic vesicle recycling (GO:0036465)	28	2	.65	+	3.08	1.37E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	14	1	.32	+	3.08	2.80E-01
glycerolipid catabolic process (GO:0046503)	14	1	.32	+	3.08	2.80E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	1	.32	+	3.08	2.80E-01
regulation of nuclear division (GO:0051783)	28	2	.65	+	3.08	1.37E-01
endosome to lysosome transport (GO:0008333)	14	1	.32	+	3.08	2.80E-01
regulation of TOR signaling (GO:0032006)	28	2	.65	+	3.08	1.37E-01
aerobic respiration (GO:0009060)	28	2	.65	+	3.08	1.37E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	1	.32	+	3.08	2.80E-01
regulation of body fluid levels (GO:0050878)	14	1	.32	+	3.08	2.80E-01
lytic vacuole organization (GO:0080171)	14	1	.32	+	3.08	2.80E-01
lysosome organization (GO:0007040)	14	1	.32	+	3.08	2.80E-01
receptor-mediated endocytosis (GO:0006898)	28	2	.65	+	3.08	1.37E-01
amino acid transport (GO:0006865)	57	4	1.32	+	3.02	4.30E-02
response to external biotic stimulus (GO:0043207)	43	3	1.00	+	3.01	7.74E-02
response to other organism (GO:0051707)	43	3	1.00	+	3.01	7.74E-02
neural crest cell differentiation (GO:0014033)	29	2	.67	+	2.97	1.45E-01
neural crest cell development (GO:0014032)	29	2	.67	+	2.97	1.45E-01
stem cell development (GO:0048864)	29	2	.67	+	2.97	1.45E-01
stem cell differentiation (GO:0048863)	29	2	.67	+	2.97	1.45E-01
positive regulation of mRNA catabolic process (GO:0061014)	29	2	.67	+	2.97	1.45E-01
positive regulation of response to external stimulus (GO:0032103)	29	2	.67	+	2.97	1.45E-01
response to biotic stimulus (GO:0009607)	44	3	1.02	+	2.94	8.17E-02
autophagosome assembly (GO:0000045)	44	3	1.02	+	2.94	8.17E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	44	3	1.02	+	2.94	8.17E-02
regulation of macroautophagy (GO:0016241)	15	1	.35	+	2.87	2.97E-01
positive regulation of TOR signaling (GO:0032008)	15	1	.35	+	2.87	2.97E-01
maturation of 5.8S rRNA (GO:0000460)	15	1	.35	+	2.87	2.97E-01
sarcomere organization (GO:0045214)	15	1	.35	+	2.87	2.97E-01
negative regulation of RNA catabolic process (GO:1902369)	15	1	.35	+	2.87	2.97E-01
negative regulation of response to external stimulus (GO:0032102)	15	1	.35	+	2.87	2.97E-01
regulation of protein stability (GO:0031647)	15	1	.35	+	2.87	2.97E-01
regulation of cell cycle phase transition (GO:1901987)	76	5	1.76	+	2.83	3.16E-02
organophosphate ester transport (GO:0015748)	46	3	1.07	+	2.81	9.07E-02
positive regulation of cellular catabolic process (GO:0031331)	46	3	1.07	+	2.81	9.07E-02
mesenchyme development (GO:0060485)	31	2	.72	+	2.78	1.61E-01
mesenchymal cell differentiation (GO:0048762)	31	2	.72	+	2.78	1.61E-01
vacuole organization (GO:0007033)	63	4	1.46	+	2.74	5.83E-02
electron transport chain (GO:0022900)	16	1	.37	+	2.69	3.13E-01
nucleoside monophosphate metabolic process (GO:0009123)	16	1	.37	+	2.69	3.13E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	1	.37	+	2.69	3.13E-01
microautophagy (GO:0016237)	16	1	.37	+	2.69	3.13E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	1	.37	+	2.69	3.13E-01
tricarboxylic acid cycle (GO:0006099)	16	1	.37	+	2.69	3.13E-01
positive regulation of autophagy (GO:0010508)	16	1	.37	+	2.69	3.13E-01
regulation of nervous system development (GO:0051960)	48	3	1.11	+	2.69	9.99E-02
piecemeal microautophagy of the nucleus (GO:0034727)	16	1	.37	+	2.69	3.13E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	1	.37	+	2.69	3.13E-01
autophagy (GO:0006914)	64	4	1.49	+	2.69	6.11E-02
microtubule nucleation (GO:0007020)	16	1	.37	+	2.69	3.13E-01
regulation of response to external stimulus (GO:0032101)	48	3	1.11	+	2.69	9.99E-02
cAMP-mediated signaling (GO:0019933)	16	1	.37	+	2.69	3.13E-01
process utilizing autophagic mechanism (GO:0061919)	64	4	1.49	+	2.69	6.11E-02
protein-DNA complex assembly (GO:0065004)	32	2	.74	+	2.69	1.70E-01
GPI anchor biosynthetic process (GO:0006506)	16	1	.37	+	2.69	3.13E-01
L-amino acid transport (GO:0015807)	16	1	.37	+	2.69	3.13E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	2	.77	+	2.61	1.78E-01
meiotic nuclear division (GO:0140013)	33	2	.77	+	2.61	1.78E-01
chloride transmembrane transport (GO:1902476)	33	2	.77	+	2.61	1.78E-01
positive regulation of cell development (GO:0010720)	33	2	.77	+	2.61	1.78E-01
epigenetic regulation of gene expression (GO:0040029)	33	2	.77	+	2.61	1.78E-01
lipid localization (GO:0010876)	83	5	1.93	+	2.60	4.36E-02
negative regulation of apoptotic process (GO:0043066)	50	3	1.16	+	2.58	1.10E-01
modification-dependent macromolecule catabolic process (GO:0043632)	200	12	4.64	+	2.58	2.46E-03
negative regulation of monoatomic ion transport (GO:0043271)	17	1	.39	+	2.53	3.29E-01
positive regulation of mRNA metabolic process (GO:1903313)	34	2	.79	+	2.53	1.86E-01
snRNA 3'-end processing (GO:0034472)	17	1	.39	+	2.53	3.29E-01
acyl-CoA metabolic process (GO:0006637)	17	1	.39	+	2.53	3.29E-01
negative regulation of programmed cell death (GO:0043069)	51	3	1.18	+	2.53	1.15E-01
intrinsic apoptotic signaling pathway (GO:0097193)	17	1	.39	+	2.53	3.29E-01
GPI anchor metabolic process (GO:0006505)	17	1	.39	+	2.53	3.29E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	6	2.39	+	2.51	3.27E-02
regulation of metal ion transport (GO:0010959)	52	3	1.21	+	2.49	1.20E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	191	11	4.43	+	2.48	5.01E-03
regulation of cell cycle process (GO:0010564)	105	6	2.44	+	2.46	3.54E-02
regulation of autophagy (GO:0010506)	35	2	.81	+	2.46	1.95E-01
regulation of mRNA metabolic process (GO:1903311)	89	5	2.07	+	2.42	5.59E-02
modification-dependent protein catabolic process (GO:0019941)	197	11	4.57	+	2.41	6.29E-03
ameboidal-type cell migration (GO:0001667)	36	2	.84	+	2.39	2.03E-01
mitochondrial transmembrane transport (GO:1990542)	36	2	.84	+	2.39	2.03E-01
wound healing (GO:0042060)	18	1	.42	+	2.39	3.45E-01
autophagy of mitochondrion (GO:0000422)	36	2	.84	+	2.39	2.03E-01
glycolipid metabolic process (GO:0006664)	36	2	.84	+	2.39	2.03E-01
protein targeting to mitochondrion (GO:0006626)	18	1	.42	+	2.39	3.45E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	54	3	1.25	+	2.39	1.30E-01
ribonucleotide biosynthetic process (GO:0009260)	36	2	.84	+	2.39	2.03E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	18	1	.42	+	2.39	3.45E-01
regulation of cell differentiation (GO:0045595)	91	5	2.11	+	2.37	6.04E-02
immune response (GO:0006955)	55	3	1.28	+	2.35	1.35E-01
liposaccharide metabolic process (GO:1903509)	37	2	.86	+	2.33	2.12E-01
cell cycle checkpoint signaling (GO:0000075)	37	2	.86	+	2.33	2.12E-01
chloride transport (GO:0006821)	37	2	.86	+	2.33	2.12E-01
defense response (GO:0006952)	57	3	1.32	+	2.27	1.46E-01
protein localization to mitochondrion (GO:0070585)	19	1	.44	+	2.27	3.60E-01
vasculature development (GO:0001944)	38	2	.88	+	2.27	2.20E-01
regulation of endocytosis (GO:0030100)	19	1	.44	+	2.27	3.60E-01
establishment of protein localization to mitochondrion (GO:0072655)	19	1	.44	+	2.27	3.60E-01
microtubule polymerization (GO:0046785)	19	1	.44	+	2.27	3.60E-01
establishment of protein localization to extracellular region (GO:0035592)	19	1	.44	+	2.27	3.60E-01
snRNA processing (GO:0016180)	19	1	.44	+	2.27	3.60E-01
protein secretion (GO:0009306)	19	1	.44	+	2.27	3.60E-01
phagocytosis (GO:0006909)	19	1	.44	+	2.27	3.60E-01
lysosomal transport (GO:0007041)	19	1	.44	+	2.27	3.60E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	1	.44	+	2.27	3.60E-01
protein localization to extracellular region (GO:0071692)	19	1	.44	+	2.27	3.60E-01
positive regulation of cell communication (GO:0010647)	191	10	4.43	+	2.26	1.37E-02
positive regulation of signaling (GO:0023056)	191	10	4.43	+	2.26	1.37E-02
DNA recombination (GO:0006310)	77	4	1.79	+	2.24	1.04E-01
regulation of RNA splicing (GO:0043484)	58	3	1.35	+	2.23	1.51E-01
ribose phosphate biosynthetic process (GO:0046390)	39	2	.91	+	2.21	2.29E-01
carboxylic acid transport (GO:0046942)	98	5	2.27	+	2.20	7.77E-02
regulation of cellular catabolic process (GO:0031329)	98	5	2.27	+	2.20	7.77E-02
organic acid transport (GO:0015849)	98	5	2.27	+	2.20	7.77E-02
regulation of hydrolase activity (GO:0051336)	118	6	2.74	+	2.19	5.68E-02
protein O-linked glycosylation (GO:0006493)	40	2	.93	+	2.15	2.38E-01
regulation of transmembrane transporter activity (GO:0022898)	40	2	.93	+	2.15	2.38E-01
heterochromatin formation (GO:0031507)	20	1	.46	+	2.15	3.75E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	1	.46	+	2.15	3.75E-01
regulation of calcium ion transport (GO:0051924)	20	1	.46	+	2.15	3.75E-01
inorganic anion transmembrane transport (GO:0098661)	40	2	.93	+	2.15	2.38E-01
ribosomal large subunit biogenesis (GO:0042273)	40	2	.93	+	2.15	2.38E-01
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	40	2	.93	+	2.15	2.38E-01
neutral amino acid transport (GO:0015804)	20	1	.46	+	2.15	3.75E-01
regulation of developmental process (GO:0050793)	183	9	4.25	+	2.12	4.02E-02
translation (GO:0006412)	122	6	2.83	+	2.12	6.47E-02
vacuolar transport (GO:0007034)	61	3	1.42	+	2.12	1.68E-01
proteolysis involved in protein catabolic process (GO:0051603)	246	12	5.71	+	2.10	1.53E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	41	2	.95	+	2.10	2.46E-01
amide metabolic process (GO:0043603)	227	11	5.27	+	2.09	2.16E-02
peptide biosynthetic process (GO:0043043)	125	6	2.90	+	2.07	7.10E-02
peptide metabolic process (GO:0006518)	167	8	3.88	+	2.06	6.02E-02
regulation of angiogenesis (GO:0045765)	21	1	.49	+	2.05	3.90E-01
acetylcholine receptor signaling pathway (GO:0095500)	21	1	.49	+	2.05	3.90E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	42	2	.97	+	2.05	2.55E-01
phospholipid translocation (GO:0045332)	21	1	.49	+	2.05	3.90E-01
cytoplasmic microtubule organization (GO:0031122)	21	1	.49	+	2.05	3.90E-01
regulation of vasculature development (GO:1901342)	21	1	.49	+	2.05	3.90E-01
cellular response to hormone stimulus (GO:0032870)	63	3	1.46	+	2.05	1.80E-01
vesicle fusion (GO:0006906)	42	2	.97	+	2.05	2.55E-01
protein transmembrane import into intracellular organelle (GO:0044743)	21	1	.49	+	2.05	3.90E-01
positive regulation of neurogenesis (GO:0050769)	21	1	.49	+	2.05	3.90E-01
regulation of transporter activity (GO:0032409)	42	2	.97	+	2.05	2.55E-01
negative regulation of BMP signaling pathway (GO:0030514)	21	1	.49	+	2.05	3.90E-01
positive regulation of signal transduction (GO:0009967)	169	8	3.92	+	2.04	6.18E-02
protein catabolic process (GO:0030163)	256	12	5.94	+	2.02	1.88E-02
generation of precursor metabolites and energy (GO:0006091)	64	3	1.49	+	2.02	1.86E-01
meiotic cell cycle process (GO:1903046)	43	2	1.00	+	2.00	2.64E-01
negative regulation of response to stimulus (GO:0048585)	172	8	3.99	+	2.00	6.44E-02
organelle membrane fusion (GO:0090174)	43	2	1.00	+	2.00	2.64E-01
positive regulation of cellular component biogenesis (GO:0044089)	43	2	1.00	+	2.00	2.64E-01
mitochondrial transport (GO:0006839)	43	2	1.00	+	2.00	2.64E-01
negative regulation of signal transduction (GO:0009968)	151	7	3.51	+	2.00	9.04E-02
lipid translocation (GO:0034204)	22	1	.51	+	1.96	4.04E-01
mRNA catabolic process (GO:0006402)	44	2	1.02	+	1.96	2.72E-01
endoplasmic reticulum organization (GO:0007029)	22	1	.51	+	1.96	4.04E-01
import across plasma membrane (GO:0098739)	66	3	1.53	+	1.96	1.97E-01
protein-RNA complex assembly (GO:0022618)	67	3	1.56	+	1.93	2.03E-01
negative regulation of cell communication (GO:0010648)	157	7	3.64	+	1.92	9.77E-02
negative regulation of signaling (GO:0023057)	157	7	3.64	+	1.92	9.77E-02
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	2	1.04	+	1.91	2.81E-01
chromosome organization (GO:0051276)	113	5	2.62	+	1.91	1.92E-01
regulation of monoatomic ion transport (GO:0043269)	68	3	1.58	+	1.90	2.09E-01
proteasomal protein catabolic process (GO:0010498)	136	6	3.16	+	1.90	1.37E-01
organelle disassembly (GO:1903008)	46	2	1.07	+	1.87	2.89E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	23	1	.53	+	1.87	4.18E-01
positive regulation of catabolic process (GO:0009896)	69	3	1.60	+	1.87	2.16E-01
response to external stimulus (GO:0009605)	139	6	3.23	+	1.86	1.42E-01
regulation of apoptotic process (GO:0042981)	93	4	2.16	+	1.85	1.70E-01
import into cell (GO:0098657)	186	8	4.32	+	1.85	8.07E-02
endocytosis (GO:0006897)	117	5	2.72	+	1.84	1.99E-01
protein-DNA complex organization (GO:0071824)	118	5	2.74	+	1.83	2.01E-01
protein-RNA complex organization (GO:0071826)	71	3	1.65	+	1.82	2.28E-01
regulation of cell cycle (GO:0051726)	143	6	3.32	+	1.81	1.50E-01
negative regulation of cellular process (GO:0048523)	693	29	16.09	+	1.80	2.43E-03
positive regulation of organelle organization (GO:0010638)	48	2	1.11	+	1.79	3.07E-01
heterochromatin organization (GO:0070828)	24	1	.56	+	1.79	4.31E-01
