PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
DNA duplex unwinding (GO:0032508)	12	3	.42	+	7.13	7.43E-03
cortical actin cytoskeleton organization (GO:0030866)	13	3	.46	+	6.58	9.41E-03
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	2	.32	+	6.34	3.75E-02
DNA conformation change (GO:0071103)	15	3	.53	+	5.70	1.42E-02
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	1	.18	+	5.70	1.63E-01
snRNA transcription by RNA polymerase II (GO:0042795)	5	1	.18	+	5.70	1.63E-01
bile acid and bile salt transport (GO:0015721)	5	1	.18	+	5.70	1.63E-01
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	1	.18	+	5.70	1.63E-01
cytokine production (GO:0001816)	5	1	.18	+	5.70	1.63E-01
cytokinetic process (GO:0032506)	10	2	.35	+	5.70	4.58E-02
endoplasmic reticulum tubular network organization (GO:0071786)	10	2	.35	+	5.70	4.58E-02
negative regulation of lymphocyte activation (GO:0051250)	5	1	.18	+	5.70	1.63E-01
pyrimidine nucleobase catabolic process (GO:0006208)	5	1	.18	+	5.70	1.63E-01
peptide transport (GO:0015833)	5	1	.18	+	5.70	1.63E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	3	.56	+	5.35	1.71E-02
cAMP-mediated signaling (GO:0019933)	16	3	.56	+	5.35	1.71E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	3	.56	+	5.35	1.71E-02
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	3	.56	+	5.35	1.71E-02
sensory perception of mechanical stimulus (GO:0050954)	11	2	.39	+	5.19	5.47E-02
positive regulation of cell-substrate adhesion (GO:0010811)	11	2	.39	+	5.19	5.47E-02
endoplasmic reticulum organization (GO:0007029)	22	4	.77	+	5.19	6.60E-03
poly(A)+ mRNA export from nucleus (GO:0016973)	11	2	.39	+	5.19	5.47E-02
sensory perception of sound (GO:0007605)	11	2	.39	+	5.19	5.47E-02
protein sumoylation (GO:0016925)	11	2	.39	+	5.19	5.47E-02
intracellular glucose homeostasis (GO:0001678)	6	1	.21	+	4.75	1.93E-01
developmental pigmentation (GO:0048066)	6	1	.21	+	4.75	1.93E-01
nucleotide-sugar transmembrane transport (GO:0015780)	6	1	.21	+	4.75	1.93E-01
protein targeting to ER (GO:0045047)	12	2	.42	+	4.75	6.42E-02
negative regulation of leukocyte activation (GO:0002695)	6	1	.21	+	4.75	1.93E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	1	.21	+	4.75	1.93E-01
homologous chromosome pairing at meiosis (GO:0007129)	6	1	.21	+	4.75	1.93E-01
mitotic G2/M transition checkpoint (GO:0044818)	12	2	.42	+	4.75	6.42E-02
negative regulation of cell activation (GO:0050866)	6	1	.21	+	4.75	1.93E-01
regulation of receptor-mediated endocytosis (GO:0048259)	6	1	.21	+	4.75	1.93E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	2	.42	+	4.75	6.42E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	6	1	.21	+	4.75	1.93E-01
regulation of DNA recombination (GO:0000018)	6	1	.21	+	4.75	1.93E-01
intraciliary retrograde transport (GO:0035721)	6	1	.21	+	4.75	1.93E-01
polyamine biosynthetic process (GO:0006596)	6	1	.21	+	4.75	1.93E-01
mitotic DNA replication initiation (GO:1902975)	6	1	.21	+	4.75	1.93E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	18	3	.63	+	4.75	2.36E-02
vesicle budding from membrane (GO:0006900)	25	4	.88	+	4.56	1.05E-02
regulation of cell-substrate adhesion (GO:0010810)	13	2	.46	+	4.39	7.41E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	13	2	.46	+	4.39	7.41E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	13	2	.46	+	4.39	7.41E-02
gastrulation (GO:0007369)	13	2	.46	+	4.39	7.41E-02
formation of primary germ layer (GO:0001704)	13	2	.46	+	4.39	7.41E-02
cortical cytoskeleton organization (GO:0030865)	20	3	.70	+	4.28	3.13E-02
mitotic cytokinesis (GO:0000281)	14	2	.49	+	4.07	8.45E-02
protein K63-linked deubiquitination (GO:0070536)	7	1	.25	+	4.07	2.21E-01
calcineurin-mediated signaling (GO:0097720)	7	1	.25	+	4.07	2.21E-01
B cell activation (GO:0042113)	7	1	.25	+	4.07	2.21E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	2	.49	+	4.07	8.45E-02
attachment of spindle microtubules to kinetochore (GO:0008608)	7	1	.25	+	4.07	2.21E-01
insulin receptor signaling pathway (GO:0008286)	7	1	.25	+	4.07	2.21E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	1	.25	+	4.07	2.21E-01
glycosaminoglycan biosynthetic process (GO:0006024)	14	2	.49	+	4.07	8.45E-02
dorsal/ventral pattern formation (GO:0009953)	7	1	.25	+	4.07	2.21E-01
cardiac muscle cell differentiation (GO:0055007)	7	1	.25	+	4.07	2.21E-01
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	1	.25	+	4.07	2.21E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	1	.25	+	4.07	2.21E-01
cotranslational protein targeting to membrane (GO:0006613)	7	1	.25	+	4.07	2.21E-01
DNA unwinding involved in DNA replication (GO:0006268)	7	1	.25	+	4.07	2.21E-01
positive regulation of axonogenesis (GO:0050772)	7	1	.25	+	4.07	2.21E-01
regulation of axonogenesis (GO:0050770)	14	2	.49	+	4.07	8.45E-02
polyamine metabolic process (GO:0006595)	7	1	.25	+	4.07	2.21E-01
oogenesis (GO:0048477)	7	1	.25	+	4.07	2.21E-01
homologous chromosome segregation (GO:0045143)	7	1	.25	+	4.07	2.21E-01
cardiac muscle tissue development (GO:0048738)	14	2	.49	+	4.07	8.45E-02
striated muscle tissue development (GO:0014706)	14	2	.49	+	4.07	8.45E-02
Notch signaling pathway (GO:0007219)	22	3	.77	+	3.89	4.02E-02
response to oxidative stress (GO:0006979)	22	3	.77	+	3.89	4.02E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	.53	+	3.80	9.53E-02
regulation of DNA repair (GO:0006282)	15	2	.53	+	3.80	9.53E-02
DNA replication initiation (GO:0006270)	15	2	.53	+	3.80	9.53E-02
Golgi to plasma membrane transport (GO:0006893)	23	3	.81	+	3.72	4.51E-02
nucleoside catabolic process (GO:0009164)	8	1	.28	+	3.57	2.48E-01
response to hypoxia (GO:0001666)	16	2	.56	+	3.57	1.07E-01
microautophagy (GO:0016237)	16	2	.56	+	3.57	1.07E-01
positive regulation of chemotaxis (GO:0050921)	8	1	.28	+	3.57	2.48E-01
regulation of chemotaxis (GO:0050920)	8	1	.28	+	3.57	2.48E-01
sprouting angiogenesis (GO:0002040)	8	1	.28	+	3.57	2.48E-01
positive regulation of leukocyte chemotaxis (GO:0002690)	8	1	.28	+	3.57	2.48E-01
receptor clustering (GO:0043113)	8	1	.28	+	3.57	2.48E-01
angiogenesis (GO:0001525)	32	4	1.12	+	3.57	2.47E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	1	.28	+	3.57	2.48E-01
piecemeal microautophagy of the nucleus (GO:0034727)	16	2	.56	+	3.57	1.07E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	2	.56	+	3.57	1.07E-01
positive regulation of JNK cascade (GO:0046330)	8	1	.28	+	3.57	2.48E-01
ribosomal subunit export from nucleus (GO:0000054)	8	1	.28	+	3.57	2.48E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	8	1	.28	+	3.57	2.48E-01
regulation of growth (GO:0040008)	16	2	.56	+	3.57	1.07E-01
tube development (GO:0035295)	40	5	1.40	+	3.57	1.24E-02
pyrimidine-containing compound metabolic process (GO:0072527)	24	3	.84	+	3.57	5.02E-02
response to oxygen levels (GO:0070482)	17	2	.60	+	3.36	1.18E-01
regulation of intracellular pH (GO:0051453)	26	3	.91	+	3.29	6.13E-02
regulation of neurogenesis (GO:0050767)	35	4	1.23	+	3.26	3.31E-02
polysaccharide biosynthetic process (GO:0000271)	9	1	.32	+	3.17	2.75E-01
cellular response to oxidative stress (GO:0034599)	9	1	.32	+	3.17	2.75E-01
positive regulation of DNA repair (GO:0045739)	9	1	.32	+	3.17	2.75E-01
intracellular pH reduction (GO:0051452)	9	1	.32	+	3.17	2.75E-01
protein import into mitochondrial matrix (GO:0030150)	9	1	.32	+	3.17	2.75E-01
neuromuscular junction development (GO:0007528)	9	1	.32	+	3.17	2.75E-01
monocarboxylic acid biosynthetic process (GO:0072330)	27	3	.95	+	3.17	6.72E-02
cellular response to lipopolysaccharide (GO:0071222)	9	1	.32	+	3.17	2.75E-01
cellular response to molecule of bacterial origin (GO:0071219)	9	1	.32	+	3.17	2.75E-01
cellular response to biotic stimulus (GO:0071216)	9	1	.32	+	3.17	2.75E-01
aromatic amino acid family catabolic process (GO:0009074)	9	1	.32	+	3.17	2.75E-01
wound healing (GO:0042060)	18	2	.63	+	3.17	1.30E-01
regulation of neuron differentiation (GO:0045664)	9	1	.32	+	3.17	2.75E-01
metaphase chromosome alignment (GO:0051310)	9	1	.32	+	3.17	2.75E-01
hemopoiesis (GO:0030097)	27	3	.95	+	3.17	6.72E-02
aminoglycan biosynthetic process (GO:0006023)	18	2	.63	+	3.17	1.30E-01
fatty acid biosynthetic process (GO:0006633)	27	3	.95	+	3.17	6.72E-02
regulation of cellular pH (GO:0030641)	27	3	.95	+	3.17	6.72E-02
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	1	.32	+	3.17	2.75E-01
blood vessel morphogenesis (GO:0048514)	36	4	1.26	+	3.17	3.62E-02
glucose homeostasis (GO:0042593)	9	1	.32	+	3.17	2.75E-01
vacuolar acidification (GO:0007035)	9	1	.32	+	3.17	2.75E-01
unsaturated fatty acid metabolic process (GO:0033559)	9	1	.32	+	3.17	2.75E-01
carbohydrate homeostasis (GO:0033500)	9	1	.32	+	3.17	2.75E-01
pyrimidine nucleobase metabolic process (GO:0006206)	9	1	.32	+	3.17	2.75E-01
cytoplasmic translational initiation (GO:0002183)	9	1	.32	+	3.17	2.75E-01
regulation of pH (GO:0006885)	27	3	.95	+	3.17	6.72E-02
mitotic DNA replication (GO:1902969)	9	1	.32	+	3.17	2.75E-01
blood vessel development (GO:0001568)	37	4	1.30	+	3.08	3.95E-02
vasculature development (GO:0001944)	38	4	1.33	+	3.00	4.30E-02
negative regulation of intracellular signal transduction (GO:1902532)	57	6	2.00	+	3.00	1.44E-02
tube morphogenesis (GO:0035239)	38	4	1.33	+	3.00	4.30E-02
DNA damage checkpoint signaling (GO:0000077)	19	2	.67	+	3.00	1.42E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	2	.67	+	3.00	1.42E-01
positive regulation of mRNA catabolic process (GO:0061014)	29	3	1.02	+	2.95	7.98E-02
actin polymerization or depolymerization (GO:0008154)	29	3	1.02	+	2.95	7.98E-02
cell-matrix adhesion (GO:0007160)	30	3	1.05	+	2.85	8.65E-02
intermediate filament organization (GO:0045109)	10	1	.35	+	2.85	3.00E-01
signal transduction in response to DNA damage (GO:0042770)	20	2	.70	+	2.85	1.54E-01
protein O-linked glycosylation (GO:0006493)	40	4	1.40	+	2.85	5.05E-02
glutamate receptor signaling pathway (GO:0007215)	10	1	.35	+	2.85	3.00E-01
negative regulation of cell adhesion (GO:0007162)	10	1	.35	+	2.85	3.00E-01
actin filament polymerization (GO:0030041)	10	1	.35	+	2.85	3.00E-01
NLS-bearing protein import into nucleus (GO:0006607)	10	1	.35	+	2.85	3.00E-01
regulation of lymphocyte activation (GO:0051249)	10	1	.35	+	2.85	3.00E-01
cartilage development (GO:0051216)	10	1	.35	+	2.85	3.00E-01
neuron migration (GO:0001764)	10	1	.35	+	2.85	3.00E-01
positive regulation of mitotic nuclear division (GO:0045840)	10	1	.35	+	2.85	3.00E-01
amide transport (GO:0042886)	10	1	.35	+	2.85	3.00E-01
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	10	1	.35	+	2.85	3.00E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	2	.74	+	2.72	1.67E-01
regulation of Rho protein signal transduction (GO:0035023)	21	2	.74	+	2.72	1.67E-01
positive regulation of cell adhesion (GO:0045785)	21	2	.74	+	2.72	1.67E-01
phospholipid translocation (GO:0045332)	21	2	.74	+	2.72	1.67E-01
glycosaminoglycan metabolic process (GO:0030203)	21	2	.74	+	2.72	1.67E-01
negative regulation of protein catabolic process (GO:0042177)	11	1	.39	+	2.59	3.25E-01
lipid translocation (GO:0034204)	22	2	.77	+	2.59	1.79E-01
cell-substrate adhesion (GO:0031589)	44	4	1.54	+	2.59	6.73E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	1	.39	+	2.59	3.25E-01
regulation of postsynaptic membrane potential (GO:0060078)	11	1	.39	+	2.59	3.25E-01
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	1	.39	+	2.59	3.25E-01
regulation of leukocyte activation (GO:0002694)	11	1	.39	+	2.59	3.25E-01
isoprenoid biosynthetic process (GO:0008299)	11	1	.39	+	2.59	3.25E-01
regulation of cell growth (GO:0001558)	11	1	.39	+	2.59	3.25E-01
chloride transmembrane transport (GO:1902476)	33	3	1.16	+	2.59	1.08E-01
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	2	.77	+	2.59	1.79E-01
establishment of cell polarity (GO:0030010)	22	2	.77	+	2.59	1.79E-01
meiotic chromosome segregation (GO:0045132)	11	1	.39	+	2.59	3.25E-01
monoatomic anion transport (GO:0006820)	44	4	1.54	+	2.59	6.73E-02
positive regulation of mRNA metabolic process (GO:1903313)	34	3	1.19	+	2.52	1.15E-01
post-Golgi vesicle-mediated transport (GO:0006892)	34	3	1.19	+	2.52	1.15E-01
regulation of cell projection assembly (GO:0060491)	23	2	.81	+	2.48	1.92E-01
positive regulation of Wnt signaling pathway (GO:0030177)	23	2	.81	+	2.48	1.92E-01
DNA integrity checkpoint signaling (GO:0031570)	23	2	.81	+	2.48	1.92E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	23	2	.81	+	2.48	1.92E-01
protein depolymerization (GO:0051261)	23	2	.81	+	2.48	1.92E-01
protein localization to endoplasmic reticulum (GO:0070972)	23	2	.81	+	2.48	1.92E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	23	2	.81	+	2.48	1.92E-01
regionalization (GO:0003002)	47	4	1.65	+	2.43	8.17E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	83	7	2.91	+	2.41	2.62E-02
innate immune response-activating signaling pathway (GO:0002758)	12	1	.42	+	2.38	3.48E-01
positive regulation of protein catabolic process (GO:0045732)	24	2	.84	+	2.38	2.05E-01
aromatic amino acid metabolic process (GO:0009072)	12	1	.42	+	2.38	3.48E-01
positive regulation of leukocyte migration (GO:0002687)	12	1	.42	+	2.38	3.48E-01
regulation of Notch signaling pathway (GO:0008593)	12	1	.42	+	2.38	3.48E-01
mRNA splice site recognition (GO:0006376)	12	1	.42	+	2.38	3.48E-01
response to wounding (GO:0009611)	24	2	.84	+	2.38	2.05E-01
regulation of nervous system development (GO:0051960)	48	4	1.68	+	2.38	8.67E-02
mitochondrial translation (GO:0032543)	12	1	.42	+	2.38	3.48E-01
regulation of JNK cascade (GO:0046328)	12	1	.42	+	2.38	3.48E-01
pattern recognition receptor signaling pathway (GO:0002221)	12	1	.42	+	2.38	3.48E-01
cell cycle DNA replication (GO:0044786)	12	1	.42	+	2.38	3.48E-01
nuclear DNA replication (GO:0033260)	12	1	.42	+	2.38	3.48E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	12	1	.42	+	2.38	3.48E-01
DNA strand elongation involved in DNA replication (GO:0006271)	12	1	.42	+	2.38	3.48E-01
pyrimidine nucleotide metabolic process (GO:0006220)	12	1	.42	+	2.38	3.48E-01
import into nucleus (GO:0051170)	36	3	1.26	+	2.38	1.31E-01
protein import into nucleus (GO:0006606)	36	3	1.26	+	2.38	1.31E-01
transcription by RNA polymerase II (GO:0006366)	49	4	1.72	+	2.33	9.20E-02
RNA transport (GO:0050658)	37	3	1.30	+	2.31	1.39E-01
nucleic acid transport (GO:0050657)	37	3	1.30	+	2.31	1.39E-01
cell division (GO:0051301)	37	3	1.30	+	2.31	1.39E-01
establishment of RNA localization (GO:0051236)	37	3	1.30	+	2.31	1.39E-01
chloride transport (GO:0006821)	37	3	1.30	+	2.31	1.39E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	62	5	2.17	+	2.30	6.57E-02
regulation of membrane lipid distribution (GO:0097035)	25	2	.88	+	2.28	2.18E-01
aminoglycan metabolic process (GO:0006022)	25	2	.88	+	2.28	2.18E-01
mitotic cell cycle checkpoint signaling (GO:0007093)	25	2	.88	+	2.28	2.18E-01
regulation of cell projection organization (GO:0031344)	63	5	2.21	+	2.26	6.94E-02
anterior/posterior pattern specification (GO:0009952)	38	3	1.33	+	2.25	1.47E-01
regulation of cell development (GO:0060284)	51	4	1.79	+	2.24	1.03E-01
sodium ion transport (GO:0006814)	51	4	1.79	+	2.24	1.03E-01
circulatory system development (GO:0072359)	90	7	3.16	+	2.22	3.84E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	1	.46	+	2.19	3.71E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	13	1	.46	+	2.19	3.71E-01
chromosome localization (GO:0050000)	13	1	.46	+	2.19	3.71E-01
mRNA export from nucleus (GO:0006406)	26	2	.91	+	2.19	2.31E-01
mitotic spindle assembly (GO:0090307)	13	1	.46	+	2.19	3.71E-01
mRNA destabilization (GO:0061157)	26	2	.91	+	2.19	2.31E-01
polysaccharide metabolic process (GO:0005976)	13	1	.46	+	2.19	3.71E-01
pigmentation (GO:0043473)	13	1	.46	+	2.19	3.71E-01
non-canonical Wnt signaling pathway (GO:0035567)	26	2	.91	+	2.19	2.31E-01
substrate adhesion-dependent cell spreading (GO:0034446)	13	1	.46	+	2.19	3.71E-01
ossification (GO:0001503)	13	1	.46	+	2.19	3.71E-01
establishment of chromosome localization (GO:0051303)	13	1	.46	+	2.19	3.71E-01
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	1	.46	+	2.19	3.71E-01
regulation of cell activation (GO:0050865)	13	1	.46	+	2.19	3.71E-01
mRNA stabilization (GO:0048255)	13	1	.46	+	2.19	3.71E-01
glycosyl compound catabolic process (GO:1901658)	13	1	.46	+	2.19	3.71E-01
activation of innate immune response (GO:0002218)	13	1	.46	+	2.19	3.71E-01
snRNA metabolic process (GO:0016073)	26	2	.91	+	2.19	2.31E-01
endosome organization (GO:0007032)	13	1	.46	+	2.19	3.71E-01
RNA destabilization (GO:0050779)	26	2	.91	+	2.19	2.31E-01
organic hydroxy compound transport (GO:0015850)	26	2	.91	+	2.19	2.31E-01
intracellular receptor signaling pathway (GO:0030522)	13	1	.46	+	2.19	3.71E-01
monoatomic anion transmembrane transport (GO:0098656)	39	3	1.37	+	2.19	1.56E-01
regulation of multicellular organismal development (GO:2000026)	91	7	3.19	+	2.19	4.04E-02
regulation of neuron projection development (GO:0010975)	40	3	1.40	+	2.14	1.64E-01
regulation of cell adhesion (GO:0030155)	40	3	1.40	+	2.14	1.64E-01
RNA localization (GO:0006403)	40	3	1.40	+	2.14	1.64E-01
inorganic anion transmembrane transport (GO:0098661)	40	3	1.40	+	2.14	1.64E-01
recombinational repair (GO:0000725)	54	4	1.89	+	2.11	1.20E-01
double-strand break repair via homologous recombination (GO:0000724)	54	4	1.89	+	2.11	1.20E-01
regulation of BMP signaling pathway (GO:0030510)	27	2	.95	+	2.11	2.44E-01
regulation of mRNA catabolic process (GO:0061013)	55	4	1.93	+	2.07	1.26E-01
positive regulation of catabolic process (GO:0009896)	69	5	2.42	+	2.07	9.41E-02
ribonucleoside monophosphate metabolic process (GO:0009161)	14	1	.49	+	2.04	3.93E-01
nucleoside metabolic process (GO:0009116)	14	1	.49	+	2.04	3.93E-01
non-motile cilium assembly (GO:1905515)	14	1	.49	+	2.04	3.93E-01
translational initiation (GO:0006413)	28	2	.98	+	2.04	2.57E-01
glutathione metabolic process (GO:0006749)	14	1	.49	+	2.04	3.93E-01
ncRNA transcription (GO:0098781)	14	1	.49	+	2.04	3.93E-01
mRNA transport (GO:0051028)	28	2	.98	+	2.04	2.57E-01
RNA stabilization (GO:0043489)	14	1	.49	+	2.04	3.93E-01
amino sugar metabolic process (GO:0006040)	14	1	.49	+	2.04	3.93E-01
transcription by RNA polymerase III (GO:0006383)	14	1	.49	+	2.04	3.93E-01
nucleus organization (GO:0006997)	14	1	.49	+	2.04	3.93E-01
response to molecule of bacterial origin (GO:0002237)	14	1	.49	+	2.04	3.93E-01
response to lipopolysaccharide (GO:0032496)	14	1	.49	+	2.04	3.93E-01
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	2	.98	+	2.04	2.57E-01
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	14	1	.49	+	2.04	3.93E-01
cytoplasmic translation (GO:0002181)	28	2	.98	+	2.04	2.57E-01
protein localization to nucleus (GO:0034504)	42	3	1.47	+	2.04	1.82E-01
nucleobase-containing compound transport (GO:0015931)	57	4	2.00	+	2.00	1.39E-01
pattern specification process (GO:0007389)	57	4	2.00	+	2.00	1.39E-01
regulation of protein catabolic process (GO:0042176)	43	3	1.51	+	1.99	1.91E-01
positive regulation of protein modification process (GO:0031401)	72	5	2.52	+	1.98	1.08E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	2	1.02	+	1.97	2.70E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	29	2	1.02	+	1.97	2.70E-01
positive regulation of response to external stimulus (GO:0032103)	29	2	1.02	+	1.97	2.70E-01
peptidyl-serine phosphorylation (GO:0018105)	74	5	2.59	+	1.93	1.88E-01
peptidyl-serine modification (GO:0018209)	74	5	2.59	+	1.93	1.88E-01
intermediate filament cytoskeleton organization (GO:0045104)	15	1	.53	+	1.90	4.15E-01
intermediate filament-based process (GO:0045103)	15	1	.53	+	1.90	4.15E-01
hippo signaling (GO:0035329)	15	1	.53	+	1.90	4.15E-01
protein localization to cilium (GO:0061512)	15	1	.53	+	1.90	4.15E-01
regulation of mitotic sister chromatid separation (GO:0010965)	15	1	.53	+	1.90	4.15E-01
regulation of chromosome separation (GO:1905818)	15	1	.53	+	1.90	4.15E-01
regulation of leukocyte migration (GO:0002685)	15	1	.53	+	1.90	4.15E-01
maturation of 5.8S rRNA (GO:0000460)	15	1	.53	+	1.90	4.15E-01
positive regulation of mitotic cell cycle (GO:0045931)	15	1	.53	+	1.90	4.15E-01
regulation of cellular response to stress (GO:0080135)	30	2	1.05	+	1.90	2.84E-01
protein targeting to membrane (GO:0006612)	30	2	1.05	+	1.90	2.84E-01
phospholipid transport (GO:0015914)	30	2	1.05	+	1.90	2.84E-01
sarcomere organization (GO:0045214)	15	1	.53	+	1.90	4.15E-01
lymphocyte activation (GO:0046649)	15	1	.53	+	1.90	4.15E-01
muscle tissue development (GO:0060537)	30	2	1.05	+	1.90	2.84E-01
negative regulation of RNA catabolic process (GO:1902369)	15	1	.53	+	1.90	4.15E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	1	.53	+	1.90	4.15E-01
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	15	1	.53	+	1.90	4.15E-01
cytokinesis (GO:0000910)	30	2	1.05	+	1.90	2.84E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	15	1	.53	+	1.90	4.15E-01
iron ion transport (GO:0006826)	15	1	.53	+	1.90	4.15E-01
sodium ion transmembrane transport (GO:0035725)	46	3	1.61	+	1.86	2.18E-01
positive regulation of cellular catabolic process (GO:0031331)	46	3	1.61	+	1.86	2.18E-01
positive regulation of cell population proliferation (GO:0008284)	62	4	2.17	+	1.84	1.72E-01
nuclear transport (GO:0051169)	78	5	2.73	+	1.83	1.99E-01
nucleocytoplasmic transport (GO:0006913)	78	5	2.73	+	1.83	1.99E-01
nucleoside monophosphate metabolic process (GO:0009123)	16	1	.56	+	1.78	4.35E-01
germ cell development (GO:0007281)	16	1	.56	+	1.78	4.35E-01
RNA export from nucleus (GO:0006405)	32	2	1.12	+	1.78	3.10E-01
negative regulation of immune system process (GO:0002683)	16	1	.56	+	1.78	4.35E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	1	.56	+	1.78	4.35E-01
response to bacterium (GO:0009617)	16	1	.56	+	1.78	4.35E-01
cellular response to insulin stimulus (GO:0032869)	16	1	.56	+	1.78	4.35E-01
sterol transport (GO:0015918)	16	1	.56	+	1.78	4.35E-01
