PANTHER GO-Slim Biological Process	background_genes.cra_all.raisd.txt - REFLIST (11273)	(136)	(expected)	(over/under)	(fold Enrichment)	P-value
polysaccharide metabolic process (GO:0005976)	11	2	.13	+	15.07	7.40E-03
energy reserve metabolic process (GO:0006112)	6	1	.07	+	13.81	7.03E-02
heterochromatin formation (GO:0031507)	18	3	.22	+	13.81	1.23E-03
terpenoid metabolic process (GO:0006721)	6	1	.07	+	13.81	7.03E-02
autophagosome maturation (GO:0097352)	6	1	.07	+	13.81	7.03E-02
glycogen metabolic process (GO:0005977)	6	1	.07	+	13.81	7.03E-02
telomere maintenance via telomere lengthening (GO:0010833)	6	1	.07	+	13.81	7.03E-02
dorsal/ventral pattern formation (GO:0009953)	6	1	.07	+	13.81	7.03E-02
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	6	1	.07	+	13.81	7.03E-02
zymogen activation (GO:0031638)	6	1	.07	+	13.81	7.03E-02
glucan metabolic process (GO:0044042)	6	1	.07	+	13.81	7.03E-02
cyclic nucleotide metabolic process (GO:0009187)	7	1	.08	+	11.84	8.15E-02
positive regulation of cell adhesion (GO:0045785)	21	3	.25	+	11.84	1.95E-03
regulation of transcription elongation by RNA polymerase II (GO:0034243)	7	1	.08	+	11.84	8.15E-02
calcineurin-mediated signaling (GO:0097720)	7	1	.08	+	11.84	8.15E-02
B cell activation (GO:0042113)	7	1	.08	+	11.84	8.15E-02
cell population proliferation (GO:0008283)	7	1	.08	+	11.84	8.15E-02
positive regulation of actin filament bundle assembly (GO:0032233)	7	1	.08	+	11.84	8.15E-02
kidney development (GO:0001822)	7	1	.08	+	11.84	8.15E-02
positive regulation of DNA-templated transcription, elongation (GO:0032786)	7	1	.08	+	11.84	8.15E-02
behavior (GO:0007610)	7	1	.08	+	11.84	8.15E-02
heterochromatin organization (GO:0070828)	22	3	.27	+	11.30	2.24E-03
smoothened signaling pathway (GO:0007224)	15	2	.18	+	11.05	1.37E-02
lymphocyte activation (GO:0046649)	15	2	.18	+	11.05	1.37E-02
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	1	.10	+	10.36	9.26E-02
receptor clustering (GO:0043113)	8	1	.10	+	10.36	9.26E-02
centrosome localization (GO:0051642)	8	1	.10	+	10.36	9.26E-02
carbohydrate biosynthetic process (GO:0016051)	16	2	.19	+	10.36	1.55E-02
negative regulation of gene expression, epigenetic (GO:0045814)	24	3	.29	+	10.36	2.89E-03
synaptic vesicle endocytosis (GO:0048488)	26	3	.31	+	9.56	3.64E-03
synaptic vesicle recycling (GO:0036465)	27	3	.33	+	9.21	4.06E-03
intracellular pH reduction (GO:0051452)	9	1	.11	+	9.21	1.04E-01
neuromuscular junction development (GO:0007528)	9	1	.11	+	9.21	1.04E-01
leukocyte activation (GO:0045321)	18	2	.22	+	9.21	1.95E-02
DNA modification (GO:0006304)	9	1	.11	+	9.21	1.04E-01
vacuolar acidification (GO:0007035)	9	1	.11	+	9.21	1.04E-01
synaptic vesicle transport (GO:0048489)	9	1	.11	+	9.21	1.04E-01
pyrimidine nucleobase metabolic process (GO:0006206)	9	1	.11	+	9.21	1.04E-01
nucleobase metabolic process (GO:0009112)	19	2	.23	+	8.73	2.16E-02
regulation of cell adhesion (GO:0030155)	38	4	.46	+	8.73	1.09E-03
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	20	2	.24	+	8.29	2.38E-02
purine nucleobase metabolic process (GO:0006144)	10	1	.12	+	8.29	1.14E-01
lymphocyte differentiation (GO:0030098)	10	1	.12	+	8.29	1.14E-01
regulation of actin filament bundle assembly (GO:0032231)	10	1	.12	+	8.29	1.14E-01
epigenetic regulation of gene expression (GO:0040029)	30	3	.36	+	8.29	5.50E-03
regulation of DNA-templated transcription elongation (GO:0032784)	10	1	.12	+	8.29	1.14E-01
COPII-coated vesicle budding (GO:0090114)	10	1	.12	+	8.29	1.14E-01
protein targeting to ER (GO:0045047)	11	1	.13	+	7.54	1.25E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	11	1	.13	+	7.54	1.25E-01
clathrin-dependent endocytosis (GO:0072583)	11	1	.13	+	7.54	1.25E-01
protein targeting to vacuole (GO:0006623)	11	1	.13	+	7.54	1.25E-01
negative regulation of multicellular organismal process (GO:0051241)	33	3	.40	+	7.54	7.19E-03
mononuclear cell differentiation (GO:1903131)	11	1	.13	+	7.54	1.25E-01
cellular response to starvation (GO:0009267)	23	2	.28	+	7.21	3.10E-02
vesicle budding from membrane (GO:0006900)	24	2	.29	+	6.91	3.35E-02
pyrimidine nucleotide metabolic process (GO:0006220)	12	1	.14	+	6.91	1.36E-01
cellular response to nutrient levels (GO:0031669)	24	2	.29	+	6.91	3.35E-02
cellular response to extracellular stimulus (GO:0031668)	24	2	.29	+	6.91	3.35E-02
mRNA destabilization (GO:0061157)	25	2	.30	+	6.63	3.62E-02
cellular response to external stimulus (GO:0071496)	25	2	.30	+	6.63	3.62E-02
RNA destabilization (GO:0050779)	25	2	.30	+	6.63	3.62E-02
hormone metabolic process (GO:0042445)	13	1	.16	+	6.38	1.46E-01
substrate adhesion-dependent cell spreading (GO:0034446)	13	1	.16	+	6.38	1.46E-01
isoprenoid metabolic process (GO:0006720)	14	1	.17	+	5.92	1.56E-01
positive regulation of mRNA catabolic process (GO:0061014)	28	2	.34	+	5.92	4.45E-02
leukocyte differentiation (GO:0002521)	15	1	.18	+	5.53	1.67E-01
response to starvation (GO:0042594)	30	2	.36	+	5.53	5.04E-02
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	1	.18	+	5.53	1.67E-01
synaptic vesicle cycle (GO:0099504)	47	3	.57	+	5.29	1.89E-02
regulation of response to external stimulus (GO:0032101)	47	3	.57	+	5.29	1.89E-02
vesicle-mediated transport in synapse (GO:0099003)	47	3	.57	+	5.29	1.89E-02
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	1	.19	+	5.18	1.77E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	32	2	.39	+	5.18	5.66E-02
positive regulation of mRNA metabolic process (GO:1903313)	32	2	.39	+	5.18	5.66E-02
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	1	.19	+	5.18	1.77E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	1	.19	+	5.18	1.77E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	1	.19	+	5.18	1.77E-01
import into nucleus (GO:0051170)	34	2	.41	+	4.88	6.31E-02
response to extracellular stimulus (GO:0009991)	34	2	.41	+	4.88	6.31E-02
protein import into nucleus (GO:0006606)	34	2	.41	+	4.88	6.31E-02
intracellular protein transmembrane transport (GO:0065002)	17	1	.21	+	4.88	1.87E-01
response to nutrient levels (GO:0031667)	34	2	.41	+	4.88	6.31E-02
macroautophagy (GO:0016236)	52	3	.63	+	4.78	2.47E-02
autophagy of mitochondrion (GO:0000422)	35	2	.42	+	4.74	6.64E-02
ribonucleotide biosynthetic process (GO:0009260)	35	2	.42	+	4.74	6.64E-02
vacuolar transport (GO:0007034)	57	3	.69	+	4.36	3.13E-02
ribose phosphate biosynthetic process (GO:0046390)	38	2	.46	+	4.36	7.66E-02
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	.23	+	4.36	2.06E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	39	2	.47	+	4.25	8.02E-02
protein localization to nucleus (GO:0034504)	40	2	.48	+	4.14	8.37E-02
establishment of protein localization to vacuole (GO:0072666)	20	1	.24	+	4.14	2.16E-01
autophagy (GO:0006914)	61	3	.74	+	4.08	3.72E-02
process utilizing autophagic mechanism (GO:0061919)	61	3	.74	+	4.08	3.72E-02
cell-substrate adhesion (GO:0031589)	42	2	.51	+	3.95	9.10E-02
mRNA catabolic process (GO:0006402)	42	2	.51	+	3.95	9.10E-02
regulation of hormone levels (GO:0010817)	21	1	.25	+	3.95	2.25E-01
autophagosome assembly (GO:0000045)	42	2	.51	+	3.95	9.10E-02
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	.25	+	3.95	2.25E-01
negative regulation of gene expression (GO:0010629)	108	5	1.30	+	3.84	9.82E-03
regulation of intracellular pH (GO:0051453)	22	1	.27	+	3.77	2.35E-01
protein localization to vacuole (GO:0072665)	22	1	.27	+	3.77	2.35E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	22	1	.27	+	3.77	2.35E-01
protein localization to endoplasmic reticulum (GO:0070972)	22	1	.27	+	3.77	2.35E-01
endocytosis (GO:0006897)	110	5	1.33	+	3.77	1.06E-02
positive regulation of kinase activity (GO:0033674)	67	3	.81	+	3.71	4.71E-02
organelle disassembly (GO:1903008)	45	2	.54	+	3.68	1.02E-01
positive regulation of cellular catabolic process (GO:0031331)	45	2	.54	+	3.68	1.02E-01
positive regulation of transferase activity (GO:0051347)	68	3	.82	+	3.66	4.88E-02
regulation of response to stress (GO:0080134)	68	3	.82	+	3.66	4.88E-02
proteoglycan biosynthetic process (GO:0030166)	23	1	.28	+	3.60	2.44E-01
RNA catabolic process (GO:0006401)	46	2	.55	+	3.60	1.06E-01
regulation of mRNA stability (GO:0043488)	46	2	.55	+	3.60	1.06E-01
regulation of RNA stability (GO:0043487)	46	2	.55	+	3.60	1.06E-01
regulation of cellular pH (GO:0030641)	23	1	.28	+	3.60	2.44E-01
regulation of pH (GO:0006885)	23	1	.28	+	3.60	2.44E-01
telomere maintenance (GO:0000723)	24	1	.29	+	3.45	2.53E-01
telomere organization (GO:0032200)	24	1	.29	+	3.45	2.53E-01
phosphatidylinositol biosynthetic process (GO:0006661)	48	2	.58	+	3.45	1.14E-01
pyrimidine-containing compound metabolic process (GO:0072527)	24	1	.29	+	3.45	2.53E-01
regulation of mRNA catabolic process (GO:0061013)	49	2	.59	+	3.38	1.18E-01
protein processing (GO:0016485)	50	2	.60	+	3.32	1.22E-01
macromolecule methylation (GO:0043414)	50	2	.60	+	3.32	1.22E-01
methylation (GO:0032259)	50	2	.60	+	3.32	1.22E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	.30	+	3.32	2.62E-01
tRNA processing (GO:0008033)	51	2	.62	+	3.25	1.26E-01
protein maturation (GO:0051604)	155	6	1.87	+	3.21	1.12E-02
hemopoiesis (GO:0030097)	26	1	.31	+	3.19	2.71E-01
protein targeting to membrane (GO:0006612)	26	1	.31	+	3.19	2.71E-01
regulation of exocytosis (GO:0017157)	26	1	.31	+	3.19	2.71E-01
neural crest cell migration (GO:0001755)	26	1	.31	+	3.19	2.71E-01
establishment of protein localization to organelle (GO:0072594)	107	4	1.29	+	3.10	4.04E-02
proteoglycan metabolic process (GO:0006029)	27	1	.33	+	3.07	2.80E-01
receptor-mediated endocytosis (GO:0006898)	27	1	.33	+	3.07	2.80E-01
regulation of mRNA metabolic process (GO:1903311)	82	3	.99	+	3.03	7.65E-02
neural crest cell differentiation (GO:0014033)	28	1	.34	+	2.96	2.88E-01
neural crest cell development (GO:0014032)	28	1	.34	+	2.96	2.88E-01
neuropeptide signaling pathway (GO:0007218)	28	1	.34	+	2.96	2.88E-01
translational initiation (GO:0006413)	28	1	.34	+	2.96	2.88E-01
cell-matrix adhesion (GO:0007160)	28	1	.34	+	2.96	2.88E-01
protein transmembrane transport (GO:0071806)	28	1	.34	+	2.96	2.88E-01
tRNA metabolic process (GO:0006399)	84	3	1.01	+	2.96	8.10E-02
stem cell development (GO:0048864)	28	1	.34	+	2.96	2.88E-01
stem cell differentiation (GO:0048863)	28	1	.34	+	2.96	2.88E-01
calcium ion transmembrane import into cytosol (GO:0097553)	28	1	.34	+	2.96	2.88E-01
cell-cell adhesion (GO:0098609)	142	5	1.71	+	2.92	2.86E-02
nucleotide biosynthetic process (GO:0009165)	57	2	.69	+	2.91	1.51E-01
nucleoside phosphate biosynthetic process (GO:1901293)	58	2	.70	+	2.86	1.55E-01
chromatin remodeling (GO:0006338)	88	3	1.06	+	2.83	9.01E-02
vacuole organization (GO:0007033)	59	2	.71	+	2.81	1.59E-01
mesenchyme development (GO:0060485)	30	1	.36	+	2.76	3.06E-01
purine ribonucleotide biosynthetic process (GO:0009152)	30	1	.36	+	2.76	3.06E-01
calcium-mediated signaling (GO:0019722)	30	1	.36	+	2.76	3.06E-01
mesenchymal cell differentiation (GO:0048762)	30	1	.36	+	2.76	3.06E-01
cell adhesion (GO:0007155)	211	7	2.55	+	2.75	1.40E-02
vesicle organization (GO:0016050)	91	3	1.10	+	2.73	9.73E-02
protein targeting (GO:0006605)	61	2	.74	+	2.72	1.68E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	31	1	.37	+	2.67	3.14E-01
glycerophospholipid biosynthetic process (GO:0046474)	63	2	.76	+	2.63	1.76E-01
chromatin organization (GO:0006325)	95	3	1.15	+	2.62	1.07E-01
establishment of vesicle localization (GO:0051650)	32	1	.39	+	2.59	3.22E-01
energy derivation by oxidation of organic compounds (GO:0015980)	32	1	.39	+	2.59	3.22E-01
protein localization to membrane (GO:0072657)	98	3	1.18	+	2.54	1.15E-01
monocarboxylic acid transport (GO:0015718)	33	1	.40	+	2.51	3.30E-01
vesicle localization (GO:0051648)	33	1	.40	+	2.51	3.30E-01
positive regulation of catabolic process (GO:0009896)	66	2	.80	+	2.51	1.89E-01
cytokine-mediated signaling pathway (GO:0019221)	34	1	.41	+	2.44	3.39E-01
post-Golgi vesicle-mediated transport (GO:0006892)	34	1	.41	+	2.44	3.39E-01
organophosphate biosynthetic process (GO:0090407)	137	4	1.65	+	2.42	8.39E-02
ameboidal-type cell migration (GO:0001667)	35	1	.42	+	2.37	3.47E-01
phospholipid biosynthetic process (GO:0008654)	70	2	.84	+	2.37	2.07E-01
regulation of protein localization (GO:0032880)	35	1	.42	+	2.37	3.47E-01
ribonucleotide metabolic process (GO:0009259)	70	2	.84	+	2.37	2.07E-01
import into cell (GO:0098657)	177	5	2.14	+	2.34	6.30E-02
carbohydrate metabolic process (GO:0005975)	71	2	.86	+	2.33	2.11E-01
positive regulation of phosphorylation (GO:0042327)	107	3	1.29	+	2.32	1.39E-01
regulation of mRNA processing (GO:0050684)	36	1	.43	+	2.30	3.54E-01
glycerolipid biosynthetic process (GO:0045017)	72	2	.87	+	2.30	2.16E-01
organic hydroxy compound metabolic process (GO:1901615)	72	2	.87	+	2.30	2.16E-01
nuclear transport (GO:0051169)	73	2	.88	+	2.27	2.20E-01
nucleocytoplasmic transport (GO:0006913)	73	2	.88	+	2.27	2.20E-01
positive regulation of phosphorus metabolic process (GO:0010562)	111	3	1.34	+	2.24	1.50E-01
positive regulation of phosphate metabolic process (GO:0045937)	111	3	1.34	+	2.24	1.50E-01
regionalization (GO:0003002)	37	1	.45	+	2.24	3.62E-01
protein-DNA complex organization (GO:0071824)	113	3	1.36	+	2.20	1.56E-01
ribose phosphate metabolic process (GO:0019693)	76	2	.92	+	2.18	2.33E-01
cellular response to cytokine stimulus (GO:0071345)	38	1	.46	+	2.18	3.70E-01
intracellular protein transport (GO:0006886)	154	4	1.86	+	2.15	1.16E-01
protein-containing complex disassembly (GO:0032984)	39	1	.47	+	2.13	3.78E-01
regulation of kinase activity (GO:0043549)	119	3	1.44	+	2.09	1.74E-01
regulation of secretion by cell (GO:1903530)	40	1	.48	+	2.07	3.85E-01
cellular component disassembly (GO:0022411)	80	2	.97	+	2.07	2.51E-01
ribosomal large subunit biogenesis (GO:0042273)	40	1	.48	+	2.07	3.85E-01
regulation of transferase activity (GO:0051338)	122	3	1.47	+	2.04	1.83E-01
regulation of secretion (GO:0051046)	41	1	.49	+	2.02	3.93E-01
vesicle fusion (GO:0006906)	41	1	.49	+	2.02	3.93E-01
regulation of multicellular organismal process (GO:0051239)	166	4	2.00	+	2.00	1.41E-01
phosphatidylinositol metabolic process (GO:0046488)	84	2	1.01	+	1.97	2.69E-01
amino acid transmembrane transport (GO:0003333)	42	1	.51	+	1.97	4.00E-01
organelle membrane fusion (GO:0090174)	42	1	.51	+	1.97	4.00E-01
positive regulation of cellular component biogenesis (GO:0044089)	42	1	.51	+	1.97	4.00E-01
protein localization to organelle (GO:0033365)	170	4	2.05	+	1.95	1.50E-01
positive regulation of organelle organization (GO:0010638)	43	1	.52	+	1.93	4.07E-01
regulation of biological quality (GO:0065008)	388	9	4.68	+	1.92	5.34E-02
nucleobase-containing compound catabolic process (GO:0034655)	88	2	1.06	+	1.88	2.87E-01
purine nucleotide biosynthetic process (GO:0006164)	45	1	.54	+	1.84	4.21E-01
regulation of cellular localization (GO:0060341)	45	1	.54	+	1.84	4.21E-01
response to cytokine (GO:0034097)	45	1	.54	+	1.84	4.21E-01
regulation of cellular catabolic process (GO:0031329)	91	2	1.10	+	1.82	3.01E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	137	3	1.65	+	1.82	2.29E-01
pattern specification process (GO:0007389)	46	1	.55	+	1.80	4.28E-01
localization within membrane (GO:0051668)	140	3	1.69	+	1.78	2.39E-01
vesicle-mediated transport (GO:0016192)	421	9	5.08	+	1.77	1.03E-01
heart development (GO:0007507)	47	1	.57	+	1.76	4.35E-01
establishment of localization in cell (GO:0051649)	474	10	5.72	+	1.75	8.03E-02
purine-containing compound metabolic process (GO:0072521)	95	2	1.15	+	1.75	3.18E-01
lipoprotein biosynthetic process (GO:0042158)	48	1	.58	+	1.73	4.42E-01
post-transcriptional regulation of gene expression (GO:0010608)	96	2	1.16	+	1.73	3.23E-01
protein lipidation (GO:0006497)	48	1	.58	+	1.73	4.42E-01
establishment or maintenance of cell polarity (GO:0007163)	48	1	.58	+	1.73	4.42E-01
membrane fusion (GO:0061025)	48	1	.58	+	1.73	4.42E-01
negative regulation of programmed cell death (GO:0043069)	48	1	.58	+	1.73	4.42E-01
carboxylic acid transport (GO:0046942)	96	2	1.16	+	1.73	3.23E-01
organic acid transport (GO:0015849)	96	2	1.16	+	1.73	3.23E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	97	2	1.17	+	1.71	3.27E-01
positive regulation of catalytic activity (GO:0043085)	146	3	1.76	+	1.70	2.58E-01
membrane organization (GO:0061024)	147	3	1.77	+	1.69	2.61E-01
glycosylation (GO:0070085)	98	2	1.18	+	1.69	3.32E-01
establishment of protein localization to membrane (GO:0090150)	49	1	.59	+	1.69	4.49E-01
cellular localization (GO:0051641)	693	14	8.36	+	1.67	4.84E-02
purine-containing compound biosynthetic process (GO:0072522)	50	1	.60	+	1.66	4.56E-01
nucleotide metabolic process (GO:0009117)	101	2	1.22	+	1.64	3.45E-01
cellular macromolecule localization (GO:0070727)	406	8	4.90	+	1.63	1.58E-01
protein localization (GO:0008104)	406	8	4.90	+	1.63	1.58E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	254	5	3.06	+	1.63	2.37E-01
protein-containing complex localization (GO:0031503)	51	1	.62	+	1.63	4.62E-01
cellular nitrogen compound catabolic process (GO:0044270)	102	2	1.23	+	1.63	3.49E-01
heterocycle catabolic process (GO:0046700)	102	2	1.23	+	1.63	3.49E-01
alcohol metabolic process (GO:0006066)	51	1	.62	+	1.63	4.62E-01
protein transport (GO:0015031)	204	4	2.46	+	1.63	3.15E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	51	1	.62	+	1.63	4.62E-01
negative regulation of biosynthetic process (GO:0009890)	256	5	3.09	+	1.62	2.40E-01
negative regulation of cellular biosynthetic process (GO:0031327)	256	5	3.09	+	1.62	2.40E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	103	2	1.24	+	1.61	3.54E-01
mitochondrion organization (GO:0007005)	103	2	1.24	+	1.61	3.54E-01
organic acid transmembrane transport (GO:1903825)	52	1	.63	+	1.59	4.69E-01
carboxylic acid transmembrane transport (GO:1905039)	52	1	.63	+	1.59	4.69E-01
multicellular organismal process (GO:0032501)	782	15	9.43	+	1.59	8.59E-02
immune system process (GO:0002376)	106	2	1.28	+	1.56	3.67E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	159	3	1.92	+	1.56	4.44E-01
organelle fusion (GO:0048284)	53	1	.64	+	1.56	4.75E-01
mRNA metabolic process (GO:0016071)	159	3	1.92	+	1.56	4.44E-01
lipoprotein metabolic process (GO:0042157)	54	1	.65	+	1.53	4.82E-01
aromatic compound catabolic process (GO:0019439)	108	2	1.30	+	1.53	3.75E-01
regulation of phosphorylation (GO:0042325)	162	3	1.95	+	1.53	4.49E-01
muscle structure development (GO:0061061)	54	1	.65	+	1.53	4.82E-01
response to stress (GO:0006950)	435	8	5.25	+	1.52	2.55E-01
nucleoside phosphate metabolic process (GO:0006753)	109	2	1.32	+	1.52	3.80E-01
generation of precursor metabolites and energy (GO:0006091)	55	1	.66	+	1.51	4.88E-01
glycerophospholipid metabolic process (GO:0006650)	111	2	1.34	+	1.49	3.88E-01
cellular catabolic process (GO:0044248)	278	5	3.35	+	1.49	3.92E-01
intracellular transport (GO:0046907)	391	7	4.72	+	1.48	2.41E-01
regulation of RNA splicing (GO:0043484)	56	1	.68	+	1.48	4.94E-01
regulation of actin filament organization (GO:0110053)	56	1	.68	+	1.48	4.94E-01
regulation of RNA metabolic process (GO:0051252)	1124	20	13.56	+	1.47	8.17E-02
negative regulation of response to stimulus (GO:0048585)	169	3	2.04	+	1.47	4.61E-01
organic cyclic compound catabolic process (GO:1901361)	113	2	1.36	+	1.47	3.97E-01
Golgi vesicle transport (GO:0048193)	113	2	1.36	+	1.47	3.97E-01
amino acid transport (GO:0006865)	57	1	.69	+	1.45	5.00E-01
regulation of transcription by RNA polymerase II (GO:0006357)	866	15	10.45	+	1.44	1.44E-01
calcium ion transmembrane transport (GO:0070588)	58	1	.70	+	1.43	5.06E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1161	20	14.01	+	1.43	8.94E-02
positive regulation of molecular function (GO:0044093)	175	3	2.11	+	1.42	4.71E-01
regulation of phosphorus metabolic process (GO:0051174)	176	3	2.12	+	1.41	4.73E-01
regulation of phosphate metabolic process (GO:0019220)	176	3	2.12	+	1.41	4.73E-01
translation (GO:0006412)	118	2	1.42	+	1.40	6.55E-01
regulation of vesicle-mediated transport (GO:0060627)	59	1	.71	+	1.40	5.12E-01
protein-containing complex organization (GO:0043933)	295	5	3.56	+	1.40	4.09E-01
localization (GO:0051179)	1363	23	16.44	+	1.40	8.56E-02
organic anion transport (GO:0015711)	119	2	1.44	+	1.39	6.56E-01
gene expression (GO:0010467)	658	11	7.94	+	1.39	2.66E-01
macromolecule biosynthetic process (GO:0009059)	838	14	10.11	+	1.38	1.89E-01
regulation of DNA-templated transcription (GO:0006355)	1018	17	12.28	+	1.38	1.73E-01
regulation of RNA biosynthetic process (GO:2001141)	1018	17	12.28	+	1.38	1.73E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	60	1	.72	+	1.38	5.18E-01
synapse organization (GO:0050808)	60	1	.72	+	1.38	5.18E-01
peptide biosynthetic process (GO:0043043)	121	2	1.46	+	1.37	6.59E-01
cellular biosynthetic process (GO:0044249)	1094	18	13.20	+	1.36	1.87E-01
embryo development (GO:0009790)	61	1	.74	+	1.36	5.24E-01
establishment of protein localization (GO:0045184)	246	4	2.97	+	1.35	5.44E-01
regulation of gene expression (GO:0010468)	1304	21	15.73	+	1.33	1.75E-01
organic substance biosynthetic process (GO:1901576)	1120	18	13.51	+	1.33	1.94E-01
biosynthetic process (GO:0009058)	1123	18	13.55	+	1.33	1.95E-01
purine ribonucleotide metabolic process (GO:0009150)	63	1	.76	+	1.32	5.35E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1324	21	15.97	+	1.31	1.80E-01
regulation of cellular biosynthetic process (GO:0031326)	1332	21	16.07	+	1.31	1.82E-01
glycerolipid metabolic process (GO:0046486)	127	2	1.53	+	1.31	6.67E-01
regulation of catabolic process (GO:0009894)	127	2	1.53	+	1.31	6.67E-01
regulation of biosynthetic process (GO:0009889)	1337	21	16.13	+	1.30	1.84E-01
positive regulation of multicellular organismal process (GO:0051240)	64	1	.77	+	1.30	5.41E-01
organophosphate metabolic process (GO:0019637)	256	4	3.09	+	1.30	5.54E-01
macromolecule localization (GO:0033036)	513	8	6.19	+	1.29	4.07E-01
transport (GO:0006810)	1158	18	13.97	+	1.29	2.54E-01
regulation of cellular metabolic process (GO:0031323)	1547	24	18.66	+	1.29	2.08E-01
proteasomal protein catabolic process (GO:0010498)	129	2	1.56	+	1.29	6.70E-01
nitrogen compound transport (GO:0071705)	323	5	3.90	+	1.28	5.98E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	194	3	2.34	+	1.28	5.09E-01
