PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	1	.14	+	7.27	1.30E-01
oligodendrocyte differentiation (GO:0048709)	5	1	.14	+	7.27	1.30E-01
nucleoside triphosphate catabolic process (GO:0009143)	5	1	.14	+	7.27	1.30E-01
protein K63-linked ubiquitination (GO:0070534)	5	1	.14	+	7.27	1.30E-01
negative regulation of DNA repair (GO:0045738)	5	1	.14	+	7.27	1.30E-01
glutamate receptor signaling pathway (GO:0007215)	10	2	.28	+	7.27	2.93E-02
synaptic membrane adhesion (GO:0099560)	5	1	.14	+	7.27	1.30E-01
ubiquinone biosynthetic process (GO:0006744)	5	1	.14	+	7.27	1.30E-01
regulation of immune effector process (GO:0002697)	5	1	.14	+	7.27	1.30E-01
positive regulation of leukocyte activation (GO:0002696)	5	1	.14	+	7.27	1.30E-01
lymphocyte differentiation (GO:0030098)	10	2	.28	+	7.27	2.93E-02
negative regulation of DNA recombination (GO:0045910)	5	1	.14	+	7.27	1.30E-01
positive regulation of cell activation (GO:0050867)	5	1	.14	+	7.27	1.30E-01
negative regulation of double-strand break repair (GO:2000780)	5	1	.14	+	7.27	1.30E-01
positive regulation of lymphocyte activation (GO:0051251)	5	1	.14	+	7.27	1.30E-01
plasma membrane phospholipid scrambling (GO:0017121)	5	1	.14	+	7.27	1.30E-01
mitochondrial calcium ion homeostasis (GO:0051560)	10	2	.28	+	7.27	2.93E-02
regulation of DNA repair (GO:0006282)	15	3	.41	+	7.27	7.33E-03
myelination (GO:0042552)	10	2	.28	+	7.27	2.93E-02
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	5	1	.14	+	7.27	1.30E-01
positive regulation of cell-substrate adhesion (GO:0010811)	11	2	.30	+	6.61	3.52E-02
mononuclear cell differentiation (GO:1903131)	11	2	.30	+	6.61	3.52E-02
COPII-coated vesicle budding (GO:0090114)	11	2	.30	+	6.61	3.52E-02
nucleoside triphosphate biosynthetic process (GO:0009142)	6	1	.17	+	6.06	1.54E-01
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	1	.17	+	6.06	1.54E-01
regulation of response to wounding (GO:1903034)	6	1	.17	+	6.06	1.54E-01
platelet activation (GO:0030168)	6	1	.17	+	6.06	1.54E-01
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	1	.17	+	6.06	1.54E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	1	.17	+	6.06	1.54E-01
regulation of T cell activation (GO:0050863)	6	1	.17	+	6.06	1.54E-01
DNA modification (GO:0006304)	12	2	.33	+	6.06	4.15E-02
positive regulation of protein localization (GO:1903829)	12	2	.33	+	6.06	4.15E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	6	1	.17	+	6.06	1.54E-01
regulation of wound healing (GO:0061041)	6	1	.17	+	6.06	1.54E-01
regulation of DNA recombination (GO:0000018)	6	1	.17	+	6.06	1.54E-01
negative regulation of TORC1 signaling (GO:1904262)	6	1	.17	+	6.06	1.54E-01
regulation of receptor signaling pathway via STAT (GO:1904892)	6	1	.17	+	6.06	1.54E-01
acidic amino acid transport (GO:0015800)	6	1	.17	+	6.06	1.54E-01
regulation of cell-substrate adhesion (GO:0010810)	13	2	.36	+	5.59	4.82E-02
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	2	.36	+	5.59	4.82E-02
glycosyl compound catabolic process (GO:1901658)	13	2	.36	+	5.59	4.82E-02
gastrulation (GO:0007369)	13	2	.36	+	5.59	4.82E-02
formation of primary germ layer (GO:0001704)	13	2	.36	+	5.59	4.82E-02
positive regulation of epithelial cell proliferation (GO:0050679)	7	1	.19	+	5.19	1.77E-01
tRNA wobble uridine modification (GO:0002098)	7	1	.19	+	5.19	1.77E-01
phosphatidylcholine metabolic process (GO:0046470)	7	1	.19	+	5.19	1.77E-01
fluid transport (GO:0042044)	7	1	.19	+	5.19	1.77E-01
protein peptidyl-prolyl isomerization (GO:0000413)	14	2	.39	+	5.19	5.52E-02
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	2	.39	+	5.19	5.52E-02
regulation of coagulation (GO:0050818)	7	1	.19	+	5.19	1.77E-01
mitochondrial RNA processing (GO:0000963)	7	1	.19	+	5.19	1.77E-01
water transport (GO:0006833)	7	1	.19	+	5.19	1.77E-01
protein neddylation (GO:0045116)	7	1	.19	+	5.19	1.77E-01
positive regulation of cell adhesion (GO:0045785)	21	3	.58	+	5.19	1.90E-02
phospholipid translocation (GO:0045332)	21	3	.58	+	5.19	1.90E-02
lipid translocation (GO:0034204)	22	3	.61	+	4.96	2.15E-02
endoplasmic reticulum organization (GO:0007029)	22	3	.61	+	4.96	2.15E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	.41	+	4.85	6.25E-02
lymphocyte activation (GO:0046649)	15	2	.41	+	4.85	6.25E-02
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	2	.41	+	4.85	6.25E-02
cyclic nucleotide metabolic process (GO:0009187)	8	1	.22	+	4.55	2.00E-01
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	1	.22	+	4.55	2.00E-01
proteoglycan biosynthetic process (GO:0030166)	24	3	.66	+	4.55	2.72E-02
regulation of innate immune response (GO:0045088)	24	3	.66	+	4.55	2.72E-02
positive regulation of chemotaxis (GO:0050921)	8	1	.22	+	4.55	2.00E-01
regulation of chemotaxis (GO:0050920)	8	1	.22	+	4.55	2.00E-01
sprouting angiogenesis (GO:0002040)	8	1	.22	+	4.55	2.00E-01
positive regulation of leukocyte chemotaxis (GO:0002690)	8	1	.22	+	4.55	2.00E-01
receptor clustering (GO:0043113)	8	1	.22	+	4.55	2.00E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	2	.44	+	4.55	7.02E-02
actin filament-based movement (GO:0030048)	16	2	.44	+	4.55	7.02E-02
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	8	1	.22	+	4.55	2.00E-01
leukocyte differentiation (GO:0002521)	16	2	.44	+	4.55	7.02E-02
cAMP-mediated signaling (GO:0019933)	16	2	.44	+	4.55	7.02E-02
regulation of membrane lipid distribution (GO:0097035)	25	3	.69	+	4.36	3.03E-02
regulation of response to biotic stimulus (GO:0002831)	26	3	.72	+	4.20	3.36E-02
polysaccharide biosynthetic process (GO:0000271)	9	1	.25	+	4.04	2.22E-01
carbohydrate transmembrane transport (GO:0034219)	9	1	.25	+	4.04	2.22E-01
hemostasis (GO:0007599)	9	1	.25	+	4.04	2.22E-01
blood coagulation (GO:0007596)	9	1	.25	+	4.04	2.22E-01
carbohydrate transport (GO:0008643)	9	1	.25	+	4.04	2.22E-01
cellular response to amino acid starvation (GO:0034198)	9	1	.25	+	4.04	2.22E-01
leukocyte activation (GO:0045321)	18	2	.50	+	4.04	8.64E-02
hemopoiesis (GO:0030097)	27	3	.74	+	4.04	3.70E-02
positive regulation of cytokine production (GO:0001819)	9	1	.25	+	4.04	2.22E-01
double-strand break repair via break-induced replication (GO:0000727)	9	1	.25	+	4.04	2.22E-01
coagulation (GO:0050817)	9	1	.25	+	4.04	2.22E-01
positive regulation of cell-cell adhesion (GO:0022409)	9	1	.25	+	4.04	2.22E-01
cell activation (GO:0001775)	27	3	.74	+	4.04	3.70E-02
unsaturated fatty acid metabolic process (GO:0033559)	9	1	.25	+	4.04	2.22E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	18	2	.50	+	4.04	8.64E-02
aspartate transmembrane transport (GO:0015810)	9	1	.25	+	4.04	2.22E-01
blood vessel development (GO:0001568)	37	4	1.02	+	3.93	1.82E-02
vasculature development (GO:0001944)	38	4	1.05	+	3.83	1.99E-02
positive regulation of innate immune response (GO:0045089)	19	2	.52	+	3.83	9.49E-02
positive regulation of defense response (GO:0031349)	19	2	.52	+	3.83	9.49E-02
regulation of response to external stimulus (GO:0032101)	48	5	1.32	+	3.79	9.92E-03
proteoglycan metabolic process (GO:0006029)	29	3	.80	+	3.76	4.44E-02
positive regulation of response to external stimulus (GO:0032103)	29	3	.80	+	3.76	4.44E-02
positive regulation of macroautophagy (GO:0016239)	10	1	.28	+	3.64	2.43E-01
negative regulation of TOR signaling (GO:0032007)	10	1	.28	+	3.64	2.43E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	20	2	.55	+	3.64	1.04E-01
response to transforming growth factor beta (GO:0071559)	20	2	.55	+	3.64	1.04E-01
peptide catabolic process (GO:0043171)	10	1	.28	+	3.64	2.43E-01
regulation of protein localization to membrane (GO:1905475)	10	1	.28	+	3.64	2.43E-01
transforming growth factor beta receptor signaling pathway (GO:0007179)	20	2	.55	+	3.64	1.04E-01
myeloid cell differentiation (GO:0030099)	10	1	.28	+	3.64	2.43E-01
regulation of cellular response to stress (GO:0080135)	30	3	.83	+	3.64	4.84E-02
phospholipid transport (GO:0015914)	30	3	.83	+	3.64	4.84E-02
centrosome duplication (GO:0051298)	10	1	.28	+	3.64	2.43E-01
regulation of lymphocyte activation (GO:0051249)	10	1	.28	+	3.64	2.43E-01
neuron migration (GO:0001764)	10	1	.28	+	3.64	2.43E-01
positive regulation of cell motility (GO:2000147)	51	5	1.40	+	3.56	1.27E-02
positive regulation of locomotion (GO:0040017)	51	5	1.40	+	3.56	1.27E-02
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	31	3	.85	+	3.52	5.25E-02
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	31	3	.85	+	3.52	5.25E-02
regulation of Rho protein signal transduction (GO:0035023)	21	2	.58	+	3.46	1.12E-01
regulation of angiogenesis (GO:0045765)	21	2	.58	+	3.46	1.12E-01
regulation of organelle assembly (GO:1902115)	21	2	.58	+	3.46	1.12E-01
regulation of vasculature development (GO:1901342)	21	2	.58	+	3.46	1.12E-01
positive regulation of response to biotic stimulus (GO:0002833)	21	2	.58	+	3.46	1.12E-01
angiogenesis (GO:0001525)	32	3	.88	+	3.41	5.68E-02
negative regulation of endopeptidase activity (GO:0010951)	22	2	.61	+	3.31	1.22E-01
regulation of leukocyte activation (GO:0002694)	11	1	.30	+	3.31	2.64E-01
mitophagy (GO:0000423)	11	1	.30	+	3.31	2.64E-01
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	1	.30	+	3.31	2.64E-01
negative regulation of peptidase activity (GO:0010466)	22	2	.61	+	3.31	1.22E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	2	.61	+	3.31	1.22E-01
negative regulation of defense response (GO:0031348)	11	1	.30	+	3.31	2.64E-01
regulation of defense response (GO:0031347)	33	3	.91	+	3.31	6.13E-02
axonemal dynein complex assembly (GO:0070286)	11	1	.30	+	3.31	2.64E-01
protein sumoylation (GO:0016925)	11	1	.30	+	3.31	2.64E-01
regulation of DNA metabolic process (GO:0051052)	34	3	.94	+	3.21	6.59E-02
regulation of response to stress (GO:0080134)	69	6	1.90	+	3.16	1.16E-02
glycosyl compound metabolic process (GO:1901657)	23	2	.63	+	3.16	1.31E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	2	.63	+	3.16	1.31E-01
regulation of cellular localization (GO:0060341)	47	4	1.29	+	3.09	3.97E-02
mitochondrial transmembrane transport (GO:1990542)	36	3	.99	+	3.03	7.56E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	1	.33	+	3.03	2.85E-01
C4-dicarboxylate transport (GO:0015740)	12	1	.33	+	3.03	2.85E-01
protein targeting to ER (GO:0045047)	12	1	.33	+	3.03	2.85E-01
aspartate family amino acid metabolic process (GO:0009066)	12	1	.33	+	3.03	2.85E-01
positive regulation of leukocyte migration (GO:0002687)	12	1	.33	+	3.03	2.85E-01
positive regulation of cell migration (GO:0030335)	48	4	1.32	+	3.03	4.24E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	1	.33	+	3.03	2.85E-01
chaperone-mediated protein folding (GO:0061077)	12	1	.33	+	3.03	2.85E-01
blood vessel morphogenesis (GO:0048514)	36	3	.99	+	3.03	7.56E-02
plasma membrane organization (GO:0007009)	24	2	.66	+	3.03	1.40E-01
pyrimidine nucleotide metabolic process (GO:0006220)	12	1	.33	+	3.03	2.85E-01
regulation of protein localization (GO:0032880)	37	3	1.02	+	2.95	8.07E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	5	1.71	+	2.93	2.75E-02
negative regulation of hydrolase activity (GO:0051346)	25	2	.69	+	2.91	1.50E-01
vesicle budding from membrane (GO:0006900)	25	2	.69	+	2.91	1.50E-01
tube morphogenesis (GO:0035239)	38	3	1.05	+	2.87	8.59E-02
respiratory electron transport chain (GO:0022904)	13	1	.36	+	2.80	3.04E-01
polysaccharide metabolic process (GO:0005976)	13	1	.36	+	2.80	3.04E-01
negative regulation of DNA metabolic process (GO:0051053)	13	1	.36	+	2.80	3.04E-01
DNA synthesis involved in DNA repair (GO:0000731)	13	1	.36	+	2.80	3.04E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	13	1	.36	+	2.80	3.04E-01
regulation of cell activation (GO:0050865)	13	1	.36	+	2.80	3.04E-01
mRNA stabilization (GO:0048255)	13	1	.36	+	2.80	3.04E-01
activation of innate immune response (GO:0002218)	13	1	.36	+	2.80	3.04E-01
protein localization to synapse (GO:0035418)	13	1	.36	+	2.80	3.04E-01
mitochondrial RNA metabolic process (GO:0000959)	13	1	.36	+	2.80	3.04E-01
organic hydroxy compound transport (GO:0015850)	26	2	.72	+	2.80	1.60E-01
regulation of cell adhesion (GO:0030155)	40	3	1.10	+	2.73	9.67E-02
tube development (GO:0035295)	40	3	1.10	+	2.73	9.67E-02
monocarboxylic acid biosynthetic process (GO:0072330)	27	2	.74	+	2.69	1.69E-01
fatty acid biosynthetic process (GO:0006633)	27	2	.74	+	2.69	1.69E-01
negative regulation of proteolysis (GO:0045861)	27	2	.74	+	2.69	1.69E-01
synaptic vesicle endocytosis (GO:0048488)	27	2	.74	+	2.69	1.69E-01
synaptic vesicle recycling (GO:0036465)	28	2	.77	+	2.60	1.79E-01
regulation of cell shape (GO:0008360)	28	2	.77	+	2.60	1.79E-01
glutathione metabolic process (GO:0006749)	14	1	.39	+	2.60	3.23E-01
RNA stabilization (GO:0043489)	14	1	.39	+	2.60	3.23E-01
regulation of body fluid levels (GO:0050878)	14	1	.39	+	2.60	3.23E-01
postreplication repair (GO:0006301)	14	1	.39	+	2.60	3.23E-01
regulation of neurotransmitter secretion (GO:0046928)	14	1	.39	+	2.60	3.23E-01
regulation of axonogenesis (GO:0050770)	14	1	.39	+	2.60	3.23E-01
BMP signaling pathway (GO:0030509)	14	1	.39	+	2.60	3.23E-01
glial cell differentiation (GO:0010001)	14	1	.39	+	2.60	3.23E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	42	3	1.16	+	2.60	1.08E-01
positive regulation of multicellular organismal process (GO:0051240)	70	5	1.93	+	2.60	4.32E-02
regulation of protein catabolic process (GO:0042176)	43	3	1.18	+	2.54	1.14E-01
mitochondrial transport (GO:0006839)	43	3	1.18	+	2.54	1.14E-01
endocytic recycling (GO:0032456)	29	2	.80	+	2.51	1.89E-01
regulation of vesicle-mediated transport (GO:0060627)	59	4	1.62	+	2.47	7.88E-02
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	6	2.48	+	2.42	3.75E-02
nucleoside triphosphate metabolic process (GO:0009141)	30	2	.83	+	2.42	1.99E-01
hippo signaling (GO:0035329)	15	1	.41	+	2.42	3.42E-01
regulation of macroautophagy (GO:0016241)	15	1	.41	+	2.42	3.42E-01
regulation of proteasomal protein catabolic process (GO:0061136)	30	2	.83	+	2.42	1.99E-01
regulation of leukocyte migration (GO:0002685)	15	1	.41	+	2.42	3.42E-01
regulation of cell-cell adhesion (GO:0022407)	15	1	.41	+	2.42	3.42E-01
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	1	.41	+	2.42	3.42E-01
cellular response to BMP stimulus (GO:0071773)	15	1	.41	+	2.42	3.42E-01
response to BMP (GO:0071772)	15	1	.41	+	2.42	3.42E-01
negative regulation of RNA catabolic process (GO:1902369)	15	1	.41	+	2.42	3.42E-01
negative regulation of response to external stimulus (GO:0032102)	15	1	.41	+	2.42	3.42E-01
axoneme assembly (GO:0035082)	15	1	.41	+	2.42	3.42E-01
organophosphate ester transport (GO:0015748)	46	3	1.27	+	2.37	1.32E-01
mesenchyme development (GO:0060485)	31	2	.85	+	2.35	2.09E-01
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	2	.85	+	2.35	2.09E-01
mesenchymal cell differentiation (GO:0048762)	31	2	.85	+	2.35	2.09E-01
regulation of trans-synaptic signaling (GO:0099177)	78	5	2.15	+	2.33	6.34E-02
modulation of chemical synaptic transmission (GO:0050804)	78	5	2.15	+	2.33	6.34E-02
regulation of anatomical structure morphogenesis (GO:0022603)	78	5	2.15	+	2.33	6.34E-02
response to growth factor (GO:0070848)	79	5	2.17	+	2.30	6.62E-02
cellular response to growth factor stimulus (GO:0071363)	79	5	2.17	+	2.30	6.62E-02
establishment or maintenance of bipolar cell polarity (GO:0061245)	16	1	.44	+	2.27	3.60E-01
electron transport chain (GO:0022900)	16	1	.44	+	2.27	3.60E-01
response to hypoxia (GO:0001666)	16	1	.44	+	2.27	3.60E-01
negative regulation of immune system process (GO:0002683)	16	1	.44	+	2.27	3.60E-01
gliogenesis (GO:0042063)	16	1	.44	+	2.27	3.60E-01
positive regulation of autophagy (GO:0010508)	16	1	.44	+	2.27	3.60E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	16	1	.44	+	2.27	3.60E-01
calcium-ion regulated exocytosis (GO:0017156)	16	1	.44	+	2.27	3.60E-01
sister chromatid cohesion (GO:0007062)	16	1	.44	+	2.27	3.60E-01
nucleoside phosphate catabolic process (GO:1901292)	32	2	.88	+	2.27	2.20E-01
regulation of growth (GO:0040008)	16	1	.44	+	2.27	3.60E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	1	.44	+	2.27	3.60E-01
GPI anchor biosynthetic process (GO:0006506)	16	1	.44	+	2.27	3.60E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	16	1	.44	+	2.27	3.60E-01
dicarboxylic acid transport (GO:0006835)	16	1	.44	+	2.27	3.60E-01
L-amino acid transport (GO:0015807)	16	1	.44	+	2.27	3.60E-01
synaptic vesicle cycle (GO:0099504)	49	3	1.35	+	2.23	1.51E-01
vesicle-mediated transport in synapse (GO:0099003)	49	3	1.35	+	2.23	1.51E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	83	5	2.28	+	2.19	7.83E-02
peptidyl-threonine phosphorylation (GO:0018107)	17	1	.47	+	2.14	3.78E-01
response to oxygen levels (GO:0070482)	17	1	.47	+	2.14	3.78E-01
positive regulation of immune system process (GO:0002684)	68	4	1.87	+	2.14	1.17E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	4	1.87	+	2.14	1.17E-01
synaptic transmission, glutamatergic (GO:0035249)	17	1	.47	+	2.14	3.78E-01
protein localization to cell junction (GO:1902414)	17	1	.47	+	2.14	3.78E-01
GPI anchor metabolic process (GO:0006505)	17	1	.47	+	2.14	3.78E-01
regulation of mRNA stability (GO:0043488)	52	3	1.43	+	2.10	1.72E-01
positive regulation of gene expression (GO:0010628)	70	4	1.93	+	2.08	1.26E-01
regulation of RNA stability (GO:0043487)	53	3	1.46	+	2.06	1.78E-01
purine ribonucleotide catabolic process (GO:0009154)	18	1	.50	+	2.02	3.95E-01
tRNA methylation (GO:0030488)	18	1	.50	+	2.02	3.95E-01
circulatory system development (GO:0072359)	90	5	2.48	+	2.02	1.02E-01
endomembrane system organization (GO:0010256)	108	6	2.97	+	2.02	7.72E-02
positive regulation of transport (GO:0051050)	36	2	.99	+	2.02	2.60E-01
wound healing (GO:0042060)	18	1	.50	+	2.02	3.95E-01
cell cycle G1/S phase transition (GO:0044843)	18	1	.50	+	2.02	3.95E-01
G1/S transition of mitotic cell cycle (GO:0000082)	18	1	.50	+	2.02	3.95E-01
centrosome cycle (GO:0007098)	18	1	.50	+	2.02	3.95E-01
regulation of TORC1 signaling (GO:1903432)	18	1	.50	+	2.02	3.95E-01
regulation of mRNA catabolic process (GO:0061013)	55	3	1.51	+	1.98	1.92E-01
peptidyl-serine phosphorylation (GO:0018105)	74	4	2.04	+	1.97	1.46E-01
peptidyl-serine modification (GO:0018209)	74	4	2.04	+	1.97	1.46E-01
regulation of cell motility (GO:2000145)	94	5	2.59	+	1.93	1.89E-01
regulation of locomotion (GO:0040012)	94	5	2.59	+	1.93	1.89E-01
purine nucleotide catabolic process (GO:0006195)	19	1	.52	+	1.91	4.12E-01
regulation of proteolysis (GO:0030162)	76	4	2.09	+	1.91	1.57E-01
microtubule polymerization (GO:0046785)	19	1	.52	+	1.91	4.12E-01
DNA biosynthetic process (GO:0071897)	19	1	.52	+	1.91	4.12E-01
DNA damage checkpoint signaling (GO:0000077)	19	1	.52	+	1.91	4.12E-01
cell-cell adhesion (GO:0098609)	152	8	4.18	+	1.91	7.28E-02
carbohydrate biosynthetic process (GO:0016051)	19	1	.52	+	1.91	4.12E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	.52	+	1.91	4.12E-01
calcium ion transmembrane transport (GO:0070588)	58	3	1.60	+	1.88	2.14E-01
carbohydrate derivative catabolic process (GO:1901136)	58	3	1.60	+	1.88	2.14E-01
regulation of RNA splicing (GO:0043484)	58	3	1.60	+	1.88	2.14E-01
regulation of immune system process (GO:0002682)	97	5	2.67	+	1.87	1.95E-01
regulation of catabolic process (GO:0009894)	136	7	3.74	+	1.87	1.03E-01
regulation of hydrolase activity (GO:0051336)	118	6	3.25	+	1.85	1.43E-01
regulation of immune response (GO:0050776)	59	3	1.62	+	1.85	2.21E-01
signal transduction in response to DNA damage (GO:0042770)	20	1	.55	+	1.82	4.28E-01
protein palmitoylation (GO:0018345)	20	1	.55	+	1.82	4.28E-01
regulation of MAP kinase activity (GO:0043405)	20	1	.55	+	1.82	4.28E-01
embryonic morphogenesis (GO:0048598)	40	2	1.10	+	1.82	3.02E-01
positive regulation of synaptic transmission (GO:0050806)	20	1	.55	+	1.82	4.28E-01
striated muscle contraction (GO:0006941)	20	1	.55	+	1.82	4.28E-01
ribonucleotide catabolic process (GO:0009261)	20	1	.55	+	1.82	4.28E-01
regulatory ncRNA processing (GO:0070918)	20	1	.55	+	1.82	4.28E-01
regulation of endopeptidase activity (GO:0052548)	41	2	1.13	+	1.77	3.12E-01
lipid localization (GO:0010876)	83	4	2.28	+	1.75	2.93E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	1	.58	+	1.73	4.44E-01
regulation of peptidase activity (GO:0052547)	42	2	1.16	+	1.73	3.22E-01
acetylcholine receptor signaling pathway (GO:0095500)	21	1	.58	+	1.73	4.44E-01
fatty acid beta-oxidation (GO:0006635)	21	1	.58	+	1.73	4.44E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	.58	+	1.73	4.44E-01
synaptic vesicle exocytosis (GO:0016079)	21	1	.58	+	1.73	4.44E-01
membrane organization (GO:0061024)	152	7	4.18	+	1.67	2.01E-01
Notch signaling pathway (GO:0007219)	22	1	.61	+	1.65	4.59E-01
organophosphate catabolic process (GO:0046434)	44	2	1.21	+	1.65	3.42E-01
microtubule bundle formation (GO:0001578)	22	1	.61	+	1.65	4.59E-01
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	1	.61	+	1.65	4.59E-01
microtubule organizing center organization (GO:0031023)	22	1	.61	+	1.65	4.59E-01
monoatomic anion transport (GO:0006820)	44	2	1.21	+	1.65	3.42E-01
immune system process (GO:0002376)	111	5	3.05	+	1.64	2.35E-01
cellular response to nitrogen compound (GO:1901699)	68	3	1.87	+	1.60	4.37E-01
regulation of cell migration (GO:0030334)	91	4	2.50	+	1.60	3.19E-01
organelle disassembly (GO:1903008)	46	2	1.27	+	1.58	3.62E-01
protein folding (GO:0006457)	92	4	2.53	+	1.58	3.23E-01
DNA integrity checkpoint signaling (GO:0031570)	23	1	.63	+	1.58	4.74E-01
lipid oxidation (GO:0034440)	23	1	.63	+	1.58	4.74E-01
regulation of cytokine production (GO:0001817)	23	1	.63	+	1.58	4.74E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	23	1	.63	+	1.58	4.74E-01
cellular response to organic cyclic compound (GO:0071407)	23	1	.63	+	1.58	4.74E-01
protein localization to endoplasmic reticulum (GO:0070972)	23	1	.63	+	1.58	4.74E-01
positive regulation of catabolic process (GO:0009896)	69	3	1.90	+	1.58	4.40E-01
positive regulation of cellular catabolic process (GO:0031331)	46	2	1.27	+	1.58	3.62E-01
embryo development (GO:0009790)	70	3	1.93	+	1.56	4.44E-01
peptidyl-amino acid modification (GO:0018193)	189	8	5.20	+	1.54	2.54E-01
calcium ion transport (GO:0006816)	71	3	1.95	+	1.54	4.48E-01
protein modification by small protein conjugation (GO:0032446)	190	8	5.23	+	1.53	2.55E-01
G protein-coupled receptor signaling pathway (GO:0007186)	238	10	6.55	+	1.53	1.60E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	191	8	5.25	+	1.52	2.56E-01
positive regulation of protein catabolic process (GO:0045732)	24	1	.66	+	1.52	4.88E-01
positive regulation of GTPase activity (GO:0043547)	48	2	1.32	+	1.52	3.82E-01
response to wounding (GO:0009611)	24	1	.66	+	1.52	4.88E-01
