




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	for.delta_af.windows.1percent.genenames.txt (Gallus gallus)
Reference List:	background_genes.fst.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	for.delta_af.windows.1percent.genenames.txt (262)	for.delta_af.windows.1percent.genenames.txt (expected)	for.delta_af.windows.1percent.genenames.txt (over/under)	for.delta_af.windows.1percent.genenames.txt (fold Enrichment)	for.delta_af.windows.1percent.genenames.txt (raw P-value)
protein secretion (GO:0009306)	19	1	.42	+	2.39	3.45E-01
cilium movement (GO:0003341)	19	1	.42	+	2.39	3.45E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	.42	+	2.39	3.45E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	19	1	.42	+	2.39	3.45E-01
protein localization to extracellular region (GO:0071692)	19	1	.42	+	2.39	3.45E-01
positive regulation of catalytic activity (GO:0043085)	153	8	3.37	+	2.37	2.00E-02
DNA recombination (GO:0006310)	77	4	1.70	+	2.36	8.99E-02
protein-DNA complex organization (GO:0071824)	118	6	2.60	+	2.31	4.62E-02
protein O-linked glycosylation (GO:0006493)	40	2	.88	+	2.27	2.20E-01
heterochromatin formation (GO:0031507)	20	1	.44	+	2.27	3.60E-01
regulation of MAP kinase activity (GO:0043405)	20	1	.44	+	2.27	3.60E-01
striated muscle contraction (GO:0006941)	20	1	.44	+	2.27	3.60E-01
ribonucleotide catabolic process (GO:0009261)	20	1	.44	+	2.27	3.60E-01
microtubule-based movement (GO:0007018)	100	5	2.20	+	2.27	6.99E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	62	3	1.37	+	2.20	1.56E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	1	.46	+	2.16	3.74E-01
positive regulation of cell adhesion (GO:0045785)	21	1	.46	+	2.16	3.74E-01
regulation of angiogenesis (GO:0045765)	21	1	.46	+	2.16	3.74E-01
acetylcholine receptor signaling pathway (GO:0095500)	21	1	.46	+	2.16	3.74E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	42	2	.93	+	2.16	2.36E-01
regulation of cell cycle process (GO:0010564)	105	5	2.31	+	2.16	8.22E-02
regulation of vasculature development (GO:1901342)	21	1	.46	+	2.16	3.74E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	.46	+	2.16	3.74E-01
positive regulation of neurogenesis (GO:0050769)	21	1	.46	+	2.16	3.74E-01
positive regulation of cell communication (GO:0010647)	191	9	4.21	+	2.14	3.94E-02
positive regulation of signaling (GO:0023056)	191	9	4.21	+	2.14	3.94E-02
meiotic cell cycle process (GO:1903046)	43	2	.95	+	2.11	2.45E-01
response to external biotic stimulus (GO:0043207)	43	2	.95	+	2.11	2.45E-01
response to other organism (GO:0051707)	43	2	.95	+	2.11	2.45E-01
positive regulation of cellular component biogenesis (GO:0044089)	43	2	.95	+	2.11	2.45E-01
microtubule bundle formation (GO:0001578)	22	1	.48	+	2.06	3.88E-01
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	22	1	.48	+	2.06	3.88E-01
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	1	.48	+	2.06	3.88E-01
response to biotic stimulus (GO:0009607)	44	2	.97	+	2.06	2.53E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	44	2	.97	+	2.06	2.53E-01
protein-RNA complex assembly (GO:0022618)	67	3	1.48	+	2.03	1.83E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	4	1.98	+	2.02	1.37E-01
regulation of multicellular organismal development (GO:2000026)	91	4	2.01	+	1.99	1.41E-01
regulation of developmental process (GO:0050793)	183	8	4.03	+	1.98	6.61E-02
potassium ion transmembrane transport (GO:0071805)	92	4	2.03	+	1.97	1.45E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	23	1	.51	+	1.97	4.01E-01
positive regulation of molecular function (GO:0044093)	184	8	4.05	+	1.97	6.71E-02
potassium ion transport (GO:0006813)	92	4	2.03	+	1.97	1.45E-01
DNA repair (GO:0006281)	163	7	3.59	+	1.95	9.48E-02
regulation of hydrolase activity (GO:0051336)	118	5	2.60	+	1.92	1.91E-01
protein-RNA complex organization (GO:0071826)	71	3	1.56	+	1.92	2.06E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	1	.53	+	1.89	4.14E-01
positive regulation of organelle organization (GO:0010638)	48	2	1.06	+	1.89	2.86E-01
heterochromatin organization (GO:0070828)	24	1	.53	+	1.89	4.14E-01
hormone-mediated signaling pathway (GO:0009755)	24	1	.53	+	1.89	4.14E-01
regulation of innate immune response (GO:0045088)	24	1	.53	+	1.89	4.14E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	1	.53	+	1.89	4.14E-01
purine-containing compound catabolic process (GO:0072523)	24	1	.53	+	1.89	4.14E-01
response to fibroblast growth factor (GO:0071774)	24	1	.53	+	1.89	4.14E-01
cellular response to starvation (GO:0009267)	24	1	.53	+	1.89	4.14E-01
positive regulation of signal transduction (GO:0009967)	169	7	3.72	+	1.88	1.03E-01
synaptic vesicle cycle (GO:0099504)	49	2	1.08	+	1.85	2.94E-01
vesicle-mediated transport in synapse (GO:0099003)	49	2	1.08	+	1.85	2.94E-01
cell adhesion (GO:0007155)	221	9	4.87	+	1.85	6.30E-02
nucleotide catabolic process (GO:0009166)	25	1	.55	+	1.82	4.27E-01
phosphatidylinositol dephosphorylation (GO:0046856)	25	1	.55	+	1.82	4.27E-01
mitochondrial gene expression (GO:0140053)	25	1	.55	+	1.82	4.27E-01
chromatin organization (GO:0006325)	100	4	2.20	+	1.82	2.86E-01
glycosylation (GO:0070085)	100	4	2.20	+	1.82	2.86E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	.55	+	1.82	4.27E-01
vesicle budding from membrane (GO:0006900)	25	1	.55	+	1.82	4.27E-01
cellular response to nutrient levels (GO:0031669)	25	1	.55	+	1.82	4.27E-01
cellular response to extracellular stimulus (GO:0031668)	25	1	.55	+	1.82	4.27E-01
cell cycle process (GO:0022402)	226	9	4.98	+	1.81	1.01E-01
cell-cell adhesion (GO:0098609)	152	6	3.35	+	1.79	1.53E-01
transport along microtubule (GO:0010970)	51	2	1.12	+	1.78	3.10E-01
meiotic cell cycle (GO:0051321)	51	2	1.12	+	1.78	3.10E-01
negative regulation of organelle organization (GO:0010639)	52	2	1.15	+	1.75	3.18E-01
protein-containing complex localization (GO:0031503)	52	2	1.15	+	1.75	3.18E-01
mRNA destabilization (GO:0061157)	26	1	.57	+	1.75	4.40E-01
non-canonical Wnt signaling pathway (GO:0035567)	26	1	.57	+	1.75	4.40E-01
cellular response to external stimulus (GO:0071496)	26	1	.57	+	1.75	4.40E-01
regulation of response to biotic stimulus (GO:0002831)	26	1	.57	+	1.75	4.40E-01
negative regulation of gene expression, epigenetic (GO:0045814)	26	1	.57	+	1.75	4.40E-01
RNA destabilization (GO:0050779)	26	1	.57	+	1.75	4.40E-01
protein-containing complex assembly (GO:0065003)	184	7	4.05	+	1.73	1.29E-01
chemical synaptic transmission (GO:0007268)	132	5	2.91	+	1.72	2.19E-01
anterograde trans-synaptic signaling (GO:0098916)	132	5	2.91	+	1.72	2.19E-01
microtubule-based transport (GO:0099111)	53	2	1.17	+	1.71	3.27E-01
trans-synaptic signaling (GO:0099537)	133	5	2.93	+	1.71	2.21E-01
DNA metabolic process (GO:0006259)	240	9	5.29	+	1.70	1.14E-01
recombinational repair (GO:0000725)	54	2	1.19	+	1.68	3.35E-01
double-strand break repair via homologous recombination (GO:0000724)	54	2	1.19	+	1.68	3.35E-01
positive regulation of protein kinase activity (GO:0045860)	27	1	.59	+	1.68	4.52E-01
regulation of mitotic cell cycle (GO:0007346)	81	3	1.78	+	1.68	2.64E-01
macroautophagy (GO:0016236)	55	2	1.21	+	1.65	3.43E-01
immune response (GO:0006955)	55	2	1.21	+	1.65	3.43E-01
lipid localization (GO:0010876)	83	3	1.83	+	1.64	4.33E-01
cell cycle (GO:0007049)	250	9	5.51	+	1.63	1.26E-01
peptide metabolic process (GO:0006518)	167	6	3.68	+	1.63	1.87E-01
regulation of cell shape (GO:0008360)	28	1	.62	+	1.62	4.65E-01
translational initiation (GO:0006413)	28	1	.62	+	1.62	4.65E-01
alcohol metabolic process (GO:0006066)	56	2	1.23	+	1.62	3.51E-01
calcium ion transmembrane import into cytosol (GO:0097553)	28	1	.62	+	1.62	4.65E-01
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	1	.62	+	1.62	4.65E-01
synaptic signaling (GO:0099536)	142	5	3.13	+	1.60	2.46E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	57	2	1.26	+	1.59	3.59E-01
defense response (GO:0006952)	57	2	1.26	+	1.59	3.59E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	2	1.26	+	1.59	3.59E-01
regulation of cell cycle (GO:0051726)	143	5	3.15	+	1.59	2.49E-01
negative regulation of response to stimulus (GO:0048585)	172	6	3.79	+	1.58	2.84E-01
calcium ion transmembrane transport (GO:0070588)	58	2	1.28	+	1.56	3.67E-01
potassium ion import across plasma membrane (GO:1990573)	29	1	.64	+	1.56	4.76E-01
regulation of RNA splicing (GO:0043484)	58	2	1.28	+	1.56	3.67E-01
positive regulation of mRNA catabolic process (GO:0061014)	29	1	.64	+	1.56	4.76E-01
glycolipid biosynthetic process (GO:0009247)	29	1	.64	+	1.56	4.76E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	29	1	.64	+	1.56	4.76E-01
negative regulation of cellular catabolic process (GO:0031330)	29	1	.64	+	1.56	4.76E-01
apoptotic signaling pathway (GO:0097190)	29	1	.64	+	1.56	4.76E-01
DNA damage response (GO:0006974)	203	7	4.47	+	1.56	2.21E-01
regulation of catalytic activity (GO:0050790)	262	9	5.77	+	1.56	1.94E-01
positive regulation of response to stimulus (GO:0048584)	234	8	5.16	+	1.55	1.79E-01
endocytosis (GO:0006897)	117	4	2.58	+	1.55	3.31E-01
negative regulation of protein metabolic process (GO:0051248)	88	3	1.94	+	1.55	4.46E-01
regulation of signal transduction (GO:0009966)	441	15	9.72	+	1.54	9.51E-02
regulation of immune response (GO:0050776)	59	2	1.30	+	1.54	3.75E-01
regulation of mRNA metabolic process (GO:1903311)	89	3	1.96	+	1.53	4.49E-01
response to stress (GO:0006950)	446	15	9.83	+	1.53	9.79E-02
regulation of chromosome organization (GO:0033044)	30	1	.66	+	1.51	4.88E-01
positive regulation of nervous system development (GO:0051962)	30	1	.66	+	1.51	4.88E-01
protein targeting to membrane (GO:0006612)	30	1	.66	+	1.51	4.88E-01
cytokinesis (GO:0000910)	30	1	.66	+	1.51	4.88E-01
regulation of cell communication (GO:0010646)	513	17	11.30	+	1.50	8.89E-02
negative regulation of signal transduction (GO:0009968)	151	5	3.33	+	1.50	3.91E-01
membrane organization (GO:0061024)	152	5	3.35	+	1.49	3.92E-01
regulation of signaling (GO:0023051)	517	17	11.39	+	1.49	9.10E-02
calcium ion homeostasis (GO:0055074)	61	2	1.34	+	1.49	3.90E-01
vacuolar transport (GO:0007034)	61	2	1.34	+	1.49	3.90E-01
mRNA splicing, via spliceosome (GO:0000398)	92	3	2.03	+	1.48	4.58E-01
