PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
inner dynein arm assembly (GO:0036159)	4	1	.15	+	6.51	1.45E-01
outer dynein arm assembly (GO:0036158)	4	1	.15	+	6.51	1.45E-01
regulation of cell-substrate adhesion (GO:0010810)	13	3	.50	+	6.01	1.21E-02
regulation of dephosphorylation (GO:0035303)	9	2	.35	+	5.78	4.43E-02
cellular response to amino acid starvation (GO:0034198)	9	2	.35	+	5.78	4.43E-02
protein K48-linked ubiquitination (GO:0070936)	9	2	.35	+	5.78	4.43E-02
pyrimidine nucleobase metabolic process (GO:0006206)	9	2	.35	+	5.78	4.43E-02
cilium or flagellum-dependent cell motility (GO:0001539)	14	3	.54	+	5.58	1.50E-02
cilium-dependent cell motility (GO:0060285)	14	3	.54	+	5.58	1.50E-02
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	1	.19	+	5.21	1.78E-01
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	1	.19	+	5.21	1.78E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	1	.19	+	5.21	1.78E-01
signal transduction by p53 class mediator (GO:0072331)	5	1	.19	+	5.21	1.78E-01
positive regulation of leukocyte activation (GO:0002696)	5	1	.19	+	5.21	1.78E-01
positive regulation of cell activation (GO:0050867)	5	1	.19	+	5.21	1.78E-01
negative regulation of coagulation (GO:0050819)	5	1	.19	+	5.21	1.78E-01
positive regulation of cation channel activity (GO:2001259)	5	1	.19	+	5.21	1.78E-01
cilium movement involved in cell motility (GO:0060294)	10	2	.38	+	5.21	5.40E-02
triglyceride homeostasis (GO:0070328)	5	1	.19	+	5.21	1.78E-01
positive regulation of lymphocyte activation (GO:0051251)	5	1	.19	+	5.21	1.78E-01
mitochondrial calcium ion homeostasis (GO:0051560)	10	2	.38	+	5.21	5.40E-02
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	1	.19	+	5.21	1.78E-01
pyrimidine nucleobase catabolic process (GO:0006208)	5	1	.19	+	5.21	1.78E-01
Golgi to vacuole transport (GO:0006896)	5	1	.19	+	5.21	1.78E-01
axoneme assembly (GO:0035082)	15	3	.58	+	5.21	1.82E-02
microtubule bundle formation (GO:0001578)	22	4	.85	+	4.73	9.07E-03
poly(A)+ mRNA export from nucleus (GO:0016973)	11	2	.42	+	4.73	6.44E-02
axonemal dynein complex assembly (GO:0070286)	11	2	.42	+	4.73	6.44E-02
mRNA transport (GO:0051028)	28	5	1.08	+	4.65	3.87E-03
nucleoside triphosphate biosynthetic process (GO:0009142)	6	1	.23	+	4.34	2.10E-01
regulation of filopodium assembly (GO:0051489)	6	1	.23	+	4.34	2.10E-01
JNK cascade (GO:0007254)	6	1	.23	+	4.34	2.10E-01
dopamine receptor signaling pathway (GO:0007212)	6	1	.23	+	4.34	2.10E-01
energy reserve metabolic process (GO:0006112)	6	1	.23	+	4.34	2.10E-01
protein targeting to ER (GO:0045047)	12	2	.46	+	4.34	7.54E-02
glycogen metabolic process (GO:0005977)	6	1	.23	+	4.34	2.10E-01
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	1	.23	+	4.34	2.10E-01
intraciliary transport (GO:0042073)	18	3	.69	+	4.34	2.99E-02
protein localization to lysosome (GO:0061462)	6	1	.23	+	4.34	2.10E-01
regulation of myeloid cell differentiation (GO:0045637)	6	1	.23	+	4.34	2.10E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	2	.46	+	4.34	7.54E-02
ribonucleotide biosynthetic process (GO:0009260)	36	6	1.38	+	4.34	2.27E-03
positive regulation of TORC1 signaling (GO:1904263)	12	2	.46	+	4.34	7.54E-02
regulation of receptor signaling pathway via STAT (GO:1904892)	6	1	.23	+	4.34	2.10E-01
intraciliary retrograde transport (GO:0035721)	6	1	.23	+	4.34	2.10E-01
extrinsic apoptotic signaling pathway (GO:0097191)	12	2	.46	+	4.34	7.54E-02
mitotic DNA replication initiation (GO:1902975)	6	1	.23	+	4.34	2.10E-01
glucan metabolic process (GO:0044042)	6	1	.23	+	4.34	2.10E-01
purine ribonucleotide biosynthetic process (GO:0009152)	31	5	1.19	+	4.20	6.09E-03
negative regulation of hydrolase activity (GO:0051346)	25	4	.96	+	4.16	1.43E-02
cilium movement (GO:0003341)	19	3	.73	+	4.11	3.46E-02
regulation of intracellular pH (GO:0051453)	26	4	1.00	+	4.00	1.64E-02
regulation of cell size (GO:0008361)	13	2	.50	+	4.00	8.69E-02
mRNA export from nucleus (GO:0006406)	26	4	1.00	+	4.00	1.64E-02
regulation of cell activation (GO:0050865)	13	2	.50	+	4.00	8.69E-02
ribose phosphate biosynthetic process (GO:0046390)	39	6	1.50	+	4.00	3.46E-03
protein targeting to vacuole (GO:0006623)	13	2	.50	+	4.00	8.69E-02
protein localization to synapse (GO:0035418)	13	2	.50	+	4.00	8.69E-02
mitochondrial RNA metabolic process (GO:0000959)	13	2	.50	+	4.00	8.69E-02
regulation of cellular pH (GO:0030641)	27	4	1.04	+	3.86	1.87E-02
negative regulation of proteolysis (GO:0045861)	27	4	1.04	+	3.86	1.87E-02
regulation of pH (GO:0006885)	27	4	1.04	+	3.86	1.87E-02
protein hydroxylation (GO:0018126)	14	2	.54	+	3.72	9.89E-02
protein K63-linked deubiquitination (GO:0070536)	7	1	.27	+	3.72	2.40E-01
replication fork processing (GO:0031297)	14	2	.54	+	3.72	9.89E-02
non-motile cilium assembly (GO:1905515)	14	2	.54	+	3.72	9.89E-02
attachment of spindle microtubules to kinetochore (GO:0008608)	7	1	.27	+	3.72	2.40E-01
autophagosome maturation (GO:0097352)	7	1	.27	+	3.72	2.40E-01
positive regulation of secretion (GO:0051047)	7	1	.27	+	3.72	2.40E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	2	.54	+	3.72	9.89E-02
regulation of potassium ion transmembrane transport (GO:1901379)	14	2	.54	+	3.72	9.89E-02
regulation of body fluid levels (GO:0050878)	14	2	.54	+	3.72	9.89E-02
positive regulation of secretion by cell (GO:1903532)	7	1	.27	+	3.72	2.40E-01
dorsal/ventral pattern formation (GO:0009953)	7	1	.27	+	3.72	2.40E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	1	.27	+	3.72	2.40E-01
cotranslational protein targeting to membrane (GO:0006613)	7	1	.27	+	3.72	2.40E-01
DNA unwinding involved in DNA replication (GO:0006268)	7	1	.27	+	3.72	2.40E-01
behavior (GO:0007610)	7	1	.27	+	3.72	2.40E-01
regulation of hemopoiesis (GO:1903706)	7	1	.27	+	3.72	2.40E-01
protein neddylation (GO:0045116)	7	1	.27	+	3.72	2.40E-01
regulation of Rho protein signal transduction (GO:0035023)	21	3	.81	+	3.72	4.48E-02
positive regulation of cell adhesion (GO:0045785)	21	3	.81	+	3.72	4.48E-02
negative regulation of BMP signaling pathway (GO:0030514)	21	3	.81	+	3.72	4.48E-02
negative regulation of endopeptidase activity (GO:0010951)	22	3	.85	+	3.55	5.05E-02
negative regulation of peptidase activity (GO:0010466)	22	3	.85	+	3.55	5.05E-02
RNA transport (GO:0050658)	37	5	1.42	+	3.52	1.30E-02
nucleic acid transport (GO:0050657)	37	5	1.42	+	3.52	1.30E-02
establishment of RNA localization (GO:0051236)	37	5	1.42	+	3.52	1.30E-02
hippo signaling (GO:0035329)	15	2	.58	+	3.47	1.11E-01
positive regulation of TOR signaling (GO:0032008)	15	2	.58	+	3.47	1.11E-01
positive regulation of mitotic cell cycle (GO:0045931)	15	2	.58	+	3.47	1.11E-01
DNA replication initiation (GO:0006270)	15	2	.58	+	3.47	1.11E-01
neuropeptide signaling pathway (GO:0007218)	31	4	1.19	+	3.36	2.98E-02
RNA localization (GO:0006403)	40	5	1.54	+	3.25	1.78E-02
regulation of potassium ion transport (GO:0043266)	16	2	.61	+	3.25	1.24E-01
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	1	.31	+	3.25	2.69E-01
mRNA modification (GO:0016556)	8	1	.31	+	3.25	2.69E-01
RNA export from nucleus (GO:0006405)	32	4	1.23	+	3.25	3.30E-02
telomere maintenance via telomere lengthening (GO:0010833)	8	1	.31	+	3.25	2.69E-01
cholesterol homeostasis (GO:0042632)	8	1	.31	+	3.25	2.69E-01
cellular response to starvation (GO:0009267)	24	3	.92	+	3.25	6.27E-02
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	8	1	.31	+	3.25	2.69E-01
regulation of growth (GO:0040008)	16	2	.61	+	3.25	1.24E-01
regulation of neuronal synaptic plasticity (GO:0048168)	8	1	.31	+	3.25	2.69E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	57	7	2.19	+	3.20	5.93E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	25	3	.96	+	3.12	6.93E-02
cellular response to nutrient levels (GO:0031669)	25	3	.96	+	3.12	6.93E-02
cellular response to extracellular stimulus (GO:0031668)	25	3	.96	+	3.12	6.93E-02
negative regulation of monoatomic ion transport (GO:0043271)	17	2	.65	+	3.06	1.37E-01
protein localization to cell junction (GO:1902414)	17	2	.65	+	3.06	1.37E-01
intracellular protein transmembrane transport (GO:0065002)	17	2	.65	+	3.06	1.37E-01
cellular response to external stimulus (GO:0071496)	26	3	1.00	+	3.00	7.62E-02
activation of GTPase activity (GO:0090630)	35	4	1.34	+	2.97	4.40E-02
sphingolipid metabolic process (GO:0006665)	53	6	2.04	+	2.95	1.55E-02
polysaccharide biosynthetic process (GO:0000271)	9	1	.35	+	2.89	2.97E-01
cellular response to oxidative stress (GO:0034599)	9	1	.35	+	2.89	2.97E-01
intracellular pH reduction (GO:0051452)	9	1	.35	+	2.89	2.97E-01
positive regulation of translation (GO:0045727)	18	2	.69	+	2.89	1.51E-01
mitochondrial transmembrane transport (GO:1990542)	36	4	1.38	+	2.89	4.81E-02
protein import into mitochondrial matrix (GO:0030150)	9	1	.35	+	2.89	2.97E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	2	.69	+	2.89	1.51E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	18	2	.69	+	2.89	1.51E-01
wound healing (GO:0042060)	18	2	.69	+	2.89	1.51E-01
regulation of neuron differentiation (GO:0045664)	9	1	.35	+	2.89	2.97E-01
protein transmembrane transport (GO:0071806)	27	3	1.04	+	2.89	8.34E-02
metaphase chromosome alignment (GO:0051310)	9	1	.35	+	2.89	2.97E-01
cell cycle G1/S phase transition (GO:0044843)	18	2	.69	+	2.89	1.51E-01
aminoglycan biosynthetic process (GO:0006023)	18	2	.69	+	2.89	1.51E-01
double-strand break repair via break-induced replication (GO:0000727)	9	1	.35	+	2.89	2.97E-01
G1/S transition of mitotic cell cycle (GO:0000082)	18	2	.69	+	2.89	1.51E-01
vacuolar acidification (GO:0007035)	9	1	.35	+	2.89	2.97E-01
regulation of TORC1 signaling (GO:1903432)	18	2	.69	+	2.89	1.51E-01
cytoplasmic translational initiation (GO:0002183)	9	1	.35	+	2.89	2.97E-01
mitotic DNA replication (GO:1902969)	9	1	.35	+	2.89	2.97E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	18	2	.69	+	2.89	1.51E-01
regulation of BMP signaling pathway (GO:0030510)	27	3	1.04	+	2.89	8.34E-02
purine nucleotide biosynthetic process (GO:0006164)	46	5	1.77	+	2.83	3.08E-02
sodium ion transmembrane transport (GO:0035725)	46	5	1.77	+	2.83	3.08E-02
negative regulation of phosphorus metabolic process (GO:0010563)	37	4	1.42	+	2.81	5.23E-02
negative regulation of phosphate metabolic process (GO:0045936)	37	4	1.42	+	2.81	5.23E-02
ceramide metabolic process (GO:0006672)	37	4	1.42	+	2.81	5.23E-02
chloride transport (GO:0006821)	37	4	1.42	+	2.81	5.23E-02
regulation of TOR signaling (GO:0032006)	28	3	1.08	+	2.79	9.09E-02
nucleobase metabolic process (GO:0009112)	19	2	.73	+	2.74	1.64E-01
tRNA methylation (GO:0030488)	19	2	.73	+	2.74	1.64E-01
nucleobase-containing compound transport (GO:0015931)	57	6	2.19	+	2.74	2.16E-02
amino acid transport (GO:0006865)	57	6	2.19	+	2.74	2.16E-02
nucleotide biosynthetic process (GO:0009165)	58	6	2.23	+	2.69	2.33E-02
potassium ion import across plasma membrane (GO:1990573)	29	3	1.11	+	2.69	9.86E-02
regulation of RNA splicing (GO:0043484)	58	6	2.23	+	2.69	2.33E-02
apoptotic signaling pathway (GO:0097190)	29	3	1.11	+	2.69	9.86E-02
nucleoside phosphate biosynthetic process (GO:1901293)	59	6	2.27	+	2.65	2.52E-02
neuromuscular synaptic transmission (GO:0007274)	10	1	.38	+	2.60	3.24E-01
negative regulation of cell migration (GO:0030336)	10	1	.38	+	2.60	3.24E-01
NLS-bearing protein import into nucleus (GO:0006607)	10	1	.38	+	2.60	3.24E-01
negative regulation of cell motility (GO:2000146)	10	1	.38	+	2.60	3.24E-01
endoplasmic reticulum tubular network organization (GO:0071786)	10	1	.38	+	2.60	3.24E-01
regulation of lymphocyte activation (GO:0051249)	10	1	.38	+	2.60	3.24E-01
negative regulation of locomotion (GO:0040013)	10	1	.38	+	2.60	3.24E-01
cortical cytoskeleton organization (GO:0030865)	20	2	.77	+	2.60	1.78E-01
response to radiation (GO:0009314)	30	3	1.15	+	2.60	1.07E-01
protein targeting to membrane (GO:0006612)	30	3	1.15	+	2.60	1.07E-01
negative regulation of catalytic activity (GO:0043086)	60	6	2.31	+	2.60	2.71E-02
purine-containing compound biosynthetic process (GO:0072522)	51	5	1.96	+	2.55	4.53E-02
sodium ion transport (GO:0006814)	51	5	1.96	+	2.55	4.53E-02
retrograde transport, endosome to Golgi (GO:0042147)	31	3	1.19	+	2.52	1.15E-01
response to starvation (GO:0042594)	31	3	1.19	+	2.52	1.15E-01
membrane lipid metabolic process (GO:0006643)	73	7	2.80	+	2.50	2.17E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	2	.81	+	2.48	1.92E-01
fatty acid beta-oxidation (GO:0006635)	21	2	.81	+	2.48	1.92E-01
tRNA processing (GO:0008033)	53	5	2.04	+	2.46	5.20E-02
angiogenesis (GO:0001525)	32	3	1.23	+	2.44	1.23E-01
mitochondrial transport (GO:0006839)	43	4	1.65	+	2.42	8.20E-02
protein targeting (GO:0006605)	65	6	2.50	+	2.40	3.82E-02
DNA-templated DNA replication (GO:0006261)	65	6	2.50	+	2.40	3.82E-02
negative regulation of protein catabolic process (GO:0042177)	11	1	.42	+	2.37	3.50E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	3	1.27	+	2.37	1.32E-01
negative regulation of protein phosphorylation (GO:0001933)	33	3	1.27	+	2.37	1.32E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	11	1	.42	+	2.37	3.50E-01
sphingolipid catabolic process (GO:0030149)	11	1	.42	+	2.37	3.50E-01
sensory perception of mechanical stimulus (GO:0050954)	11	1	.42	+	2.37	3.50E-01
mRNA catabolic process (GO:0006402)	44	4	1.69	+	2.37	8.76E-02
monocarboxylic acid catabolic process (GO:0072329)	33	3	1.27	+	2.37	1.32E-01
regulation of leukocyte activation (GO:0002694)	11	1	.42	+	2.37	3.50E-01
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	1	.42	+	2.37	3.50E-01
regulation of cell growth (GO:0001558)	11	1	.42	+	2.37	3.50E-01
negative regulation of phosphorylation (GO:0042326)	33	3	1.27	+	2.37	1.32E-01
chloride transmembrane transport (GO:1902476)	33	3	1.27	+	2.37	1.32E-01
sodium ion homeostasis (GO:0055078)	11	1	.42	+	2.37	3.50E-01
glycosphingolipid biosynthetic process (GO:0006688)	11	1	.42	+	2.37	3.50E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	22	2	.85	+	2.37	2.06E-01
negative regulation of multicellular organismal process (GO:0051241)	33	3	1.27	+	2.37	1.32E-01
endoplasmic reticulum organization (GO:0007029)	22	2	.85	+	2.37	2.06E-01
base-excision repair (GO:0006284)	11	1	.42	+	2.37	3.50E-01
sensory perception of sound (GO:0007605)	11	1	.42	+	2.37	3.50E-01
monoatomic anion transport (GO:0006820)	44	4	1.69	+	2.37	8.76E-02
cilium organization (GO:0044782)	124	11	4.76	+	2.31	8.17E-03
positive regulation of mRNA metabolic process (GO:1903313)	34	3	1.31	+	2.30	1.41E-01
G protein-coupled receptor signaling pathway (GO:0007186)	238	21	9.14	+	2.30	4.20E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	9	3.96	+	2.27	1.75E-02
lipid oxidation (GO:0034440)	23	2	.88	+	2.26	2.21E-01
regulation of cytokine production (GO:0001817)	23	2	.88	+	2.26	2.21E-01
cellular response to organic cyclic compound (GO:0071407)	23	2	.88	+	2.26	2.21E-01
protein localization to endoplasmic reticulum (GO:0070972)	23	2	.88	+	2.26	2.21E-01
monoatomic ion homeostasis (GO:0050801)	128	11	4.92	+	2.24	1.67E-02
cytosolic transport (GO:0016482)	35	3	1.34	+	2.23	1.50E-01
cellular homeostasis (GO:0019725)	140	12	5.38	+	2.23	1.17E-02
response to extracellular stimulus (GO:0009991)	35	3	1.34	+	2.23	1.50E-01
response to nutrient levels (GO:0031667)	35	3	1.34	+	2.23	1.50E-01
L-amino acid metabolic process (GO:0170033)	47	4	1.81	+	2.22	1.05E-01
plasma membrane bounded cell projection assembly (GO:0120031)	118	10	4.53	+	2.21	2.50E-02
DNA replication (GO:0006260)	71	6	2.73	+	2.20	5.48E-02
negative regulation of molecular function (GO:0044092)	83	7	3.19	+	2.19	4.01E-02
ceramide biosynthetic process (GO:0046513)	24	2	.92	+	2.17	2.35E-01
positive regulation of GTPase activity (GO:0043547)	48	4	1.84	+	2.17	1.12E-01
DNA geometric change (GO:0032392)	12	1	.46	+	2.17	3.75E-01
regulation of ERBB signaling pathway (GO:1901184)	12	1	.46	+	2.17	3.75E-01
response to light stimulus (GO:0009416)	24	2	.92	+	2.17	2.35E-01
hormone-mediated signaling pathway (GO:0009755)	24	2	.92	+	2.17	2.35E-01
RNA catabolic process (GO:0006401)	48	4	1.84	+	2.17	1.12E-01
establishment of protein localization to vacuole (GO:0072666)	24	2	.92	+	2.17	2.35E-01
aspartate family amino acid metabolic process (GO:0009066)	12	1	.46	+	2.17	3.75E-01
positive regulation of transport (GO:0051050)	36	3	1.38	+	2.17	1.59E-01
detection of stimulus (GO:0051606)	24	2	.92	+	2.17	2.35E-01
response to wounding (GO:0009611)	24	2	.92	+	2.17	2.35E-01
glycolipid metabolic process (GO:0006664)	36	3	1.38	+	2.17	1.59E-01
DNA duplex unwinding (GO:0032508)	12	1	.46	+	2.17	3.75E-01
chaperone-mediated protein folding (GO:0061077)	12	1	.46	+	2.17	3.75E-01
blood vessel morphogenesis (GO:0048514)	36	3	1.38	+	2.17	1.59E-01
pyrimidine-containing compound metabolic process (GO:0072527)	24	2	.92	+	2.17	2.35E-01
cell cycle DNA replication (GO:0044786)	12	1	.46	+	2.17	3.75E-01
nuclear DNA replication (GO:0033260)	12	1	.46	+	2.17	3.75E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	12	1	.46	+	2.17	3.75E-01
dicarboxylic acid metabolic process (GO:0043648)	12	1	.46	+	2.17	3.75E-01
DNA strand elongation involved in DNA replication (GO:0006271)	12	1	.46	+	2.17	3.75E-01
regulation of synaptic plasticity (GO:0048167)	24	2	.92	+	2.17	2.35E-01
pyrimidine nucleotide metabolic process (GO:0006220)	12	1	.46	+	2.17	3.75E-01
positive regulation of transporter activity (GO:0032411)	12	1	.46	+	2.17	3.75E-01
receptor internalization (GO:0031623)	12	1	.46	+	2.17	3.75E-01
cilium assembly (GO:0060271)	109	9	4.19	+	2.15	3.80E-02
ribonucleotide metabolic process (GO:0009259)	73	6	2.80	+	2.14	6.12E-02
organophosphate biosynthetic process (GO:0090407)	147	12	5.65	+	2.12	1.41E-02
nuclear export (GO:0051168)	49	4	1.88	+	2.12	1.18E-01
inorganic anion transport (GO:0015698)	49	4	1.88	+	2.12	1.18E-01
tRNA metabolic process (GO:0006399)	86	7	3.30	+	2.12	4.71E-02
blood vessel development (GO:0001568)	37	3	1.42	+	2.11	1.69E-01
liposaccharide metabolic process (GO:1903509)	37	3	1.42	+	2.11	1.69E-01
positive regulation of cell cycle process (GO:0090068)	25	2	.96	+	2.08	2.49E-01
mitochondrial gene expression (GO:0140053)	25	2	.96	+	2.08	2.49E-01
aminoglycan metabolic process (GO:0006022)	25	2	.96	+	2.08	2.49E-01
lipid homeostasis (GO:0055088)	25	2	.96	+	2.08	2.49E-01
monoatomic cation homeostasis (GO:0055080)	125	10	4.80	+	2.08	2.94E-02
negative regulation of protein metabolic process (GO:0051248)	88	7	3.38	+	2.07	8.36E-02
vasculature development (GO:0001944)	38	3	1.46	+	2.05	1.78E-01
tube morphogenesis (GO:0035239)	38	3	1.46	+	2.05	1.78E-01
transport along microtubule (GO:0010970)	51	4	1.96	+	2.04	1.32E-01
cell projection assembly (GO:0030031)	128	10	4.92	+	2.03	3.20E-02
positive regulation of cell cycle (GO:0045787)	26	2	1.00	+	2.00	2.64E-01
chromosome localization (GO:0050000)	13	1	.50	+	2.00	3.99E-01
sphingolipid biosynthetic process (GO:0030148)	39	3	1.50	+	2.00	1.88E-01
tRNA modification (GO:0006400)	39	3	1.50	+	2.00	1.88E-01
mitotic spindle assembly (GO:0090307)	13	1	.50	+	2.00	3.99E-01
protein-containing complex localization (GO:0031503)	52	4	2.00	+	2.00	1.39E-01
mRNA destabilization (GO:0061157)	26	2	1.00	+	2.00	2.64E-01
morphogenesis of an epithelium (GO:0002009)	13	1	.50	+	2.00	3.99E-01
protein localization to vacuole (GO:0072665)	26	2	1.00	+	2.00	2.64E-01
polysaccharide metabolic process (GO:0005976)	13	1	.50	+	2.00	3.99E-01
regulation of mRNA stability (GO:0043488)	52	4	2.00	+	2.00	1.39E-01
positive regulation of protein polymerization (GO:0032273)	13	1	.50	+	2.00	3.99E-01
substrate adhesion-dependent cell spreading (GO:0034446)	13	1	.50	+	2.00	3.99E-01
establishment of chromosome localization (GO:0051303)	13	1	.50	+	2.00	3.99E-01
chemical homeostasis (GO:0048878)	169	13	6.49	+	2.00	1.47E-02
monoatomic anion transmembrane transport (GO:0098656)	39	3	1.50	+	2.00	1.88E-01
regulation of exocytosis (GO:0017157)	26	2	1.00	+	2.00	2.64E-01
RNA destabilization (GO:0050779)	26	2	1.00	+	2.00	2.64E-01
cortical actin cytoskeleton organization (GO:0030866)	13	1	.50	+	2.00	3.99E-01
homeostatic process (GO:0042592)	196	15	7.53	+	1.99	1.25E-02
regulation of hydrolase activity (GO:0051336)	118	9	4.53	+	1.99	4.75E-02
ribose phosphate metabolic process (GO:0019693)	79	6	3.04	+	1.98	1.28E-01
purine ribonucleotide metabolic process (GO:0009150)	66	5	2.54	+	1.97	1.09E-01
import across plasma membrane (GO:0098739)	66	5	2.54	+	1.97	1.09E-01
regulation of RNA stability (GO:0043487)	53	4	2.04	+	1.96	1.46E-01
intracellular monoatomic cation homeostasis (GO:0030003)	106	8	4.07	+	1.96	6.66E-02
microtubule-based transport (GO:0099111)	53	4	2.04	+	1.96	1.46E-01
establishment of protein localization to membrane (GO:0090150)	53	4	2.04	+	1.96	1.46E-01
intracellular calcium ion homeostasis (GO:0006874)	53	4	2.04	+	1.96	1.46E-01
intracellular monoatomic ion homeostasis (GO:0006873)	106	8	4.07	+	1.96	6.66E-02
nitrogen compound transport (GO:0071705)	345	26	13.26	+	1.96	9.47E-04
protein O-linked glycosylation (GO:0006493)	40	3	1.54	+	1.95	1.98E-01
regulation of cell adhesion (GO:0030155)	40	3	1.54	+	1.95	1.98E-01
tube development (GO:0035295)	40	3	1.54	+	1.95	1.98E-01
RNA methylation (GO:0001510)	40	3	1.54	+	1.95	1.98E-01
inorganic anion transmembrane transport (GO:0098661)	40	3	1.54	+	1.95	1.98E-01
response to organic cyclic compound (GO:0014070)	27	2	1.04	+	1.93	2.78E-01
monocarboxylic acid biosynthetic process (GO:0072330)	27	2	1.04	+	1.93	2.78E-01
macromolecule methylation (GO:0043414)	54	4	2.07	+	1.93	1.53E-01
methylation (GO:0032259)	54	4	2.07	+	1.93	1.53E-01
steroid metabolic process (GO:0008202)	27	2	1.04	+	1.93	2.78E-01
fatty acid biosynthetic process (GO:0006633)	27	2	1.04	+	1.93	2.78E-01
regulation of monoatomic ion transport (GO:0043269)	68	5	2.61	+	1.91	1.89E-01
proteasomal protein catabolic process (GO:0010498)	136	10	5.23	+	1.91	4.14E-02
