PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of coagulation (GO:0050818)	7	1	.09	+	10.60	9.06E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	1	.09	+	10.60	9.06E-02
cotranslational protein targeting to membrane (GO:0006613)	7	1	.09	+	10.60	9.06E-02
vesicle targeting (GO:0006903)	7	1	.09	+	10.60	9.06E-02
cardiac muscle tissue development (GO:0048738)	14	2	.19	+	10.60	1.48E-02
striated muscle tissue development (GO:0014706)	14	2	.19	+	10.60	1.48E-02
sarcomere organization (GO:0045214)	15	2	.20	+	9.89	1.69E-02
polysaccharide biosynthetic process (GO:0000271)	8	1	.11	+	9.27	1.03E-01
spliceosomal complex assembly (GO:0000245)	16	2	.22	+	9.27	1.91E-02
purine nucleobase metabolic process (GO:0006144)	8	1	.11	+	9.27	1.03E-01
ribosomal subunit export from nucleus (GO:0000054)	8	1	.11	+	9.27	1.03E-01
negative regulation of inflammatory response (GO:0050728)	8	1	.11	+	9.27	1.03E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	17	2	.23	+	8.73	2.15E-02
centrosome cycle (GO:0007098)	17	2	.23	+	8.73	2.15E-02
centriole assembly (GO:0098534)	9	1	.12	+	8.24	1.15E-01
hemostasis (GO:0007599)	9	1	.12	+	8.24	1.15E-01
blood coagulation (GO:0007596)	9	1	.12	+	8.24	1.15E-01
glutamate receptor signaling pathway (GO:0007215)	9	1	.12	+	8.24	1.15E-01
regulation of neuron differentiation (GO:0045664)	9	1	.12	+	8.24	1.15E-01
myeloid cell differentiation (GO:0030099)	9	1	.12	+	8.24	1.15E-01
DNA modification (GO:0006304)	9	1	.12	+	8.24	1.15E-01
coagulation (GO:0050817)	9	1	.12	+	8.24	1.15E-01
centriole replication (GO:0007099)	9	1	.12	+	8.24	1.15E-01
COPII-coated vesicle budding (GO:0090114)	9	1	.12	+	8.24	1.15E-01
regulation of inflammatory response (GO:0050727)	9	1	.12	+	8.24	1.15E-01
muscle organ development (GO:0007517)	19	2	.26	+	7.81	2.66E-02
regulation of MAP kinase activity (GO:0043405)	19	2	.26	+	7.81	2.66E-02
positive regulation of synaptic transmission (GO:0050806)	19	2	.26	+	7.81	2.66E-02
tissue morphogenesis (GO:0048729)	20	2	.27	+	7.42	2.92E-02
regulation of actin filament bundle assembly (GO:0032231)	10	1	.13	+	7.42	1.27E-01
NLS-bearing protein import into nucleus (GO:0006607)	10	1	.13	+	7.42	1.27E-01
vesicle budding from membrane (GO:0006900)	20	2	.27	+	7.42	2.92E-02
response to oxidative stress (GO:0006979)	21	2	.28	+	7.07	3.20E-02
microtubule organizing center organization (GO:0031023)	21	2	.28	+	7.07	3.20E-02
negative regulation of intracellular signal transduction (GO:1902532)	54	5	.73	+	6.87	7.72E-04
activation of GTPase activity (GO:0090630)	33	3	.44	+	6.75	9.73E-03
response to light stimulus (GO:0009416)	22	2	.30	+	6.75	3.49E-02
protein targeting to ER (GO:0045047)	11	1	.15	+	6.75	1.39E-01
mitophagy (GO:0000423)	11	1	.15	+	6.75	1.39E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	11	1	.15	+	6.75	1.39E-01
regulation of apoptotic signaling pathway (GO:2001233)	22	2	.30	+	6.75	3.49E-02
negative regulation of defense response (GO:0031348)	11	1	.15	+	6.75	1.39E-01
positive regulation of protein kinase activity (GO:0045860)	23	2	.31	+	6.45	3.79E-02
cellular component assembly involved in morphogenesis (GO:0010927)	24	2	.32	+	6.18	4.10E-02
polysaccharide metabolic process (GO:0005976)	12	1	.16	+	6.18	1.50E-01
striated muscle cell development (GO:0055002)	24	2	.32	+	6.18	4.10E-02
regulation of axonogenesis (GO:0050770)	12	1	.16	+	6.18	1.50E-01
myofibril assembly (GO:0030239)	24	2	.32	+	6.18	4.10E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	25	2	.34	+	5.94	4.42E-02
glutathione metabolic process (GO:0006749)	13	1	.18	+	5.71	1.62E-01
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	1	.18	+	5.71	1.62E-01
regulation of body fluid levels (GO:0050878)	13	1	.18	+	5.71	1.62E-01
nucleus organization (GO:0006997)	13	1	.18	+	5.71	1.62E-01
calcium-ion regulated exocytosis (GO:0017156)	13	1	.18	+	5.71	1.62E-01
maturation of SSU-rRNA (GO:0030490)	27	2	.36	+	5.50	5.08E-02
translational initiation (GO:0006413)	27	2	.36	+	5.50	5.08E-02
response to radiation (GO:0009314)	27	2	.36	+	5.50	5.08E-02
calcium-mediated signaling (GO:0019722)	28	2	.38	+	5.30	5.43E-02
lytic vacuole organization (GO:0080171)	14	1	.19	+	5.30	1.73E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	14	1	.19	+	5.30	1.73E-01
lysosome organization (GO:0007040)	14	1	.19	+	5.30	1.73E-01
muscle tissue development (GO:0060537)	29	2	.39	+	5.12	5.78E-02
protein-DNA complex assembly (GO:0065004)	29	2	.39	+	5.12	5.78E-02
positive regulation of GTPase activity (GO:0043547)	45	3	.61	+	4.95	2.25E-02
hippo signaling (GO:0035329)	15	1	.20	+	4.95	1.84E-01
regulation of mRNA processing (GO:0050684)	30	2	.40	+	4.95	6.14E-02
positive regulation of apoptotic process (GO:0043065)	30	2	.40	+	4.95	6.14E-02
negative regulation of response to external stimulus (GO:0032102)	15	1	.20	+	4.95	1.84E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	46	3	.62	+	4.84	2.39E-02
heart development (GO:0007507)	46	3	.62	+	4.84	2.39E-02
positive regulation of programmed cell death (GO:0043068)	31	2	.42	+	4.79	6.51E-02
striated muscle cell differentiation (GO:0051146)	32	2	.43	+	4.64	6.88E-02
nucleobase metabolic process (GO:0009112)	16	1	.22	+	4.64	1.95E-01
microautophagy (GO:0016237)	16	1	.22	+	4.64	1.95E-01
piecemeal microautophagy of the nucleus (GO:0034727)	16	1	.22	+	4.64	1.95E-01
embryonic morphogenesis (GO:0048598)	32	2	.43	+	4.64	6.88E-02
muscle cell development (GO:0055001)	32	2	.43	+	4.64	6.88E-02
regulation of RNA splicing (GO:0043484)	50	3	.67	+	4.45	2.96E-02
wound healing (GO:0042060)	17	1	.23	+	4.36	2.06E-01
synaptic transmission, glutamatergic (GO:0035249)	17	1	.23	+	4.36	2.06E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	1	.23	+	4.36	2.06E-01
snRNA 3'-end processing (GO:0034472)	17	1	.23	+	4.36	2.06E-01
synaptic vesicle exocytosis (GO:0016079)	17	1	.23	+	4.36	2.06E-01
carbohydrate biosynthetic process (GO:0016051)	17	1	.23	+	4.36	2.06E-01
non-membrane-bounded organelle assembly (GO:0140694)	85	5	1.15	+	4.36	5.74E-03
regulation of endocytosis (GO:0030100)	18	1	.24	+	4.12	2.17E-01
microtubule polymerization (GO:0046785)	18	1	.24	+	4.12	2.17E-01
regulation of MAPK cascade (GO:0043408)	110	6	1.48	+	4.05	3.67E-03
muscle structure development (GO:0061061)	55	3	.74	+	4.05	3.78E-02
multivesicular body sorting pathway (GO:0071985)	19	1	.26	+	3.91	2.27E-01
snRNA processing (GO:0016180)	19	1	.26	+	3.91	2.27E-01
muscle cell differentiation (GO:0042692)	38	2	.51	+	3.91	9.26E-02
regulation of trans-synaptic signaling (GO:0099177)	76	4	1.02	+	3.91	1.92E-02
endosome transport via multivesicular body sorting pathway (GO:0032509)	19	1	.26	+	3.91	2.27E-01
modulation of chemical synaptic transmission (GO:0050804)	76	4	1.02	+	3.91	1.92E-02
positive regulation of organelle organization (GO:0010638)	39	2	.53	+	3.81	9.68E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	1	.27	+	3.71	2.38E-01
plasma membrane organization (GO:0007009)	20	1	.27	+	3.71	2.38E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	81	4	1.09	+	3.66	2.37E-02
positive regulation of protein phosphorylation (GO:0001934)	62	3	.84	+	3.59	5.10E-02
regulation of intracellular pH (GO:0051453)	21	1	.28	+	3.53	2.48E-01
Notch signaling pathway (GO:0007219)	21	1	.28	+	3.53	2.48E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	21	1	.28	+	3.53	2.48E-01
ribosomal small subunit biogenesis (GO:0042274)	42	2	.57	+	3.53	1.10E-01
positive regulation of hydrolase activity (GO:0051345)	63	3	.85	+	3.53	5.30E-02
regulation of GTPase activity (GO:0043087)	63	3	.85	+	3.53	5.30E-02
circulatory system development (GO:0072359)	85	4	1.15	+	3.49	2.77E-02
sulfur compound metabolic process (GO:0006790)	65	3	.88	+	3.42	5.72E-02
late endosome to vacuole transport (GO:0045324)	22	1	.30	+	3.37	2.58E-01
hemopoiesis (GO:0030097)	22	1	.30	+	3.37	2.58E-01
regulation of cellular pH (GO:0030641)	22	1	.30	+	3.37	2.58E-01
protein localization to endoplasmic reticulum (GO:0070972)	22	1	.30	+	3.37	2.58E-01
regulation of pH (GO:0006885)	22	1	.30	+	3.37	2.58E-01
positive regulation of protein modification process (GO:0031401)	67	3	.90	+	3.32	6.15E-02
actomyosin structure organization (GO:0031032)	45	2	.61	+	3.30	1.23E-01
positive regulation of Wnt signaling pathway (GO:0030177)	23	1	.31	+	3.23	2.68E-01
proteoglycan biosynthetic process (GO:0030166)	23	1	.31	+	3.23	2.68E-01
response to wounding (GO:0009611)	23	1	.31	+	3.23	2.68E-01
cell activation (GO:0001775)	23	1	.31	+	3.23	2.68E-01
regulation of response to external stimulus (GO:0032101)	46	2	.62	+	3.23	1.27E-01
negative regulation of response to stimulus (GO:0048585)	166	7	2.24	+	3.13	7.16E-03
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	24	1	.32	+	3.09	2.78E-01
protein dephosphorylation (GO:0006470)	48	2	.65	+	3.09	1.36E-01
regulated exocytosis (GO:0045055)	24	1	.32	+	3.09	2.78E-01
snRNA metabolic process (GO:0016073)	24	1	.32	+	3.09	2.78E-01
mitotic spindle organization (GO:0007052)	24	1	.32	+	3.09	2.78E-01
negative regulation of signal transduction (GO:0009968)	145	6	1.95	+	3.07	1.36E-02
regulation of protein kinase activity (GO:0045859)	74	3	1.00	+	3.01	7.79E-02
synaptic vesicle endocytosis (GO:0048488)	25	1	.34	+	2.97	2.88E-01
negative regulation of cell communication (GO:0010648)	151	6	2.04	+	2.95	1.63E-02
negative regulation of signaling (GO:0023057)	151	6	2.04	+	2.95	1.63E-02
synaptic vesicle recycling (GO:0036465)	26	1	.35	+	2.85	2.98E-01
protein targeting to membrane (GO:0006612)	26	1	.35	+	2.85	2.98E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	26	1	.35	+	2.85	2.98E-01
microtubule polymerization or depolymerization (GO:0031109)	27	1	.36	+	2.75	3.07E-01
anterior/posterior pattern specification (GO:0009952)	27	1	.36	+	2.75	3.07E-01
cytokinesis (GO:0000910)	27	1	.36	+	2.75	3.07E-01
positive regulation of catalytic activity (GO:0043085)	139	5	1.87	+	2.67	3.97E-02
regulation of apoptotic process (GO:0042981)	84	3	1.13	+	2.65	1.04E-01
negative regulation of transport (GO:0051051)	28	1	.38	+	2.65	3.16E-01
proteoglycan metabolic process (GO:0006029)	28	1	.38	+	2.65	3.16E-01
protein polymerization (GO:0051258)	28	1	.38	+	2.65	3.16E-01
embryo development (GO:0009790)	57	2	.77	+	2.60	1.79E-01
regulation of vesicle-mediated transport (GO:0060627)	57	2	.77	+	2.60	1.79E-01
vacuole organization (GO:0007033)	57	2	.77	+	2.60	1.79E-01
regulation of protein phosphorylation (GO:0001932)	115	4	1.55	+	2.58	6.97E-02
regulation of intracellular signal transduction (GO:1902531)	230	8	3.10	+	2.58	1.26E-02
neurotransmitter secretion (GO:0007269)	29	1	.39	+	2.56	3.26E-01
regulation of chromosome organization (GO:0033044)	29	1	.39	+	2.56	3.26E-01
transition metal ion transport (GO:0000041)	29	1	.39	+	2.56	3.26E-01
dephosphorylation (GO:0016311)	87	3	1.17	+	2.56	1.13E-01
regulation of neurogenesis (GO:0050767)	29	1	.39	+	2.56	3.26E-01
signal release from synapse (GO:0099643)	29	1	.39	+	2.56	3.26E-01
regulation of programmed cell death (GO:0043067)	88	3	1.19	+	2.53	1.16E-01
protein-RNA complex assembly (GO:0022618)	59	2	.80	+	2.52	1.89E-01
chemical synaptic transmission (GO:0007268)	121	4	1.63	+	2.45	8.07E-02
anterograde trans-synaptic signaling (GO:0098916)	121	4	1.63	+	2.45	8.07E-02
trans-synaptic signaling (GO:0099537)	122	4	1.64	+	2.43	8.26E-02
mitotic cell cycle phase transition (GO:0044772)	31	1	.42	+	2.39	3.44E-01
cell cycle phase transition (GO:0044770)	31	1	.42	+	2.39	3.44E-01
regulation of defense response (GO:0031347)	31	1	.42	+	2.39	3.44E-01
protein-RNA complex organization (GO:0071826)	63	2	.85	+	2.36	2.08E-01
positive regulation of kinase activity (GO:0033674)	63	2	.85	+	2.36	2.08E-01
tissue development (GO:0009888)	126	4	1.70	+	2.36	9.04E-02
ribonucleoprotein complex biogenesis (GO:0022613)	158	5	2.13	+	2.35	6.24E-02
regulation of DNA metabolic process (GO:0051052)	32	1	.43	+	2.32	3.53E-01
positive regulation of transferase activity (GO:0051347)	64	2	.86	+	2.32	2.13E-01
positive regulation of MAPK cascade (GO:0043410)	64	2	.86	+	2.32	2.13E-01
glycosylation (GO:0070085)	96	3	1.29	+	2.32	1.40E-01
neurotransmitter transport (GO:0006836)	32	1	.43	+	2.32	3.53E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	97	3	1.31	+	2.29	1.43E-01
synaptic signaling (GO:0099536)	131	4	1.77	+	2.27	1.01E-01
protein-containing complex assembly (GO:0065003)	164	5	2.21	+	2.26	7.08E-02
import into nucleus (GO:0051170)	33	1	.44	+	2.25	3.61E-01
protein N-linked glycosylation (GO:0006487)	33	1	.44	+	2.25	3.61E-01
establishment of vesicle localization (GO:0051650)	33	1	.44	+	2.25	3.61E-01
regulation of response to stress (GO:0080134)	66	2	.89	+	2.25	2.23E-01
protein import into nucleus (GO:0006606)	33	1	.44	+	2.25	3.61E-01
organelle assembly (GO:0070925)	231	7	3.11	+	2.25	3.67E-02
regulation of protein modification process (GO:0031399)	133	4	1.79	+	2.23	1.05E-01
positive regulation of molecular function (GO:0044093)	167	5	2.25	+	2.22	7.52E-02
signal release (GO:0023061)	34	1	.46	+	2.18	3.70E-01
autophagy of mitochondrion (GO:0000422)	34	1	.46	+	2.18	3.70E-01
cell division (GO:0051301)	34	1	.46	+	2.18	3.70E-01
vesicle localization (GO:0051648)	34	1	.46	+	2.18	3.70E-01
response to abiotic stimulus (GO:0009628)	68	2	.92	+	2.18	2.33E-01
positive regulation of phosphorylation (GO:0042327)	103	3	1.39	+	2.16	1.62E-01
nuclear transport (GO:0051169)	69	2	.93	+	2.15	2.38E-01
nucleocytoplasmic transport (GO:0006913)	69	2	.93	+	2.15	2.38E-01
cell cycle process (GO:0022402)	209	6	2.82	+	2.13	6.34E-02
regulation of cell communication (GO:0010646)	490	14	6.60	+	2.12	7.43E-03
regulation of neuron projection development (GO:0010975)	35	1	.47	+	2.12	3.79E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	35	1	.47	+	2.12	3.79E-01
regulation of signaling (GO:0023051)	494	14	6.66	+	2.10	7.83E-03
positive regulation of cell communication (GO:0010647)	177	5	2.39	+	2.10	9.10E-02
positive regulation of signaling (GO:0023056)	177	5	2.39	+	2.10	9.10E-02
positive regulation of phosphorus metabolic process (GO:0010562)	107	3	1.44	+	2.08	1.75E-01
positive regulation of phosphate metabolic process (GO:0045937)	107	3	1.44	+	2.08	1.75E-01
regulation of cell adhesion (GO:0030155)	36	1	.49	+	2.06	3.87E-01
regionalization (GO:0003002)	36	1	.49	+	2.06	3.87E-01
spindle organization (GO:0007051)	36	1	.49	+	2.06	3.87E-01
endocytosis (GO:0006897)	108	3	1.46	+	2.06	1.78E-01
regulation of hydrolase activity (GO:0051336)	109	3	1.47	+	2.04	1.82E-01
mitotic cell cycle (GO:0000278)	148	4	1.99	+	2.01	1.39E-01
chromosome segregation (GO:0007059)	74	2	1.00	+	2.01	2.63E-01
peptide metabolic process (GO:0006518)	149	4	2.01	+	1.99	1.42E-01
regulation of mRNA metabolic process (GO:1903311)	75	2	1.01	+	1.98	2.68E-01
protein localization to nucleus (GO:0034504)	38	1	.51	+	1.95	4.03E-01
regulation of kinase activity (GO:0043549)	114	3	1.54	+	1.95	1.99E-01
cell cycle (GO:0007049)	230	6	3.10	+	1.94	1.33E-01
regulation of phosphorylation (GO:0042325)	156	4	2.10	+	1.90	1.59E-01
RNA 3'-end processing (GO:0031123)	39	1	.53	+	1.90	4.11E-01
ribosomal large subunit biogenesis (GO:0042273)	39	1	.53	+	1.90	4.11E-01
animal organ morphogenesis (GO:0009887)	78	2	1.05	+	1.90	2.83E-01
regulation of transferase activity (GO:0051338)	117	3	1.58	+	1.90	2.09E-01
ribosome biogenesis (GO:0042254)	117	3	1.58	+	1.90	2.09E-01
positive regulation of cellular component organization (GO:0051130)	79	2	1.06	+	1.88	2.88E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	40	1	.54	+	1.85	4.19E-01
rRNA processing (GO:0006364)	80	2	1.08	+	1.85	2.93E-01
regulation of canonical Wnt signaling pathway (GO:0060828)	40	1	.54	+	1.85	4.19E-01
regulation of catalytic activity (GO:0050790)	242	6	3.26	+	1.84	1.45E-01
positive regulation of protein metabolic process (GO:0051247)	123	3	1.66	+	1.81	2.31E-01
establishment of organelle localization (GO:0051656)	82	2	1.11	+	1.81	3.03E-01
regulation of nervous system development (GO:0051960)	41	1	.55	+	1.81	4.27E-01
autophagosome assembly (GO:0000045)	41	1	.55	+	1.81	4.27E-01
mRNA splicing, via spliceosome (GO:0000398)	82	2	1.11	+	1.81	3.03E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	82	2	1.11	+	1.81	3.03E-01
RNA splicing, via transesterification reactions (GO:0000375)	82	2	1.11	+	1.81	3.03E-01
vesicle organization (GO:0016050)	82	2	1.11	+	1.81	3.03E-01
positive regulation of cellular component biogenesis (GO:0044089)	41	1	.55	+	1.81	4.27E-01
regulation of response to stimulus (GO:0048583)	498	12	6.71	+	1.79	4.46E-02
regulation of cell differentiation (GO:0045595)	83	2	1.12	+	1.79	3.08E-01
potassium ion transmembrane transport (GO:0071805)	84	2	1.13	+	1.77	3.13E-01
cellular modified amino acid metabolic process (GO:0006575)	42	1	.57	+	1.77	4.35E-01
potassium ion transport (GO:0006813)	84	2	1.13	+	1.77	3.13E-01
proteasomal protein catabolic process (GO:0010498)	126	3	1.70	+	1.77	2.41E-01
regulation of signal transduction (GO:0009966)	422	10	5.69	+	1.76	7.93E-02
regulation of phosphorus metabolic process (GO:0051174)	169	4	2.28	+	1.76	2.93E-01
regulation of phosphate metabolic process (GO:0019220)	169	4	2.28	+	1.76	2.93E-01
synaptic vesicle cycle (GO:0099504)	43	1	.58	+	1.73	4.43E-01
regulation of cellular localization (GO:0060341)	43	1	.58	+	1.73	4.43E-01
pattern specification process (GO:0007389)	43	1	.58	+	1.73	4.43E-01
vesicle-mediated transport in synapse (GO:0099003)	43	1	.58	+	1.73	4.43E-01
nuclear export (GO:0051168)	44	1	.59	+	1.69	4.50E-01
organelle disassembly (GO:1903008)	44	1	.59	+	1.69	4.50E-01
rRNA metabolic process (GO:0016072)	89	2	1.20	+	1.67	3.38E-01
cellular component biogenesis (GO:0044085)	581	13	7.83	+	1.66	6.32E-02
establishment or maintenance of cell polarity (GO:0007163)	45	1	.61	+	1.65	4.58E-01
protein processing (GO:0016485)	45	1	.61	+	1.65	4.58E-01
membrane organization (GO:0061024)	135	3	1.82	+	1.65	4.32E-01
regulation of cell development (GO:0060284)	45	1	.61	+	1.65	4.58E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	45	1	.61	+	1.65	4.58E-01
RNA splicing (GO:0008380)	91	2	1.23	+	1.63	3.48E-01
intracellular signaling cassette (GO:0141124)	139	3	1.87	+	1.60	4.38E-01
protein-containing complex organization (GO:0043933)	280	6	3.77	+	1.59	2.82E-01
supramolecular fiber organization (GO:0097435)	188	4	2.53	+	1.58	3.24E-01
protein-containing complex localization (GO:0031503)	47	1	.63	+	1.58	4.72E-01
establishment of protein localization to membrane (GO:0090150)	47	1	.63	+	1.58	4.72E-01
protein localization to membrane (GO:0072657)	96	2	1.29	+	1.55	3.72E-01
actin cytoskeleton organization (GO:0030036)	193	4	2.60	+	1.54	3.34E-01
cellular component assembly (GO:0022607)	484	10	6.52	+	1.53	1.56E-01
cilium assembly (GO:0060271)	97	2	1.31	+	1.53	3.77E-01
actin filament-based process (GO:0030029)	199	4	2.68	+	1.49	3.46E-01
regulation of transport (GO:0051049)	150	3	2.02	+	1.48	4.58E-01
chromosome organization (GO:0051276)	100	2	1.35	+	1.48	3.91E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	101	2	1.36	+	1.47	3.96E-01
amide metabolic process (GO:0043603)	203	4	2.74	+	1.46	3.55E-01
macroautophagy (GO:0016236)	51	1	.69	+	1.45	5.00E-01
mRNA processing (GO:0006397)	102	2	1.37	+	1.45	4.01E-01
Golgi vesicle transport (GO:0048193)	103	2	1.39	+	1.44	4.06E-01
protein-DNA complex organization (GO:0071824)	104	2	1.40	+	1.43	6.53E-01
establishment of protein localization to organelle (GO:0072594)	104	2	1.40	+	1.43	6.53E-01
plasma membrane bounded cell projection assembly (GO:0120031)	104	2	1.40	+	1.43	6.53E-01
positive regulation of signal transduction (GO:0009967)	157	3	2.12	+	1.42	4.72E-01
regulation of molecular function (GO:0065009)	314	6	4.23	+	1.42	3.21E-01
ncRNA processing (GO:0034470)	158	3	2.13	+	1.41	4.74E-01
cytoskeleton organization (GO:0007010)	371	7	5.00	+	1.40	3.53E-01
cell-cell signaling (GO:0007267)	213	4	2.87	+	1.39	5.38E-01
regulation of actin filament organization (GO:0110053)	54	1	.73	+	1.37	5.20E-01
positive regulation of response to stimulus (GO:0048584)	216	4	2.91	+	1.37	5.40E-01
vacuolar transport (GO:0007034)	54	1	.73	+	1.37	5.20E-01
protein localization to organelle (GO:0033365)	163	3	2.20	+	1.37	4.85E-01
RNA processing (GO:0006396)	273	5	3.68	+	1.36	4.21E-01
glycoprotein biosynthetic process (GO:0009101)	110	2	1.48	+	1.35	6.61E-01
organelle localization (GO:0051640)	110	2	1.48	+	1.35	6.61E-01
regulation of developmental process (GO:0050793)	166	3	2.24	+	1.34	4.91E-01
cilium organization (GO:0044782)	111	2	1.50	+	1.34	6.63E-01
regulation of Wnt signaling pathway (GO:0030111)	56	1	.75	+	1.32	5.33E-01
regulation of monoatomic ion transmembrane transport (GO:0034765)	56	1	.75	+	1.32	5.33E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	56	1	.75	+	1.32	5.33E-01
small GTPase-mediated signal transduction (GO:0007264)	57	1	.77	+	1.30	5.40E-01
translation (GO:0006412)	114	2	1.54	+	1.30	6.68E-01
cell projection assembly (GO:0030031)	114	2	1.54	+	1.30	6.68E-01
regulation of cell projection organization (GO:0031344)	57	1	.77	+	1.30	5.40E-01
organelle organization (GO:0006996)	861	15	11.60	+	1.29	2.81E-01
import into cell (GO:0098657)	175	3	2.36	+	1.27	5.12E-01
peptide biosynthetic process (GO:0043043)	117	2	1.58	+	1.27	6.73E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	177	3	2.39	+	1.26	5.17E-01
mitotic cell cycle process (GO:1903047)	119	2	1.60	+	1.25	6.76E-01
intracellular signal transduction (GO:0035556)	300	5	4.04	+	1.24	6.05E-01
protein targeting (GO:0006605)	60	1	.81	+	1.24	5.58E-01
autophagy (GO:0006914)	60	1	.81	+	1.24	5.58E-01
process utilizing autophagic mechanism (GO:0061919)	60	1	.81	+	1.24	5.58E-01
modification-dependent protein catabolic process (GO:0019941)	181	3	2.44	+	1.23	7.38E-01
positive regulation of intracellular signal transduction (GO:1902533)	121	2	1.63	+	1.23	6.79E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	368	6	4.96	+	1.21	6.41E-01
modification-dependent macromolecule catabolic process (GO:0043632)	184	3	2.48	+	1.21	7.40E-01
regulation of supramolecular fiber organization (GO:1902903)	62	1	.84	+	1.20	5.70E-01
positive regulation of multicellular organismal process (GO:0051240)	62	1	.84	+	1.20	5.70E-01
regulation of protein metabolic process (GO:0051246)	249	4	3.36	+	1.19	5.80E-01
regulation of monoatomic ion transport (GO:0043269)	63	1	.85	+	1.18	5.76E-01
glycoprotein metabolic process (GO:0009100)	126	2	1.70	+	1.18	6.88E-01
regulation of cellular component organization (GO:0051128)	256	4	3.45	+	1.16	7.79E-01
positive regulation of macromolecule metabolic process (GO:0010604)	384	6	5.18	+	1.16	6.50E-01
regulation of localization (GO:0032879)	193	3	2.60	+	1.15	7.47E-01
Unclassified (UNCLASSIFIED)	3827	59	51.58	+	1.14	2.22E-01
ncRNA metabolic process (GO:0034660)	195	3	2.63	+	1.14	7.48E-01
vesicle-mediated transport (GO:0016192)	391	6	5.27	+	1.14	6.54E-01
anatomical structure morphogenesis (GO:0009653)	330	5	4.45	+	1.12	8.05E-01
regulation of transmembrane transport (GO:0034762)	66	1	.89	+	1.12	5.93E-01
exocytosis (GO:0006887)	66	1	.89	+	1.12	5.93E-01
