PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	50	1	.42	+	2.40	3.43E-01
negative regulation of cell communication (GO:0010648)	150	3	1.25	+	2.40	1.30E-01
negative regulation of signaling (GO:0023057)	150	3	1.25	+	2.40	1.30E-01
negative regulation of organelle organization (GO:0010639)	51	1	.43	+	2.35	3.49E-01
protein deubiquitination (GO:0016579)	51	1	.43	+	2.35	3.49E-01
amide metabolic process (GO:0043603)	208	4	1.74	+	2.30	9.61E-02
cell-cell signaling by wnt (GO:0198738)	52	1	.43	+	2.30	3.54E-01
negative regulation of intracellular signal transduction (GO:1902532)	53	1	.44	+	2.26	3.59E-01
muscle structure development (GO:0061061)	54	1	.45	+	2.22	3.65E-01
negative regulation of response to stimulus (GO:0048585)	165	3	1.38	+	2.18	1.59E-01
regulation of MAPK cascade (GO:0043408)	111	2	.93	+	2.16	2.37E-01
organelle localization (GO:0051640)	111	2	.93	+	2.16	2.37E-01
cell fate commitment (GO:0045165)	56	1	.47	+	2.14	3.75E-01
monoatomic cation homeostasis (GO:0055080)	113	2	.94	+	2.12	2.43E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	57	1	.48	+	2.10	3.81E-01
translation (GO:0006412)	116	2	.97	+	2.06	2.53E-01
monoatomic ion homeostasis (GO:0050801)	116	2	.97	+	2.06	2.53E-01
regulation of cell projection organization (GO:0031344)	58	1	.48	+	2.06	3.86E-01
regulation of kinase activity (GO:0043549)	117	2	.98	+	2.05	2.56E-01
negative regulation of catalytic activity (GO:0043086)	59	1	.49	+	2.03	3.91E-01
protein modification by small protein conjugation or removal (GO:0070647)	237	4	1.98	+	2.02	1.36E-01
organelle assembly (GO:0070925)	237	4	1.98	+	2.02	1.36E-01
peptide biosynthetic process (GO:0043043)	119	2	.99	+	2.01	2.62E-01
regulation of transferase activity (GO:0051338)	120	2	1.00	+	2.00	2.65E-01
cellular response to nitrogen compound (GO:1901699)	60	1	.50	+	2.00	3.96E-01
negative regulation of cellular component organization (GO:0051129)	61	1	.51	+	1.96	4.01E-01
positive regulation of hydrolase activity (GO:0051345)	62	1	.52	+	1.93	4.06E-01
post-translational protein modification (GO:0043687)	251	4	2.10	+	1.91	1.58E-01
positive regulation of gene expression (GO:0010628)	63	1	.53	+	1.90	4.11E-01
positive regulation of multicellular organismal process (GO:0051240)	63	1	.53	+	1.90	4.11E-01
positive regulation of kinase activity (GO:0033674)	64	1	.53	+	1.87	4.16E-01
regulation of GTPase activity (GO:0043087)	64	1	.53	+	1.87	4.16E-01
positive regulation of transferase activity (GO:0051347)	65	1	.54	+	1.84	4.21E-01
positive regulation of MAPK cascade (GO:0043410)	65	1	.54	+	1.84	4.21E-01
regulation of response to stress (GO:0080134)	66	1	.55	+	1.81	4.26E-01
regulation of protein modification process (GO:0031399)	136	2	1.14	+	1.76	3.14E-01
protein polyubiquitination (GO:0000209)	69	1	.58	+	1.74	4.40E-01
positive regulation of developmental process (GO:0051094)	69	1	.58	+	1.74	4.40E-01
positive regulation of catalytic activity (GO:0043085)	139	2	1.16	+	1.72	3.24E-01
RNA modification (GO:0009451)	70	1	.58	+	1.71	4.45E-01
alpha-amino acid metabolic process (GO:1901605)	70	1	.58	+	1.71	4.45E-01
amide biosynthetic process (GO:0043604)	145	2	1.21	+	1.65	3.42E-01
response to growth factor (GO:0070848)	73	1	.61	+	1.64	4.59E-01
DNA recombination (GO:0006310)	73	1	.61	+	1.64	4.59E-01
cellular response to growth factor stimulus (GO:0071363)	73	1	.61	+	1.64	4.59E-01
cellular response to endogenous stimulus (GO:0071495)	149	2	1.24	+	1.61	3.54E-01
chemical homeostasis (GO:0048878)	151	2	1.26	+	1.59	3.60E-01
microtubule cytoskeleton organization (GO:0000226)	152	2	1.27	+	1.58	3.63E-01
response to organonitrogen compound (GO:0010243)	76	1	.63	+	1.58	4.72E-01
protein ubiquitination (GO:0016567)	153	2	1.28	+	1.57	3.66E-01
cellular response to oxygen-containing compound (GO:1901701)	77	1	.64	+	1.56	4.77E-01
regulation of protein kinase activity (GO:0045859)	77	1	.64	+	1.56	4.77E-01
lipid transport (GO:0006869)	77	1	.64	+	1.56	4.77E-01
gene expression (GO:0010467)	627	8	5.24	+	1.53	2.51E-01
cell surface receptor signaling pathway (GO:0007166)	393	5	3.28	+	1.52	3.86E-01
cellular component disassembly (GO:0022411)	79	1	.66	+	1.52	4.86E-01
regulation of phosphorylation (GO:0042325)	159	2	1.33	+	1.51	3.84E-01
tRNA metabolic process (GO:0006399)	80	1	.67	+	1.50	4.90E-01
negative regulation of molecular function (GO:0044092)	80	1	.67	+	1.50	4.90E-01
response to endogenous stimulus (GO:0009719)	161	2	1.34	+	1.49	3.90E-01
regulation of catalytic activity (GO:0050790)	245	3	2.05	+	1.47	4.61E-01
protein glycosylation (GO:0006486)	82	1	.68	+	1.46	4.99E-01
macromolecule glycosylation (GO:0043413)	82	1	.68	+	1.46	4.99E-01
regulation of multicellular organismal development (GO:2000026)	83	1	.69	+	1.44	5.03E-01
regulation of protein metabolic process (GO:0051246)	252	3	2.10	+	1.43	4.70E-01
regulation of cell differentiation (GO:0045595)	84	1	.70	+	1.43	5.07E-01
mRNA splicing, via spliceosome (GO:0000398)	84	1	.70	+	1.43	5.07E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	84	1	.70	+	1.43	5.07E-01
RNA splicing, via transesterification reactions (GO:0000375)	84	1	.70	+	1.43	5.07E-01
negative regulation of protein metabolic process (GO:0051248)	84	1	.70	+	1.43	5.07E-01
positive regulation of molecular function (GO:0044093)	168	2	1.40	+	1.43	6.53E-01
dephosphorylation (GO:0016311)	85	1	.71	+	1.41	5.11E-01
regulation of phosphorus metabolic process (GO:0051174)	172	2	1.44	+	1.39	6.56E-01
regulation of phosphate metabolic process (GO:0019220)	172	2	1.44	+	1.39	6.56E-01
double-strand break repair (GO:0006302)	87	1	.73	+	1.38	5.19E-01
non-membrane-bounded organelle assembly (GO:0140694)	88	1	.73	+	1.36	5.23E-01
homeostatic process (GO:0042592)	177	2	1.48	+	1.35	6.61E-01
Unclassified (UNCLASSIFIED)	3826	43	31.95	+	1.35	2.00E-02
protein modification by small protein conjugation (GO:0032446)	178	2	1.49	+	1.35	6.62E-01
macromolecule biosynthetic process (GO:0009059)	803	9	6.71	+	1.34	3.15E-01
RNA splicing (GO:0008380)	92	1	.77	+	1.30	5.39E-01
glycosylation (GO:0070085)	93	1	.78	+	1.29	5.43E-01
post-transcriptional regulation of gene expression (GO:0010608)	94	1	.78	+	1.27	5.47E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	188	2	1.57	+	1.27	6.72E-01
carboxylic acid transport (GO:0046942)	94	1	.78	+	1.27	5.47E-01
organic acid transport (GO:0015849)	94	1	.78	+	1.27	5.47E-01
microtubule-based movement (GO:0007018)	95	1	.79	+	1.26	5.51E-01
response to oxygen-containing compound (GO:1901700)	96	1	.80	+	1.25	5.54E-01
response to nitrogen compound (GO:1901698)	96	1	.80	+	1.25	5.54E-01
amino acid metabolic process (GO:0006520)	96	1	.80	+	1.25	5.54E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	97	1	.81	+	1.23	5.58E-01
protein metabolic process (GO:0019538)	1166	12	9.74	+	1.23	3.97E-01
plasma membrane bounded cell projection organization (GO:0120036)	295	3	2.46	+	1.22	7.38E-01
small molecule biosynthetic process (GO:0044283)	99	1	.83	+	1.21	5.66E-01
cell projection organization (GO:0030030)	301	3	2.51	+	1.19	7.41E-01
mRNA processing (GO:0006397)	103	1	.86	+	1.16	5.80E-01
positive regulation of phosphorylation (GO:0042327)	104	1	.87	+	1.15	5.84E-01
cellular biosynthetic process (GO:0044249)	1051	10	8.78	+	1.14	5.94E-01
regulation of signal transduction (GO:0009966)	422	4	3.52	+	1.14	7.81E-01
regulation of molecular function (GO:0065009)	318	3	2.66	+	1.13	7.49E-01
glycoprotein biosynthetic process (GO:0009101)	107	1	.89	+	1.12	5.94E-01
organic substance biosynthetic process (GO:1901576)	1076	10	8.98	+	1.11	7.23E-01
biosynthetic process (GO:0009058)	1079	10	9.01	+	1.11	7.23E-01
positive regulation of phosphorus metabolic process (GO:0010562)	108	1	.90	+	1.11	5.98E-01
positive regulation of phosphate metabolic process (GO:0045937)	108	1	.90	+	1.11	5.98E-01
Golgi vesicle transport (GO:0048193)	108	1	.90	+	1.11	5.98E-01
regulation of cellular component biogenesis (GO:0044087)	108	1	.90	+	1.11	5.98E-01
regulation of hydrolase activity (GO:0051336)	109	1	.91	+	1.10	6.01E-01
macromolecule modification (GO:0043412)	774	7	6.46	+	1.08	8.36E-01
organonitrogen compound metabolic process (GO:1901564)	1464	13	12.22	+	1.06	7.58E-01
proteolysis (GO:0006508)	340	3	2.84	+	1.06	7.62E-01
regulation of metabolic process (GO:0019222)	1589	14	13.27	+	1.06	7.67E-01
regulation of intracellular signal transduction (GO:1902531)	229	2	1.91	+	1.05	7.17E-01
microtubule-based process (GO:0007017)	230	2	1.92	+	1.04	7.18E-01
organic anion transport (GO:0015711)	116	1	.97	+	1.03	6.24E-01
protein modification process (GO:0036211)	697	6	5.82	+	1.03	8.30E-01
regulation of protein phosphorylation (GO:0001932)	118	1	.99	+	1.01	1.00E00
macromolecule metabolic process (GO:0043170)	1808	15	15.10	-	.99	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	121	1	1.01	-	.99	1.00E00
positive regulation of protein metabolic process (GO:0051247)	122	1	1.02	-	.98	1.00E00
cellular component assembly (GO:0022607)	489	4	4.08	-	.98	1.00E00
positive regulation of cellular process (GO:0048522)	734	6	6.13	-	.98	1.00E00
regulation of cell communication (GO:0010646)	490	4	4.09	-	.98	1.00E00
glycoprotein metabolic process (GO:0009100)	123	1	1.03	-	.97	1.00E00
regulation of signaling (GO:0023051)	494	4	4.12	-	.97	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	1490	12	12.44	-	.96	1.00E00
regulation of cellular metabolic process (GO:0031323)	1500	12	12.53	-	.96	1.00E00
regulation of response to stimulus (GO:0048583)	501	4	4.18	-	.96	1.00E00
cytoskeleton organization (GO:0007010)	377	3	3.15	-	.95	1.00E00
intracellular transport (GO:0046907)	378	3	3.16	-	.95	1.00E00
negative regulation of cellular process (GO:0048523)	637	5	5.32	-	.94	1.00E00
proteasomal protein catabolic process (GO:0010498)	128	1	1.07	-	.94	1.00E00
positive regulation of macromolecule biosynthetic process (GO:0010557)	258	2	2.15	-	.93	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	1291	10	10.78	-	.93	1.00E00
regulation of biosynthetic process (GO:0009889)	1295	10	10.81	-	.92	1.00E00
nitrogen compound metabolic process (GO:0006807)	2072	16	17.30	-	.92	7.90E-01
positive regulation of cellular biosynthetic process (GO:0031328)	263	2	2.20	-	.91	1.00E00
positive regulation of biosynthetic process (GO:0009891)	264	2	2.20	-	.91	1.00E00
cellular component organization (GO:0016043)	1454	11	12.14	-	.91	8.77E-01
vesicle-mediated transport (GO:0016192)	398	3	3.32	-	.90	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	405	3	3.38	-	.89	1.00E00
positive regulation of biological process (GO:0048518)	813	6	6.79	-	.88	1.00E00
negative regulation of biological process (GO:0048519)	683	5	5.70	-	.88	1.00E00
RNA processing (GO:0006396)	276	2	2.30	-	.87	1.00E00
regulation of primary metabolic process (GO:0080090)	1390	10	11.61	-	.86	7.52E-01
organic substance metabolic process (GO:0071704)	2377	17	19.85	-	.86	5.26E-01
regulation of gene expression (GO:0010468)	1264	9	10.55	-	.85	7.43E-01
regulation of transcription by RNA polymerase II (GO:0006357)	843	6	7.04	-	.85	8.44E-01
cellular component organization or biogenesis (GO:0071840)	1548	11	12.93	-	.85	6.52E-01
intracellular signaling cassette (GO:0141124)	141	1	1.18	-	.85	1.00E00
primary metabolic process (GO:0044238)	2264	16	18.90	-	.85	5.18E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1284	9	10.72	-	.84	7.43E-01
organonitrogen compound biosynthetic process (GO:1901566)	428	3	3.57	-	.84	1.00E00
cellular response to organic substance (GO:0071310)	144	1	1.20	-	.83	1.00E00
regulation of cellular process (GO:0050794)	3024	21	25.25	-	.83	3.49E-01
organelle organization (GO:0006996)	874	6	7.30	-	.82	8.45E-01
metabolic process (GO:0008152)	2485	17	20.75	-	.82	3.82E-01
cellular component biogenesis (GO:0044085)	585	4	4.88	-	.82	1.00E00
biological regulation (GO:0065007)	3384	23	28.26	-	.81	2.56E-01
biological_process (GO:0008150)	7072	48	59.05	-	.81	2.00E-02
cellular metabolic process (GO:0044237)	1919	13	16.02	-	.81	4.90E-01
positive regulation of metabolic process (GO:0009893)	446	3	3.72	-	.81	1.00E00
mRNA metabolic process (GO:0016071)	149	1	1.24	-	.80	1.00E00
regulation of biological process (GO:0050789)	3200	21	26.72	-	.79	2.05E-01
establishment of localization in cell (GO:0051649)	458	3	3.82	-	.78	1.00E00
regulation of nitrogen compound metabolic process (GO:0051171)	1374	9	11.47	-	.78	5.27E-01
negative regulation of cellular metabolic process (GO:0031324)	309	2	2.58	-	.78	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	155	1	1.29	-	.77	1.00E00
DNA repair (GO:0006281)	155	1	1.29	-	.77	1.00E00
positive regulation of signal transduction (GO:0009967)	157	1	1.31	-	.76	1.00E00
ncRNA processing (GO:0034470)	159	1	1.33	-	.75	1.00E00
regulation of multicellular organismal process (GO:0051239)	162	1	1.35	-	.74	1.00E00
anatomical structure development (GO:0048856)	811	5	6.77	-	.74	6.86E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	328	2	2.74	-	.73	1.00E00
positive regulation of transcription by RNA polymerase II (GO:0045944)	164	1	1.37	-	.73	1.00E00
regulation of DNA-templated transcription (GO:0006355)	990	6	8.27	-	.73	5.80E-01
regulation of RNA biosynthetic process (GO:2001141)	990	6	8.27	-	.73	5.80E-01
regulation of developmental process (GO:0050793)	167	1	1.39	-	.72	1.00E00
negative regulation of metabolic process (GO:0009892)	336	2	2.81	-	.71	1.00E00
regulation of organelle organization (GO:0033043)	169	1	1.41	-	.71	1.00E00
cellular process (GO:0009987)	5162	30	43.10	-	.70	5.97E-03
cell motility (GO:0048870)	176	1	1.47	-	.68	1.00E00
peptidyl-amino acid modification (GO:0018193)	177	1	1.48	-	.68	1.00E00
positive regulation of cell communication (GO:0010647)	178	1	1.49	-	.67	1.00E00
positive regulation of signaling (GO:0023056)	178	1	1.49	-	.67	1.00E00
ubiquitin-dependent protein catabolic process (GO:0006511)	178	1	1.49	-	.67	1.00E00
small molecule metabolic process (GO:0044281)	359	2	3.00	-	.67	7.71E-01
response to stimulus (GO:0050896)	1437	8	12.00	-	.67	2.75E-01
regulation of RNA metabolic process (GO:0051252)	1090	6	9.10	-	.66	3.78E-01
modification-dependent protein catabolic process (GO:0019941)	182	1	1.52	-	.66	1.00E00
developmental process (GO:0032502)	916	5	7.65	-	.65	4.45E-01
carboxylic acid metabolic process (GO:0019752)	184	1	1.54	-	.65	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	369	2	3.08	-	.65	7.72E-01
cellular nitrogen compound metabolic process (GO:0034641)	924	5	7.72	-	.65	4.46E-01
cell differentiation (GO:0030154)	555	3	4.63	-	.65	6.30E-01
cellular developmental process (GO:0048869)	555	3	4.63	-	.65	6.30E-01
modification-dependent macromolecule catabolic process (GO:0043632)	185	1	1.54	-	.65	1.00E00
nervous system development (GO:0007399)	371	2	3.10	-	.65	7.72E-01
organic acid metabolic process (GO:0006082)	186	1	1.55	-	.64	1.00E00
oxoacid metabolic process (GO:0043436)	186	1	1.55	-	.64	1.00E00
cellular response to stimulus (GO:0051716)	1314	7	10.97	-	.64	2.56E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1127	6	9.41	-	.64	3.00E-01
supramolecular fiber organization (GO:0097435)	189	1	1.58	-	.63	1.00E00
multicellular organismal process (GO:0032501)	767	4	6.40	-	.62	4.13E-01
positive regulation of macromolecule metabolic process (GO:0010604)	384	2	3.21	-	.62	7.73E-01
DNA damage response (GO:0006974)	193	1	1.61	-	.62	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	194	1	1.62	-	.62	1.00E00
actin cytoskeleton organization (GO:0030036)	194	1	1.62	-	.62	1.00E00
positive regulation of DNA-templated transcription (GO:0045893)	196	1	1.64	-	.61	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	196	1	1.64	-	.61	1.00E00
ncRNA metabolic process (GO:0034660)	197	1	1.64	-	.61	1.00E00
actin filament-based process (GO:0030029)	200	1	1.67	-	.60	1.00E00
cellular response to chemical stimulus (GO:0070887)	202	1	1.69	-	.59	1.00E00
multicellular organism development (GO:0007275)	608	3	5.08	-	.59	4.90E-01
cell adhesion (GO:0007155)	206	1	1.72	-	.58	1.00E00
signal transduction (GO:0007165)	1035	5	8.64	-	.58	2.78E-01
response to stress (GO:0006950)	420	2	3.51	-	.57	5.87E-01
RNA metabolic process (GO:0016070)	422	2	3.52	-	.57	5.87E-01
nucleic acid metabolic process (GO:0090304)	635	3	5.30	-	.57	4.95E-01
cell-cell signaling (GO:0007267)	212	1	1.77	-	.56	1.00E00
response to organic substance (GO:0010033)	212	1	1.77	-	.56	1.00E00
positive regulation of response to stimulus (GO:0048584)	219	1	1.83	-	.55	1.00E00
localization (GO:0051179)	1325	6	11.06	-	.54	1.09E-01
DNA metabolic process (GO:0006259)	221	1	1.85	-	.54	1.00E00
cellular localization (GO:0051641)	672	3	5.61	-	.53	3.77E-01
transport (GO:0006810)	1122	5	9.37	-	.53	1.64E-01
proteolysis involved in protein catabolic process (GO:0051603)	225	1	1.88	-	.53	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	227	1	1.90	-	.53	1.00E00
signaling (GO:0023052)	1151	5	9.61	-	.52	1.25E-01
